name,country,max,min,mean,median,twentyfive,seventyfive
Bayern Munich,Germany,1.17,1.11,1.1300000000000001,1.125,1.1200000000000001,1.1399999999999999
Bor Dortmund,Germany,6.7,5.0,5.9969999999999999,6.0,6.0,6.0
Bayer Leverkusen,Germany,41.0,21.0,27.199999999999999,26.0,23.0,30.0
Schalke 04,Germany,251.0,76.0,138.25,125.5,93.5,163.5
VfL Wolfsburg,Germany,351.0,101.0,249.47058823529412,251.0,251.0,300.0
Mainz 05,Germany,501.0,82.0,327.25,413.5,104.0,501.0
Bor Monchengladbach,Germany,501.0,101.0,223.94999999999999,176.0,144.75,300.0
Hamburg,Germany,751.0,205.0,448.375,413.5,280.5,563.5
Eintracht Frankfurt,Germany,751.0,255.0,466.33333333333331,376.0,351.0,501.0
Hannover 96,Germany,751.0,340.0,533.875,501.0,469.0,563.5
Hoffenheim,Germany,751.0,340.0,488.57142857142856,475.0,426.0,501.0
VfB Stuttgart,Germany,1001.0,251.0,448.57894736842104,359.0,301.0,501.0
Hertha Berlin,Germany,1001.0,270.0,505.5,500.5,374.75,501.0
Werder Bremen,Germany,1001.0,301.0,573.42857142857144,501.0,466.5,638.5
Augsburg,Germany,1501.0,401.0,812.5,761.0,529.5,939.25
Freiburg,Germany,2001.0,501.0,1160.8333333333333,926.0,683.0,1738.25
Nurnberg,Germany,2501.0,615.0,1287.5,928.5,790.0,1738.25
Braunschweig,Germany,5001.0,401.0,1645.8333333333333,928.5,688.0,1738.25
Barcelona,Spain,1.42,1.25,1.3031578947368423,1.29,1.29,1.3
Real Madrid,Spain,5.0,3.85,4.3947368421052628,4.5,4.1449999999999996,4.5
Atletico Madrid,Spain,13.8,9.0,11.157894736842104,11.0,10.75,12.0
Villarreal,Spain,1001.0,251.0,440.5,323.0,300.0,484.5
Athl Bilbao,Spain,1001.0,400.0,685.5,665.5,400.75,962.75
Valencia,Spain,2001.0,310.0,679.33333333333337,513.0,426.0,600.0
Sevilla,Spain,3001.0,305.0,921.0,716.0,383.75,925.25
Real Sociedad,Spain,3001.0,335.0,797.88888888888891,551.0,441.0,600.0
Getafe,Spain,3001.0,565.0,1598.0,1251.0,904.0,2500.0
Levante,Spain,3001.0,565.0,1973.0,2251.0,904.0,3000.0
Almeria,Spain,10001.0,565.0,3713.6666666666665,2975.0,812.0,5000.0
Betis,Spain,10001.0,326.0,2701.125,975.5,715.75,4000.0
Celta Vigo,Spain,10001.0,565.0,2973.0,1751.0,904.0,4000.0
Elche,Spain,10001.0,565.0,3848.0,3000.0,904.0,5626.0
Espanyol,Spain,10001.0,565.0,2535.5,1001.0,904.0,3000.0
Granada,Spain,10001.0,565.0,2910.5,2500.0,904.0,3001.0
Malaga,Spain,10001.0,501.0,2723.0,975.5,715.75,4000.0
Osasuna,Spain,10001.0,565.0,3473.0,2751.0,904.0,5000.0
Rayo Vallecano,Spain,10001.0,565.0,2848.0,1251.0,904.0,4000.0
Valladolid,Spain,10001.0,565.0,3223.0,2751.0,904.0,4000.0
Man City,England,3.75,3.5,3.647272727272727,3.6100000000000003,3.5774999999999997,3.75
Arsenal,England,4.59,4.0,4.4431818181818183,4.5,4.3725000000000005,4.5
Chelsea,England,5.17,3.75,4.4890909090909092,4.5,4.3300000000000001,4.5
Man Utd,England,6.24,4.8,5.5622727272727275,5.5,5.5,6.0
Liverpool,England,8.0,6.5,7.213636363636363,7.0,7.0,7.5
Tottenham,England,37.0,23.0,30.0,29.5,26.0,34.0
Southampton,England,151.0,101.0,139.77272727272728,151.0,127.75,151.0
Everton,England,201.0,101.0,148.90909090909091,151.0,136.5,151.0
Aston Villa,England,3001.0,660.0,1849.4375,2001.0,1501.0,2001.0
Newcastle,England,3001.0,660.0,1770.1176470588234,2000.0,1001.0,2501.0
Swansea,England,3001.0,660.0,1784.8235294117646,1501.0,1001.0,2501.0
West Brom,England,3001.0,660.0,2161.9375,2251.0,2001.0,2625.75
West Ham,England,5001.0,660.0,2506.0,2500.0,2001.0,2501.0
Stoke,England,7501.0,660.0,4006.0,4001.0,2501.0,5001.0
Cardiff,England,10001.0,660.0,4772.666666666667,4001.0,3500.5,6251.0
Crystal Palace,England,10001.0,660.0,7715.583333333333,10001.0,7742.5,10001.0
Fulham,England,10001.0,660.0,4340.75,3751.0,1743.25,5626.0
Hull,England,10001.0,660.0,4972.666666666667,4001.0,3750.5,7501.0
Norwich,England,10001.0,660.0,4840.75,5001.0,3243.25,7501.0
Sunderland,England,10001.0,660.0,4382.416666666667,5001.0,2118.25,5001.0
PSG,France,1.15,1.06,1.1095000000000002,1.105,1.1000000000000001,1.1200000000000001
Monaco,France,8.0,5.6,6.9319047619047618,7.0,6.5,7.5
Lille,France,26.0,17.0,21.19047619047619,21.0,21.0,21.0
Marseille,France,101.0,54.0,75.38095238095238,80.0,67.0,81.0
Lyon,France,301.0,121.0,205.89473684210526,201.0,170.5,219.5
St Etienne,France,501.0,58.0,261.26315789473682,300.0,201.0,326.0
Nice,France,501.0,150.0,341.16666666666669,326.0,251.0,401.0
Bordeaux,France,501.0,186.0,369.80000000000001,357.5,300.0,488.5
Rennes,France,601.0,96.0,328.625,300.5,251.0,501.0
Bastia,France,1001.0,96.0,522.81818181818187,500.0,267.0,751.0
Nantes,France,1001.0,96.0,275.33333333333331,225.5,146.5,301.0
Reims,France,1001.0,96.0,554.81818181818187,501.0,316.5,876.0
Toulouse,France,1001.0,96.0,494.0,551.0,129.25,751.0
Ajaccio,France,1501.0,96.0,569.79999999999995,133.0,118.0,1001.0
Evian,France,1501.0,96.0,641.66666666666663,567.0,121.75,1001.0
Montpellier,France,1501.0,340.0,767.14285714285711,570.0,478.5,1001.0
Lorient,France,1701.0,96.0,591.66666666666663,317.0,121.75,876.0
Guingamp,France,2001.0,96.0,650.14285714285711,501.0,125.5,851.0
Sochaux,France,2501.0,96.0,808.33333333333337,567.0,121.75,1001.0
Valenciennes,France,2501.0,96.0,725.0,317.0,121.75,876.0
Juventus,Italy,1.67,1.55,1.6409523809523809,1.6499999999999999,1.6200000000000001,1.6699999999999999
Roma,Italy,4.0,3.2,3.808095238095238,3.75,3.75,4.0
Napoli,Italy,7.84,5.5,6.3780952380952378,6.5,6.0,6.5
Inter,Italy,42.0,17.0,23.761904761904763,21.0,21.0,23.0
Fiorentina,Italy,44.0,21.0,28.857142857142858,26.0,26.0,29.0
AC Milan,Italy,351.0,151.0,210.94444444444446,201.0,201.0,201.0
Lazio,Italy,950.0,151.0,430.33333333333331,326.0,301.0,501.0
Genoa,Italy,1001.0,170.0,611.16666666666663,638.5,232.5,1001.0
Verona,Italy,1001.0,170.0,561.09090909090912,501.0,388.5,751.0
Atalanta,Italy,1001.0,565.0,880.66666666666663,975.5,812.0,1001.0
Udinese,Italy,1001.0,501.0,785.75,758.5,704.5,962.75
Torino,Italy,2001.0,565.0,1047.3333333333333,975.5,812.0,1001.0
Parma,Italy,4001.0,565.0,1380.6666666666667,975.5,812.0,1001.0
