name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.01,,,,1.01,1.01,,1.01,1.01,,1.01,,1.02,,,1.01,
vfl wolfsburg,Germany,51.0,21.0,29.0,,29.0,29.0,21.0,26.0,23.0,,,,26.0,21.0,,26.0,21.0,,21.0,,29.0,,,40.0,
schalke 04,Germany,751.0,151.0,101.0,,101.0,126.0,101.0,201.0,126.0,,,,501.0,101.0,,151.0,151.0,,101.0,,501.0,,,186.0,
bayer leverkusen,Germany,501.0,201.0,151.0,,151.0,301.0,251.0,151.0,151.0,,,,1001.0,151.0,,201.0,201.0,,151.0,,501.0,,,325.0,
bor monchengladbach,Germany,1001.0,201.0,126.0,,126.0,201.0,201.0,201.0,151.0,,,,501.0,151.0,,151.0,201.0,,151.0,,501.0,,,272.0,
augsburg,Germany,2001.0,,201.0,,201.0,,2001.0,501.0,,,,,1001.0,,,,,,,,501.0,,,124.0,
werder bremen,Germany,4001.0,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,844.0,
hoffenheim,Germany,4001.0,,501.0,,501.0,,751.0,501.0,,,,,,,,251.0,,,,,,,,412.0,
fc koln,Germany,5001.0,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,844.0,
hannover 96,Germany,5001.0,,1001.0,,1001.0,,501.0,501.0,,,,,,,,501.0,,,,,,,,844.0,
hamburg,Germany,5001.0,,,,,,2501.0,501.0,,,,,,,,,,,,,,,,844.0,
eintracht frankfurt,Germany,5001.0,,751.0,,751.0,,1001.0,501.0,,,,,,,,,,,,,,,,844.0,
bor dortmund,Germany,5001.0,,301.0,,301.0,,501.0,501.0,,,,,,501.0,,501.0,,,501.0,,,,,587.0,
hertha berlin,Germany,7501.0,,,,,,1501.0,501.0,,,,,,,,,,,,,,,,844.0,
mainz 05,Germany,7501.0,,751.0,,751.0,,401.0,501.0,,,,,,,,501.0,,,,,,,,844.0,
vfb stuttgart,Germany,10001.0,,,,,,1001.0,501.0,,,,,,,,1001.0,,,,,,,,844.0,
freiburg,Germany,10001.0,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,844.0,
paderborn,Germany,10001.0,,,,,,2501.0,501.0,,,,,,,,,,,,,,,,844.0,
real madrid,Spain,1.73,1.83,1.8,1.67,1.8,1.75,1.8,1.83,1.8,1.85,1.67,,1.8,1.8,1.75,1.8,,,1.8,,1.8,1.85,1.94,1.9,
barcelona,Spain,2.25,2.1,2.25,2.25,2.25,2.1,2.2,2.1,2.1,2.1,2.3,,2.1,2.1,2.15,2.1,,,2.1,,2.1,2.1,2.23,2.18,
atletico madrid,Spain,15.0,12.0,11.0,13.0,11.0,13.0,11.0,11.0,11.0,15.0,12.0,,10.0,12.0,17.0,9.0,,,12.0,15.0,11.0,15.0,13.4,12.2,
valencia,Spain,151.0,,151.0,251.0,151.0,151.0,,201.0,,251.0,501.0,,301.0,,501.0,151.0,,,,,201.0,251.0,209.0,301.0,
seville,Spain,1001.0,,501.0,501.0,501.0,501.0,,501.0,,1001.0,1001.0,,751.0,,1001.0,251.0,,,,1001.0,501.0,1001.0,285.0,383.0,
villarreal,Spain,1001.0,,751.0,,751.0,,,501.0,,1001.0,1001.0,,1001.0,,1001.0,501.0,,,,1001.0,,1001.0,950.0,844.0,
malaga,Spain,2501.0,,,,,,,1001.0,,2001.0,,,,,,,,,,,,2001.0,380.0,844.0,
celta vigo,Spain,5001.0,,,,,,,1001.0,,2501.0,,,,,,,,,,,,2501.0,950.0,844.0,
eibar,Spain,5001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,,,4001.0,950.0,844.0,
real sociedad,Spain,5001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
rayo vallecano,Spain,7501.0,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
athletic bilbao,Spain,10001.0,,,,,,,1001.0,,2501.0,,,,,,,,,,,,2501.0,285.0,844.0,
almeria,Spain,10001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,,,5001.0,950.0,844.0,
deportivo la coruna,Spain,10001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,,,4001.0,950.0,844.0,
elche,Spain,10001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,,,5001.0,950.0,844.0,
espanyol,Spain,10001.0,,,,,,,1001.0,,2501.0,,,,,,,,,,,,2501.0,950.0,844.0,
getafe,Spain,10001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,,,4001.0,950.0,844.0,
granada,Spain,10001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,,,5001.0,950.0,844.0,
cordoba,Spain,20001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,,,5001.0,950.0,844.0,
levante,Spain,20001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,,,5001.0,950.0,844.0,
chelsea,England,1.13,1.12,1.12,1.13,1.13,,1.13,1.12,,1.13,1.09,1.12,1.13,1.12,,,1.13,,1.12,1.13,,1.13,1.15,1.15,1.17
man city,England,7.5,7.5,7.5,7.5,7.5,,7.0,8.0,,7.5,7.5,8.0,7.5,7.5,,,7.5,,7.5,7.5,,7.5,8.22,8.18,8.33
man utd,England,67.0,67.0,41.0,51.0,41.0,,51.0,81.0,,67.0,67.0,67.0,41.0,51.0,,,67.0,,51.0,67.0,,67.0,95.0,93.0,90.0
arsenal,England,101.0,101.0,51.0,81.0,51.0,,67.0,101.0,,101.0,101.0,81.0,67.0,67.0,,,67.0,,67.0,101.0,,101.0,114.0,114.0,100.0
