name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.02,1.02,1.01,1.02,1.01,1.01,1.02,1.02,1.02,1.01,1.02,1.02,1.01,1.02,1.01,1.02,1.01,1.02,1.01,1.02,1.01,1.03,,1.04,,
bor dortmund,Germany,21.0,17.0,15.0,17.0,15.0,13.0,13.0,17.0,17.0,24.0,15.0,13.0,17.0,13.0,15.0,15.0,13.5,13.0,24.0,15.0,24.0,22.0,,17.6,,
wolfsburg,Germany,501.0,251.0,301.0,,301.0,501.0,101.0,501.0,251.0,1001.0,251.0,501.0,501.0,67.0,251.0,251.0,351.0,67.0,1001.0,251.0,1001.0,500.0,,26.0,,
bor monchengladbach,Germany,751.0,,401.0,,401.0,501.0,81.0,501.0,501.0,1001.0,201.0,501.0,501.0,81.0,251.0,251.0,401.0,81.0,1001.0,251.0,1001.0,801.0,,95.0,,
bayer leverkusen,Germany,401.0,201.0,401.0,,401.0,151.0,101.0,501.0,201.0,1001.0,201.0,301.0,401.0,81.0,151.0,201.0,301.0,81.0,1001.0,251.0,1001.0,400.0,,105.0,,
hertha berlin,Germany,1001.0,,501.0,,501.0,1501.0,751.0,501.0,,1201.0,251.0,,501.0,751.0,751.0,751.0,601.0,751.0,1201.0,501.0,1201.0,1001.0,,95.0,,
schalke 04,Germany,1001.0,,751.0,,751.0,751.0,101.0,501.0,751.0,1501.0,401.0,501.0,751.0,101.0,501.0,501.0,651.0,101.0,1501.0,501.0,1501.0,1001.0,,219.0,,
hamburg,Germany,3001.0,,2501.0,,2501.0,,1001.0,501.0,,4001.0,1001.0,,,1001.0,,,1001.0,1001.0,4001.0,,4001.0,1001.0,,95.0,,
fc koln,Germany,3501.0,,2501.0,,2501.0,,501.0,501.0,,4001.0,751.0,,,1001.0,,,1001.0,1001.0,4001.0,5001.0,4001.0,1001.0,,22.0,,
mainz 05,Germany,2501.0,,2501.0,,2501.0,,751.0,501.0,,4001.0,1001.0,,,1001.0,,,1001.0,1001.0,4001.0,5001.0,4001.0,1001.0,,152.0,,
ingolstadt,Germany,4501.0,,5001.0,,5001.0,,1501.0,501.0,,8001.0,2001.0,,,1001.0,,,1001.0,1001.0,8001.0,,8001.0,1001.0,,90.0,,
eintracht frankfurt,Germany,4501.0,,,,,,751.0,501.0,,9001.0,2001.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,22.0,,
augsburg,Germany,4001.0,,,,,,1001.0,501.0,,9001.0,1001.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,29.0,,
hannover,Germany,4501.0,,,,,,751.0,501.0,,9001.0,3501.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,52.0,,
hoffenheim,Germany,4501.0,,,,,,1001.0,501.0,,9001.0,3501.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,52.0,,
vfb stuttgart,Germany,4501.0,,,,,,1001.0,501.0,,9001.0,2001.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,52.0,,
werder bremen,Germany,4501.0,,,,,,1501.0,501.0,,9001.0,3501.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,57.0,,
darmstadt,Germany,4501.0,,,,,,5001.0,501.0,,9001.0,3501.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,90.0,,
barcelona,Spain,1.22,1.29,,1.22,1.2,,1.2,1.2,,,,,,,,1.2,,,,,,1.2,,1.23,,
real madrid,Spain,5.5,5.5,,5.5,5.5,,6.0,6.0,,,,,,,,5.5,,,,,,5.5,,5.94,,
atletico madrid,Spain,11.0,8.5,,10.0,10.0,,9.0,10.0,,,,,,,,10.0,,,,,,10.0,,11.4,10.7,
seville,Spain,501.0,,,,301.0,,201.0,501.0,,,,,,,,301.0,,,,,,501.0,,238.0,,
villarreal,Spain,501.0,251.0,,,251.0,,501.0,501.0,,,,,,,,251.0,,,,,,501.0,,390.0,,
valencia,Spain,1001.0,,,,751.0,,501.0,501.0,,,,,,,,751.0,,,,,,1051.0,,238.0,,
celta vigo,Spain,1001.0,,,,501.0,,501.0,501.0,,,,,,,,501.0,,,,,,1051.0,,475.0,,
athletic bilbao,Spain,2001.0,,,,1001.0,,,501.0,,,,,,,,,,,,,,2051.0,,428.0,,
rayo vallecano,Spain,3001.0,,,,,,2501.0,501.0,,,,,,,,,,,,,,,,19.0,,
real sociedad,Spain,4001.0,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,238.0,,
levante,Spain,4501.0,,,,,,2501.0,501.0,,,,,,,,,,,,,,,,19.0,,
espanyol,Spain,4501.0,,,,,,1001.0,501.0,,,,,,,,,,,,,,4551.0,,19.0,,
malaga,Spain,4501.0,,,,,,501.0,501.0,,,,,,,,,,,,,,4551.0,,238.0,,
betis,Spain,4501.0,,,,,,5001.0,501.0,,,,,,,,,,,,,,4551.0,,19.0,,
deportivo la coruna,Spain,4501.0,,,,,,5001.0,501.0,,,,,,,,,,,,,,,,19.0,,
eibar,Spain,4501.0,,,,,,5001.0,501.0,,,,,,,,,,,,,,,,19.0,,
getafe,Spain,4501.0,,,,,,5001.0,501.0,,,,,,,,,,,,,,,,19.0,,
gijon,Spain,4501.0,,,,,,5001.0,501.0,,,,,,,,,,,,,,,,19.0,,
granada,Spain,4501.0,,,,,,5001.0,501.0,,,,,,,,,,,,,,,,19.0,,
ud las palmas,Spain,4501.0,,,,,,5001.0,501.0,,,,,,,,,,,,,,,,19.0,,
man city,England,2.2,2.2,2.2,2.2,2.2,2.15,2.2,2.2,2.1,2.2,2.15,2.1,2.1,2.1,2.2,2.1,2.15,2.1,2.2,2.15,2.2,2.15,,2.16,,2.21
arsenal,England,2.1,2.1,2.38,2.25,2.38,2.35,2.1,2.25,2.38,2.5,2.1,2.4,2.38,2.25,2.37,2.5,2.3,2.25,2.5,2.6,2.5,2.2,,2.63,,2.7
tottenham,England,13.0,13.0,12.0,13.0,12.0,11.0,13.0,13.0,13.0,10.0,12.0,12.0,13.0,11.0,11.0,12.0,12.0,11.0,10.0,11.0,10.0,13.0,,11.4,,11.9
man utd,England,21.0,23.0,21.0,23.0,21.0,21.0,21.0,23.0,21.0,23.0,23.0,21.0,21.0,23.0,21.0,21.0,22.0,23.0,23.0,19.0,23.0,23.0,,21.0,,22.0
leicester,England,26.0,29.0,26.0,26.0,26.0,26.0,34.0,26.0,23.0,26.0,34.0,26.0,26.0,26.0,26.0,29.0,27.0,26.0,26.0,26.0,26.0,26.0,,32.0,,33.0
liverpool,England,51.0,51.0,51.0,41.0,51.0,51.0,67.0,67.0,51.0,67.0,67.0,67.0,51.0,51.0,51.0,51.0,58.0,51.0,67.0,51.0,67.0,56.0,,71.0,,70.0
