name,country,max,min,mean,median,twentyfive,seventyfive
bayern munich,Germany,1.06,1.02,1.0376190476190477,1.04,1.03,1.04
bayer leverkusen,Germany,45.0,21.0,30.571428571428573,26.0,26.0,34.0
vfl wolfsburg,Germany,100.0,34.0,63.904761904761905,67.0,51.0,67.0
bor dortmund,Germany,101.0,23.0,52.700000000000003,41.0,28.25,77.25
bor monchengladbach,Germany,126.0,36.0,90.857142857142861,101.0,81.0,101.0
hoffenheim,Germany,209.0,38.0,139.55000000000001,151.0,101.0,157.25
schalke 04,Germany,238.0,67.0,119.04761904761905,101.0,81.0,151.0
mainz 05,Germany,950.0,251.0,438.57142857142856,401.0,301.0,501.0
hannover 96,Germany,1001.0,417.0,674.52631578947364,751.0,501.0,775.5
fc koln,Germany,1001.0,501.0,892.05555555555554,1000.0,751.0,1001.0
vfb stuttgart,Germany,1500.0,286.0,824.10526315789468,751.0,501.0,1001.0
hertha berlin,Germany,1501.0,501.0,1017.0555555555555,1001.0,870.5,1001.0
augsburg,Germany,2001.0,501.0,789.27777777777783,751.0,563.5,800.0
eintracht frankfurt,Germany,2501.0,376.0,861.11111111111109,800.0,489.0,1001.0
hamburg,Germany,2501.0,501.0,1155.9444444444443,1001.0,870.5,1376.0
paderborn,Germany,2501.0,501.0,1294.8333333333333,1001.0,962.75,1501.0
freiburg,Germany,7501.0,501.0,1878.1666666666667,1001.0,1001.0,2001.0
werder bremen,Germany,10001.0,501.0,2517.0555555555557,1501.0,1001.0,4250.25
real madrid,Spain,1.85,1.73,1.8252380952380951,1.8300000000000001,1.8300000000000001,1.8500000000000001
barcelona,Spain,2.39,2.1,2.1609523809523812,2.1000000000000001,2.1000000000000001,2.2000000000000002
atletico madrid,Spain,26.0,17.0,19.857142857142858,19.0,17.0,23.0
valencia,Spain,81.0,34.0,64.476190476190482,67.0,67.0,67.0
seville,Spain,251.0,144.0,188.23809523809524,201.0,151.0,201.0
villarreal,Spain,950.0,251.0,399.35000000000002,301.0,288.5,501.0
athletic bilbao,Spain,1501.0,201.0,605.84210526315792,501.0,251.0,975.5
celta vigo,Spain,1501.0,751.0,934.78947368421052,1001.0,751.0,1001.0
espanyol,Spain,2501.0,844.0,1674.2631578947369,1501.0,1501.0,2001.0
malaga,Spain,2501.0,844.0,1358.4736842105262,1501.0,1001.0,1501.0
real sociedad,Spain,2501.0,251.0,1108.4736842105262,844.0,601.0,1501.0
rayo vallecano,Spain,4001.0,844.0,2042.6842105263158,2001.0,1501.0,2751.0
granada,Spain,5001.0,844.0,2226.8947368421054,1501.0,1251.0,3251.0
getafe,Spain,7501.0,844.0,2569.0,2501.0,1126.0,2501.0
deportivo la coruna,Spain,8001.0,844.0,3042.6842105263158,2501.0,1501.0,4001.0
almeria,Spain,10001.0,844.0,3332.1578947368421,2501.0,2501.0,4001.0
cordoba,Spain,10001.0,844.0,4433.8888888888887,5001.0,3251.0,5001.0
eibar,Spain,10001.0,844.0,3174.2631578947367,2501.0,2001.0,4501.0
elche,Spain,10001.0,844.0,3621.6315789473683,2501.0,2251.0,5001.0
levante,Spain,10001.0,844.0,3437.4210526315787,2501.0,2001.0,5001.0
chelsea,England,1.4,1.33,1.3624000000000001,1.3600000000000001,1.3500000000000001,1.3600000000000001
man city,England,5.26,4.0,4.5076000000000001,4.5,4.3300000000000001,4.5
arsenal,England,26.0,21.0,23.280000000000001,23.0,22.0,25.0
man utd,England,29.0,21.0,24.600000000000001,26.0,21.0,26.0
liverpool,England,67.0,41.0,48.960000000000001,51.0,41.0,51.0
southampton,England,201.0,81.0,130.59999999999999,126.0,101.0,151.0
tottenham,England,399.0,151.0,248.28,251.0,201.0,251.0
everton,England,501.0,151.0,253.31999999999999,251.0,201.0,251.0
