name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,1.1,1.06,1.07,1.06,1.1,1.05,1.07,,1.12,1.07,1.08,1.06,1.06,1.05,,,1.06,1.12,1.13,1.12,1.05,1.11,,
bor dortmund,Germany,,15.0,15.0,15.0,15.0,11.0,15.0,15.0,,10.0,13.0,15.0,15.0,15.0,15.0,,,15.0,10.0,10.0,10.0,15.0,7.08,,
wolfsburg,Germany,,21.0,21.0,21.0,21.0,21.0,17.0,21.0,,26.0,21.0,21.0,21.0,17.0,21.0,,,17.0,26.0,17.0,26.0,23.0,16.2,,
bayer leverkusen,Germany,,34.0,34.0,34.0,34.0,34.0,21.0,31.0,,36.0,29.0,34.0,34.0,34.0,34.0,,,34.0,36.0,34.0,36.0,31.0,9.36,,
schalke 04,Germany,,67.0,51.0,51.0,51.0,51.0,51.0,41.0,,46.0,67.0,67.0,51.0,51.0,51.0,,,51.0,46.0,67.0,46.0,41.0,52.0,,
bor monchengladbach,Germany,,67.0,67.0,67.0,67.0,67.0,81.0,67.0,,101.0,81.0,101.0,67.0,51.0,67.0,,,51.0,101.0,75.0,101.0,71.0,95.0,,
eintracht frankfurt,Germany,,501.0,501.0,501.0,501.0,501.0,751.0,501.0,,601.0,501.0,501.0,501.0,501.0,501.0,,,501.0,601.0,501.0,601.0,601.0,14.3,,
hoffenheim,Germany,,501.0,301.0,251.0,301.0,251.0,1001.0,251.0,,601.0,301.0,501.0,301.0,251.0,501.0,,,251.0,601.0,501.0,601.0,501.0,9.36,,
fc koln,Germany,,501.0,401.0,501.0,401.0,501.0,501.0,501.0,,601.0,1001.0,501.0,751.0,401.0,751.0,,,401.0,601.0,501.0,601.0,601.0,10.0,,
hamburg,Germany,,501.0,501.0,501.0,501.0,501.0,1001.0,501.0,,801.0,751.0,1001.0,501.0,501.0,501.0,,,501.0,801.0,501.0,801.0,,10.0,,
hannover,Germany,,501.0,751.0,501.0,751.0,501.0,751.0,501.0,,1001.0,1001.0,1001.0,751.0,501.0,751.0,,,501.0,1001.0,1001.0,1001.0,601.0,10.0,,
hertha berlin,Germany,,751.0,1001.0,751.0,1001.0,501.0,751.0,501.0,,701.0,1001.0,501.0,751.0,751.0,751.0,,,751.0,701.0,751.0,701.0,501.0,10.0,,
augsburg,Germany,,501.0,251.0,501.0,251.0,501.0,1001.0,501.0,,601.0,351.0,1001.0,501.0,251.0,501.0,,,251.0,601.0,501.0,601.0,601.0,14.3,,
mainz 05,Germany,,501.0,401.0,501.0,401.0,401.0,751.0,501.0,,401.0,501.0,1001.0,501.0,501.0,501.0,,,501.0,401.0,751.0,401.0,501.0,14.3,,
vfb stuttgart,Germany,,751.0,501.0,501.0,501.0,301.0,1001.0,501.0,,601.0,751.0,501.0,751.0,501.0,501.0,,,501.0,601.0,501.0,601.0,501.0,14.3,,
werder bremen,Germany,,501.0,301.0,501.0,301.0,301.0,1501.0,501.0,,801.0,501.0,1001.0,501.0,751.0,501.0,,,751.0,801.0,501.0,801.0,501.0,10.0,,
ingolstadt,Germany,,1501.0,1501.0,1001.0,1501.0,751.0,1501.0,501.0,,2001.0,1501.0,1001.0,2501.0,1001.0,2001.0,,,1001.0,2001.0,1001.0,2001.0,1501.0,9.36,,
darmstadt,Germany,,1501.0,2501.0,1501.0,2501.0,1001.0,5001.0,501.0,,3001.0,5001.0,2501.0,2501.0,2501.0,2501.0,,,2501.0,3001.0,1501.0,3001.0,1501.0,9.36,,
barcelona,Spain,,1.62,,,,1.57,1.5,1.57,,1.63,,1.57,,,1.57,,,,1.63,,1.63,1.57,1.73,1.7,
real madrid,Spain,,2.75,,,,2.75,2.5,2.75,,2.75,,2.75,,,2.75,,,,2.75,,2.75,2.65,2.81,2.75,
atletico madrid,Spain,,15.0,,,,15.0,17.0,15.0,,16.0,,15.0,,,15.0,,,,16.0,,16.0,17.0,14.3,12.6,
seville,Spain,,67.0,,,,67.0,67.0,67.0,,67.0,,67.0,,,67.0,,,,67.0,,67.0,67.0,48.0,47.0,
valencia,Spain,,41.0,,,,51.0,67.0,51.0,,67.0,,67.0,,,51.0,,,,67.0,,67.0,67.0,57.0,50.0,
villarreal,Spain,,101.0,,,,101.0,251.0,251.0,,251.0,,201.0,,,251.0,,,,251.0,,251.0,251.0,95.0,107.0,
athletic bilbao,Spain,,101.0,,,,201.0,251.0,301.0,,251.0,,501.0,,,251.0,,,,251.0,,251.0,251.0,190.0,188.0,
celta vigo,Spain,,501.0,,,,501.0,501.0,501.0,,501.0,,501.0,,,751.0,,,,501.0,,501.0,,95.0,180.0,
malaga,Spain,,501.0,,,,501.0,501.0,501.0,,1001.0,,1001.0,,,501.0,,,,1001.0,,1001.0,1001.0,95.0,180.0,
real sociedad,Spain,,501.0,,,,501.0,1001.0,501.0,,1001.0,,1001.0,,,751.0,,,,1001.0,,1001.0,,95.0,180.0,
espanyol,Spain,,1001.0,,,,751.0,1001.0,501.0,,1501.0,,1001.0,,,1001.0,,,,1501.0,,1501.0,1501.0,95.0,180.0,
rayo vallecano,Spain,,1001.0,,,,1501.0,2501.0,501.0,,2501.0,,1001.0,,,2501.0,,,,2501.0,,2501.0,,95.0,180.0,
betis,Spain,,1001.0,,,,1001.0,5001.0,501.0,,1501.0,,1001.0,,,1001.0,,,,1501.0,,1501.0,,95.0,180.0,
deportivo la coruna,Spain,,1501.0,,,,1001.0,5001.0,501.0,,5001.0,,2001.0,,,2001.0,,,,5001.0,,5001.0,,95.0,180.0,
eibar,Spain,,5001.0,,,,5001.0,5001.0,501.0,,5001.0,,5001.0,,,5001.0,,,,5001.0,,5001.0,,95.0,180.0,
getafe,Spain,,5001.0,,,,2001.0,5001.0,501.0,,5001.0,,2001.0,,,5001.0,,,,5001.0,,5001.0,,95.0,180.0,
gijon,Spain,,5001.0,,,,2501.0,5001.0,501.0,,5001.0,,2001.0,,,5001.0,,,,5001.0,,5001.0,,95.0,180.0,
granada,Spain,,5001.0,,,,2001.0,5001.0,501.0,,5001.0,,2001.0,,,5001.0,,,,5001.0,,5001.0,,95.0,180.0,
levante,Spain,,5001.0,,,,2001.0,2501.0,501.0,,5001.0,,5001.0,,,5001.0,,,,5001.0,,5001.0,,95.0,180.0,
ud las palmas,Spain,,5001.0,,,,5001.0,5001.0,501.0,,5001.0,,2001.0,,,1001.0,,,,5001.0,,5001.0,,95.0,180.0,
man city,England,1.91,1.91,,1.91,1.91,1.83,1.91,1.91,,1.9,1.83,1.83,1.91,1.9,1.9,1.91,,1.9,1.9,1.9,1.9,1.83,1.91,1.94,1.95
chelsea,England,4.0,4.33,,3.75,4.0,4.5,4.0,4.33,,4.5,4.33,4.0,4.0,4.0,4.33,4.33,,4.0,4.5,4.0,4.5,3.75,4.51,4.69,4.61
arsenal,England,6.0,6.0,,5.5,5.5,5.5,5.5,5.5,,5.5,6.0,6.0,5.5,5.5,5.5,5.0,,5.5,5.5,6.0,5.5,6.5,5.94,5.85,6.15
man utd,England,10.0,8.5,,10.0,10.0,10.0,11.0,10.0,,10.0,11.0,9.5,10.0,10.0,11.0,9.0,,10.0,10.0,10.0,10.0,10.0,12.4,12.6,12.9
liverpool,England,26.0,23.0,,21.0,21.0,19.0,21.0,21.0,,21.0,26.0,17.0,21.0,19.0,17.0,17.0,,19.0,21.0,26.0,21.0,29.0,23.0,23.0,24.0
tottenham,England,251.0,151.0,,251.0,201.0,301.0,251.0,201.0,,301.0,301.0,351.0,201.0,251.0,251.0,251.0,,251.0,301.0,251.0,301.0,251.0,295.0,412.0,150.0
everton,England,501.0,1001.0,,401.0,501.0,301.0,601.0,301.0,,601.0,501.0,501.0,501.0,501.0,501.0,401.0,,501.0,601.0,501.0,601.0,501.0,665.0,689.0,496.0
southampton,England,751.0,1001.0,,501.0,501.0,301.0,751.0,501.0,,751.0,751.0,501.0,351.0,751.0,501.0,401.0,,751.0,751.0,751.0,751.0,751.0,893.0,970.0,80.0
swansea,England,1501.0,1501.0,,1501.0,1001.0,1501.0,1501.0,1001.0,,1501.0,1501.0,1501.0,1001.0,1501.0,751.0,1001.0,,1501.0,1501.0,1501.0,1501.0,1751.0,950.0,970.0,496.0
leicester,England,1501.0,,,1501.0,2001.0,2001.0,2001.0,2001.0,,1501.0,2501.0,2001.0,1501.0,2001.0,1501.0,2001.0,,2001.0,1501.0,1501.0,1501.0,1751.0,950.0,970.0,496.0
crystal palace,England,1501.0,,,1001.0,2001.0,2001.0,601.0,1251.0,,1501.0,3001.0,1501.0,3001.0,1501.0,1001.0,1251.0,,1501.0,1501.0,1501.0,1501.0,1501.0,950.0,970.0,496.0
stoke,England,1251.0,1501.0,,1501.0,1001.0,1001.0,2501.0,1501.0,,1501.0,2501.0,1501.0,3001.0,2001.0,1001.0,1501.0,,2001.0,1501.0,1251.0,1501.0,1251.0,950.0,970.0,496.0
west ham,England,1001.0,,,2001.0,1501.0,1001.0,2501.0,1251.0,,2001.0,3001.0,1501.0,1001.0,2001.0,1501.0,2001.0,,2001.0,2001.0,1001.0,2001.0,1001.0,950.0,970.0,496.0
aston villa,England,2001.0,,,3001.0,2001.0,2001.0,5001.0,2001.0,,5001.0,5001.0,2001.0,5001.0,2001.0,2501.0,2501.0,,2001.0,5001.0,2001.0,5001.0,2001.0,950.0,970.0,496.0
newcastle,England,2501.0,,,2001.0,1001.0,1501.0,3001.0,1501.0,,2001.0,5001.0,1501.0,3001.0,3001.0,2501.0,1501.0,,3001.0,2001.0,2501.0,2001.0,2501.0,950.0,970.0,496.0
west brom,England,2001.0,,,3001.0,2001.0,2001.0,3001.0,2001.0,,5001.0,7501.0,2001.0,5001.0,3001.0,2501.0,2001.0,,3001.0,5001.0,2001.0,5001.0,2001.0,950.0,970.0,496.0
norwich,England,7501.0,,,5001.0,2001.0,5001.0,5001.0,5001.0,,7501.0,8001.0,5001.0,1001.0,5001.0,1501.0,7501.0,,5001.0,7501.0,5001.0,7501.0,7501.0,950.0,970.0,496.0
watford,England,5001.0,,,5001.0,5001.0,5001.0,5001.0,5001.0,,8001.0,8001.0,5001.0,7501.0,7501.0,2501.0,5001.0,,7501.0,8001.0,5001.0,8001.0,5001.0,950.0,970.0,496.0
bournemouth,England,7501.0,,,2501.0,2001.0,5001.0,4001.0,5001.0,,5001.0,10001.0,5001.0,1001.0,5001.0,2501.0,3001.0,,5001.0,5001.0,5001.0,5001.0,7501.0,950.0,970.0,496.0
sunderland,England,5001.0,,,5001.0,2001.0,5001.0,7501.0,4001.0,,7501.0,10001.0,5001.0,3001.0,7501.0,2501.0,5001.0,,7501.0,7501.0,5001.0,7501.0,5001.0,950.0,970.0,496.0
psg,France,,1.07,,,,1.06,1.08,1.07,,1.04,,,,,1.05,,,,1.04,,1.04,1.04,1.11,,
monaco,France,,13.0,,,,12.0,11.0,13.0,,13.0,,,,,13.0,,,,13.0,,13.0,12.0,9.55,,
lyon,France,,17.0,,,,17.0,15.0,17.0,,17.0,,,,,17.0,,,,17.0,,17.0,19.0,14.8,,
marseille,France,,34.0,,,,41.0,34.0,34.0,,36.0,,,,,34.0,,,,36.0,,36.0,34.0,28.0,,
st etienne,France,,,,,,101.0,101.0,101.0,,101.0,,,51.0,,101.0,,,,101.0,,101.0,111.0,81.0,,
bordeaux,France,,,,,,126.0,151.0,201.0,,151.0,,,,,151.0,,,,151.0,,151.0,151.0,95.0,,
lille,France,,,,,,201.0,501.0,201.0,,251.0,,,,,251.0,,,,251.0,,251.0,251.0,95.0,,
montpellier,France,,,,,,251.0,501.0,326.0,,351.0,,,,,501.0,,,,351.0,,351.0,401.0,95.0,,
lorient,France,,,,,,501.0,751.0,501.0,,501.0,,,,,501.0,,,,501.0,,501.0,501.0,95.0,,
caen,France,,,,,,1001.0,751.0,501.0,,1001.0,,,,,751.0,,,,1001.0,,1001.0,1001.0,95.0,,
nantes,France,,,,,,501.0,501.0,501.0,,801.0,,,,,501.0,,,,801.0,,801.0,1001.0,95.0,,
nice,France,,,,,,501.0,1001.0,501.0,,801.0,,,,,301.0,,,,801.0,,801.0,751.0,95.0,,
rennes,France,,,,,,301.0,1001.0,501.0,,501.0,,,,,501.0,,,,501.0,,501.0,601.0,95.0,,
