name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,1.22,1.22,1.2,1.22,1.2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.2,1.2,,1.22,1.22,1.2,1.22,1.22,1.23,1.26,1.26,
Bor Dortmund,Germany,5.0,4.5,5.0,4.33,5.0,4.5,4.33,4.0,4.5,4.5,4.5,5.0,4.5,4.33,,4.25,4.5,4.5,4.5,4.5,4.5,4.89,4.51,
Bayer Leverkusen,Germany,29.0,21.0,26.0,21.0,26.0,21.0,26.0,21.0,26.0,20.0,21.0,26.0,21.0,21.0,,21.0,20.0,21.0,21.0,21.0,25.0,38.0,38.0,
Schalke 04,Germany,151.0,101.0,51.0,81.0,101.0,101.0,101.0,81.0,101.0,75.0,81.0,101.0,81.0,81.0,,67.0,75.0,101.0,151.0,81.0,60.0,86.0,95.0,
VfL Wolfsburg,Germany,151.0,151.0,101.0,81.0,101.0,101.0,101.0,91.0,101.0,150.0,126.0,101.0,151.0,151.0,,101.0,150.0,151.0,151.0,126.0,124.0,162.0,152.0,
VfB Stuttgart,Germany,201.0,201.0,151.0,201.0,151.0,151.0,151.0,201.0,201.0,200.0,251.0,201.0,251.0,201.0,,151.0,200.0,251.0,201.0,201.0,192.0,266.0,247.0,
Bor Monchengladbach,Germany,251.0,201.0,201.0,151.0,201.0,201.0,151.0,101.0,251.0,100.0,151.0,151.0,201.0,151.0,,151.0,100.0,201.0,201.0,151.0,196.0,295.0,252.0,
Hannover 96,Germany,251.0,251.0,201.0,251.0,201.0,251.0,251.0,401.0,301.0,150.0,201.0,201.0,301.0,251.0,,101.0,150.0,401.0,251.0,251.0,270.0,380.0,347.0,
Eintracht Frankfurt,Germany,501.0,501.0,251.0,,251.0,501.0,501.0,201.0,401.0,300.0,201.0,501.0,501.0,351.0,,151.0,300.0,501.0,,501.0,250.0,371.0,328.0,
Werder Bremen,Germany,301.0,201.0,301.0,151.0,301.0,251.0,201.0,251.0,251.0,300.0,351.0,501.0,501.0,201.0,,251.0,300.0,301.0,251.0,251.0,340.0,475.0,442.0,
Hamburg,Germany,501.0,251.0,401.0,351.0,401.0,201.0,201.0,251.0,251.0,200.0,501.0,501.0,501.0,251.0,,201.0,200.0,301.0,,301.0,540.0,760.0,713.0,
Mainz 05,Germany,751.0,301.0,301.0,,301.0,251.0,301.0,301.0,501.0,200.0,301.0,501.0,501.0,351.0,,151.0,200.0,401.0,,301.0,400.0,570.0,532.0,
Hoffenheim,Germany,751.0,401.0,201.0,301.0,201.0,351.0,251.0,251.0,501.0,200.0,351.0,501.0,501.0,351.0,,151.0,200.0,501.0,,251.0,540.0,760.0,713.0,
Hertha Berlin,Germany,751.0,501.0,401.0,,401.0,401.0,251.0,401.0,1001.0,200.0,351.0,501.0,501.0,501.0,,251.0,200.0,501.0,,301.0,230.0,333.0,304.0,
Freiburg,Germany,501.0,501.0,501.0,,501.0,501.0,501.0,401.0,501.0,1000.0,751.0,1001.0,501.0,751.0,,501.0,1000.0,701.0,,751.0,535.0,760.0,708.0,
Augsburg,Germany,3001.0,2001.0,1001.0,,1001.0,1001.0,2501.0,401.0,1501.0,300.0,2001.0,1001.0,1001.0,1501.0,,251.0,300.0,2501.0,,2001.0,540.0,760.0,713.0,
Nurnberg,Germany,3001.0,751.0,751.0,,751.0,501.0,1001.0,501.0,751.0,1000.0,1001.0,1501.0,1001.0,751.0,,501.0,1000.0,1001.0,,1001.0,540.0,760.0,713.0,
Braunschweig,Germany,5001.0,3001.0,5001.0,,5001.0,1501.0,5001.0,501.0,2001.0,3000.0,5001.0,5001.0,5001.0,2501.0,,2001.0,3000.0,5001.0,,251.0,540.0,760.0,713.0,
Barcelona,Spain,,1.57,,,,,1.53,1.62,1.57,,,,1.57,1.57,,1.6,,,1.62,1.6,,1.67,1.64,
