name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.01,,1.0,,,1.01,,,,,1.01,
vfl wolfsburg,Germany,34.0,21.0,23.0,,23.0,21.0,21.0,26.0,23.0,,,,,26.0,,26.0,,,26.0,,,,26.0,23.0,
bayer leverkusen,Germany,751.0,201.0,251.0,,251.0,351.0,251.0,151.0,151.0,,,,,251.0,,251.0,,,251.0,,,,238.0,364.0,
bor monchengladbach,Germany,1001.0,201.0,151.0,,151.0,251.0,201.0,201.0,151.0,,,,,201.0,,201.0,,,201.0,,,,352.0,306.0,
schalke 04,Germany,1001.0,151.0,201.0,,201.0,251.0,151.0,201.0,151.0,,,,,151.0,,151.0,,,151.0,,,,,243.0,
augsburg,Germany,2001.0,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,124.0,
hoffenheim,Germany,4001.0,,401.0,,401.0,,751.0,501.0,,,,,,,,,,,,,,,38.0,412.0,
werder bremen,Germany,4001.0,,,,,,2001.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
hannover 96,Germany,5001.0,,,,,,501.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
fc koln,Germany,5001.0,,,,,,1001.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
hamburg,Germany,5001.0,,,,,,2501.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
eintracht frankfurt,Germany,5001.0,,501.0,,501.0,,1001.0,501.0,,,,,,,,,,,,,,,44.0,844.0,
bor dortmund,Germany,5001.0,,251.0,,251.0,,501.0,501.0,,,,,,301.0,,251.0,,,301.0,,,,,587.0,
hertha berlin,Germany,7501.0,,,,,,1501.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
mainz 05,Germany,7501.0,,,,,,401.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
vfb stuttgart,Germany,10001.0,,,,,,1001.0,501.0,,,,,,,,,,,,,,,38.0,844.0,
freiburg,Germany,10001.0,,,,,,2001.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
paderborn,Germany,10001.0,,,,,,2501.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
real madrid,Spain,,1.83,1.83,,1.83,1.73,1.73,1.8,,1.85,,,,1.85,,1.9,,,1.85,1.85,,1.85,1.93,1.91,
barcelona,Spain,,2.1,2.1,,2.1,2.05,2.0,2.1,,2.0,,,,2.0,,2.0,,,2.0,2.0,,2.0,2.1,2.05,
atletico madrid,Spain,,17.0,17.0,,17.0,17.0,26.0,17.0,,26.0,,,,23.0,,17.0,,,23.0,26.0,,26.0,24.0,22.0,
valencia,Spain,,,201.0,,201.0,151.0,,201.0,,251.0,,,,,,,,,,251.0,,251.0,209.0,354.0,
seville,Spain,,,401.0,,401.0,501.0,,501.0,,1001.0,,,,,,,,,,1001.0,,1001.0,418.0,543.0,
villarreal,Spain,,,,,,,,501.0,,1001.0,,,,,,,,,,1001.0,,1001.0,,844.0,
malaga,Spain,,,,,,,,1001.0,,2001.0,,,,,,,,,,2001.0,,2001.0,380.0,844.0,
athletic bilbao,Spain,,,,,,,,1001.0,,2501.0,,,,,,,,,,2501.0,,2501.0,285.0,844.0,
celta vigo,Spain,,,,,,,,1001.0,,2501.0,,,,,,,,,,2501.0,,2501.0,,844.0,
espanyol,Spain,,,,,,,,1001.0,,2501.0,,,,,,,,,,2501.0,,2501.0,,844.0,
deportivo la coruna,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,,844.0,
eibar,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,,844.0,
getafe,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,,844.0,
rayo vallecano,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,,844.0,
real sociedad,Spain,,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,,844.0,
almeria,Spain,,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,,844.0,
cordoba,Spain,,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,,844.0,
elche,Spain,,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,,844.0,
granada,Spain,,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,,844.0,
levante,Spain,,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,,844.0,
chelsea,England,1.13,1.12,1.12,1.13,1.13,,1.12,1.12,1.13,1.13,1.09,1.12,1.13,1.12,1.13,1.12,1.13,,1.12,1.13,1.12,1.13,1.15,1.16,1.16
man city,England,7.5,7.5,7.5,7.5,7.5,,7.0,8.0,7.5,7.5,7.5,8.0,7.5,7.5,7.5,7.5,7.5,,7.5,7.5,7.5,7.5,8.41,7.98,8.52
man utd,England,67.0,81.0,41.0,51.0,41.0,,51.0,81.0,51.0,67.0,67.0,67.0,41.0,51.0,81.0,51.0,67.0,,51.0,67.0,67.0,67.0,95.0,93.0,90.0
arsenal,England,101.0,81.0,51.0,81.0,51.0,,67.0,101.0,67.0,101.0,101.0,81.0,67.0,67.0,81.0,51.0,67.0,,67.0,101.0,101.0,101.0,124.0,124.0,100.0
southampton,England,301.0,251.0,201.0,301.0,201.0,,276.0,251.0,201.0,301.0,401.0,301.0,201.0,251.0,301.0,251.0,151.0,,251.0,301.0,301.0,301.0,494.0,480.0,496.0
liverpool,England,401.0,401.0,351.0,301.0,351.0,,451.0,251.0,351.0,401.0,401.0,301.0,301.0,301.0,401.0,251.0,351.0,,301.0,401.0,401.0,401.0,580.0,567.0,496.0
tottenham,England,401.0,501.0,351.0,401.0,351.0,,476.0,426.0,351.0,401.0,401.0,401.0,301.0,401.0,401.0,351.0,301.0,,401.0,401.0,401.0,401.0,950.0,912.0,496.0
everton,England,2001.0,,,,,,,2501.0,,,,,,,,,,,,,,,,917.0,496.0
newcastle,England,2501.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
stoke,England,2501.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
swansea,England,2501.0,,,,,,,,,,,,,,,,,,,,,,,917.0,496.0
aston villa,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,917.0,496.0
crystal palace,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
sunderland,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
west brom,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
west ham,England,2001.0,,,,,,,1501.0,,,10001.0,,,,,,,,,,,,,970.0,496.0
hull,England,15001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
qpr,England,15001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,
burnley,England,20001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
