name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bursaspor,Turkey,41.0,,,34.0,,,26.0,51.0,,,,,,34.0,,34.0,,51.0,34.0,,,32.0,,
Trabzonspor,Turkey,41.0,,,34.0,,,41.0,41.0,,,,,,41.0,,41.0,,51.0,41.0,,,32.0,,
Kasimpasa,Turkey,67.0,,,,,,67.0,,,,,,,67.0,,67.0,,67.0,34.0,,,32.0,,
Genclerbirligi,Turkey,201.0,,,,,,101.0,,,,,,,,,151.0,,151.0,201.0,,,32.0,,
Elazigspor,Turkey,201.0,,,,,,251.0,,,,,,,,,251.0,,251.0,201.0,,,32.0,,
Erciyesspor,Turkey,251.0,,,,,,251.0,,,,,,,,,251.0,,,251.0,,,32.0,,
Eskisehirspor,Turkey,251.0,,,101.0,,,101.0,101.0,,,,,,151.0,,151.0,,151.0,101.0,,,32.0,,
Kayserispor,Turkey,251.0,,,,,,101.0,,,,,,,151.0,,151.0,,151.0,201.0,,,32.0,,
Rizespor,Turkey,151.0,,,,,,251.0,,,,,,,,,201.0,,,201.0,,,32.0,,
Sivasspor,Turkey,201.0,,,,,,101.0,,,,,,,,,251.0,,151.0,201.0,,,32.0,,
Antalyaspor,Turkey,301.0,,,,,,101.0,,,,,,,,,201.0,,151.0,251.0,,,32.0,,
Karabukspor,Turkey,301.0,,,,,,151.0,,,,,,,,,251.0,,301.0,301.0,,,32.0,,
Konyaspor,Turkey,501.0,,,,,,251.0,,,,,,,,,251.0,,,351.0,,,32.0,,
Akhisar,Turkey,751.0,,,,,,251.0,,,,,,,,,501.0,,801.0,751.0,,,32.0,,
Gaziantepspor,Turkey,1001.0,,,,,,101.0,,,,,,,,,251.0,,1001.0,1001.0,,,32.0,,
Cruzeiro,Brazil,1.2,,,,,,,,,,,,,,,,,1.18,,,,1.08,,
Botafogo RJ,Brazil,7.0,,,,,,,,,,,,,,,,,7.0,,,,3.94,,
Gremio,Brazil,17.0,,,,,,,,,,,,,,,,,18.0,,,,5.09,,
Atletico PR,Brazil,34.0,,,,,,,,,,,,,,,,,36.0,,,,32.0,,
Internacional RS,Brazil,51.0,,,,,,,,,,,,,,,,,61.0,,,,8.6,,
Corinthians SP,Brazil,101.0,,,,,,,,,,,,,,,,,151.0,,,,32.0,,
Atletico Mineiro,Brazil,,,,,,,,,,,,,,,,,,,,,,3.38,,
Coritiba,Brazil,,,,,,,,,,,,,,,,,,,,,,3.38,,
Santos SP,Brazil,,,,,,,,,,,,,,,,,,,,,,3.38,,
Vasco da Gama,Brazil,,,,,,,,,,,,,,,,,,,,,,3.38,,
Nautico PE,Brazil,,,,,,,,,,,,,,,,,,,,,,32.0,,
Ponte Preta,Brazil,,,,,,,,,,,,,,,,,,,,,,32.0,,
Sao Paulo,Brazil,,,,,,,,,,,,,,,,,,,,,,57.0,,
Flamengo,Brazil,,,,,,,,,,,,,,,,,,,,,,81.0,,
Bahia,Brazil,,,,,,,,,,,,,,,,,,,,,,86.0,,
Goias GO,Brazil,,,,,,,,,,,,,,,,,,,,,,86.0,,
Vitoria,Brazil,,,,,,,,,,,,,,,,,,,,,,86.0,,
Criciuma,Brazil,,,,,,,,,,,,,,,,,,,,,,90.0,,
Fluminense RJ,Brazil,,,,,,,,,,,,,,,,,,,,,,90.0,,
Portuguesa,Brazil,,,,,,,,,,,,,,,,,,,,,,90.0,,
