name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,,,,,1.17,,,,,,,,,,,,,,,,1.27,0.03,
Bor Dortmund,Germany,,,,,4.5,,,,,,,,,,,,,,,,4.32,0.03,
Bayer Leverkusen,Germany,,,,,34.0,,,,,,,,,,,,,,,,57.0,0.03,
Schalke 04,Germany,,,,,126.0,,,,,,,,,,,,,,,,105.0,0.03,
Bor Monchengladbach,Germany,,,,,151.0,,,,,,,,,,,,,,,,380.0,0.03,
VfB Stuttgart,Germany,,,,,501.0,,,,,,,,,,,,,,,,361.0,0.03,
Freiburg,Germany,,,,,,,,,,,,,,,,,,,,,143.0,0.03,
Hamburg,Germany,,,,,,,,,,,,,,,,,,,,,200.0,0.03,
VfL Wolfsburg,Germany,,,,,,,,,,,,,,,,,,,,,200.0,0.03,
Hertha Berlin,Germany,,,,,,,,,,,,,,,,,,,,,209.0,0.03,
Augsburg,Germany,,,,,,,,,,,,,,,,,,,,,285.0,0.03,
Braunschweig,Germany,,,,,,,,,,,,,,,,,,,,,333.0,0.03,
Eintracht Frankfurt,Germany,,,,,,,,,,,,,,,,,,,,,371.0,0.03,
Nurnberg,Germany,,,,,,,,,,,,,,,,,,,,,371.0,0.03,
Hannover 96,Germany,,,,,,,,,,,,,,,,,,,,,437.0,0.03,
Hoffenheim,Germany,,,,,,,,,,,,,,,,,,,,,475.0,0.03,
Mainz 05,Germany,,,,,,,,,,,,,,,,,,,,,485.0,0.03,
Werder Bremen,Germany,,,,,,,,,,,,,,,,,,,,,646.0,0.03,
Barcelona,Spain,,,,,1.3,,1.29,,,,,,,,,,,,,,1.35,0.03,
Real Madrid,Spain,,,,,4.33,,5.0,,,,,,,,,,,,,,4.99,0.03,
Atletico Madrid,Spain,,,,,10.0,,9.0,,,,,,,,,,,,,,11.4,0.03,
Villarreal,Spain,,,,,251.0,,501.0,,,,,,,,,,,,,,342.0,0.03,
Real Sociedad,Spain,,,,,401.0,,501.0,,,,,,,,,,,,,,504.0,0.03,
Valencia,Spain,,,,,,,501.0,,,,,,,,,,,,,,532.0,0.03,
Sevilla,Spain,,,,,,,1001.0,,,,,,,,,,,,,,542.0,0.03,
Athl Bilbao,Spain,,,,,751.0,,1001.0,,,,,,,,,,,,,,950.0,0.03,
