name,country,max,min,mean,median,twentyfive,seventyfive
bayern munich,Germany,1.05,1.01,1.0293333333333334,1.03,1.02,1.03
bor dortmund,Germany,18.1,10.0,13.673333333333334,13.0,12.0,15.0
wolfsburg,Germany,501.0,21.0,238.21428571428572,226.0,163.5,288.5
bayer leverkusen,Germany,501.0,21.0,259.85714285714283,226.0,163.5,363.5
bor monchengladbach,Germany,751.0,81.0,368.23076923076923,351.0,251.0,501.0
schalke 04,Germany,1001.0,51.0,520.14285714285711,501.0,338.5,501.0
hertha berlin,Germany,1501.0,52.0,628.0,501.0,351.0,751.0
hamburg,Germany,3001.0,52.0,1590.0,1001.0,751.0,2501.0
mainz 05,Germany,3001.0,52.0,1478.8888888888889,751.0,751.0,2501.0
fc koln,Germany,3501.0,52.0,1590.0,1001.0,501.0,2501.0
augsburg,Germany,5001.0,52.0,1865.4285714285713,1001.0,751.0,2751.0
eintracht frankfurt,Germany,5001.0,52.0,2044.0,1001.0,626.0,3501.0
hannover,Germany,5001.0,52.0,2044.0,1001.0,626.0,3501.0
hoffenheim,Germany,5001.0,52.0,2079.7142857142858,1001.0,751.0,3501.0
vfb stuttgart,Germany,5001.0,52.0,2079.7142857142858,1001.0,751.0,3501.0
darmstadt,Germany,5001.0,90.0,2656.5714285714284,2501.0,751.0,4751.0
ingolstadt,Germany,5001.0,90.0,2455.3333333333335,1501.0,1001.0,4501.0
werder bremen,Germany,5001.0,95.0,2157.2857142857142,1501.0,751.0,3501.0
barcelona,Spain,1.27,1.2,1.2271428571428571,1.22,1.22,1.25
real madrid,Spain,7.21,5.0,5.7595454545454539,5.75,5.5,6.0
atletico madrid,Spain,10.0,8.0,9.5691304347826094,10.0,9.0,10.0
celta vigo,Spain,801.0,251.0,526.21052631578948,501.0,401.0,751.0
seville,Spain,1001.0,147.0,469.21052631578948,401.0,251.0,651.0
villarreal,Spain,1201.0,201.0,602.04761904761904,501.0,401.0,751.0
valencia,Spain,2001.0,461.0,891.0,751.0,501.0,1101.0
athletic bilbao,Spain,2201.0,143.0,1059.4375,1001.0,751.0,1501.0
deportivo la coruna,Spain,5001.0,143.0,2118.6363636363635,2001.0,1251.0,2501.0
eibar,Spain,5001.0,153.0,2616.1999999999998,2751.0,2126.0,3001.0
betis,Spain,10001.0,153.0,3469.3636363636365,2501.0,2501.0,4751.0
espanyol,Spain,10001.0,153.0,3060.2727272727275,3001.0,1251.0,3751.0
getafe,Spain,10001.0,153.0,4016.1999999999998,4751.0,2501.0,5001.0
gijon,Spain,10001.0,143.0,3664.090909090909,4501.0,1501.0,5001.0
granada,Spain,10001.0,153.0,4016.1999999999998,4751.0,2501.0,5001.0
levante,Spain,10001.0,501.0,3842.5999999999999,3501.0,2501.0,5001.0
malaga,Spain,10001.0,143.0,3275.5,3001.0,501.0,5001.0
rayo vallecano,Spain,10001.0,153.0,3316.1999999999998,2751.0,2501.0,4001.0
real sociedad,Spain,10001.0,153.0,3266.1999999999998,3251.0,1376.0,4001.0
ud las palmas,Spain,10001.0,143.0,4118.636363636364,5001.0,2501.0,5001.0
man city,England,2.41,2.1,2.2608000000000001,2.25,2.25,2.25
arsenal,England,2.8,2.37,2.6431999999999998,2.6499999999999999,2.6200000000000001,2.75
man utd,England,11.0,9.0,9.8479166666666664,10.0,9.5,10.0
leicester,England,21.0,15.0,19.039999999999999,19.0,17.0,21.0
liverpool,England,24.0,13.0,19.440000000000001,19.0,17.0,21.0
tottenham,England,30.0,20.0,24.48,26.0,21.0,26.0
chelsea,England,201.0,67.0,119.84,101.0,101.0,151.0
everton,England,251.0,70.0,196.0,201.0,161.0,226.0
crystal palace,England,1001.0,80.0,553.41666666666663,501.0,501.0,638.5
southampton,England,1501.0,496.0,1050.7272727272727,1001.0,763.5,1501.0
west ham,England,2501.0,80.0,1146.6521739130435,1001.0,751.0,1501.0
watford,England,2501.0,496.0,1609.0,1501.0,1126.0,2001.0
stoke,England,3001.0,496.0,1361.7777777777778,1001.0,838.25,1501.0
bournemouth,England,5001.0,496.0,2997.0,3501.0,1126.0,4876.0
newcastle,England,5001.0,496.0,2961.2857142857142,3501.0,1126.0,4751.0
swansea,England,5001.0,496.0,2139.8571428571427,1751.0,1001.0,3001.0
west brom,England,5001.0,496.0,2318.4285714285716,2251.0,1251.0,2501.0
aston villa,England,10001.0,496.0,4708.2307692307695,4751.0,1001.0,7501.0
norwich,England,10001.0,496.0,4157.7142857142853,5001.0,1938.5,5001.0
sunderland,England,10001.0,496.0,4208.2307692307695,5001.0,1001.0,5001.0
psg,France,1.01,1.0,1.0009999999999999,1.0,1.0,1.0
monaco,France,151.0,41.0,97.909090909090907,101.0,74.0,111.0
lyon,France,251.0,51.0,157.27272727272728,151.0,101.0,201.0
marseille,France,501.0,95.0,316.36363636363637,301.0,251.0,363.5
