name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
ac milan,Italy,26.0,23.0,19.0,23.0,19.0,21.0,17.0,17.0,21.0,30.0,26.0,,21.0,23.0,,26.0,26.0,25.0,23.0,30.0,26.0,30.0,32.0,25.0,
inter,Italy,51.0,29.0,34.0,29.0,34.0,26.0,26.0,34.0,26.0,50.0,29.0,,34.0,41.0,,41.0,34.0,40.0,41.0,50.0,51.0,50.0,67.0,62.0,
fiorentina,Italy,41.0,41.0,41.0,41.0,41.0,29.0,41.0,34.0,34.0,70.0,67.0,,34.0,41.0,,41.0,41.0,40.0,41.0,70.0,101.0,70.0,304.0,267.0,
lazio,Italy,101.0,201.0,151.0,151.0,151.0,251.0,201.0,151.0,151.0,101.0,301.0,,151.0,151.0,,101.0,151.0,100.0,151.0,101.0,67.0,101.0,200.0,186.0,
udinese,Italy,251.0,201.0,201.0,201.0,201.0,201.0,251.0,251.0,251.0,101.0,251.0,,201.0,251.0,,251.0,251.0,151.0,251.0,101.0,751.0,101.0,390.0,340.0,
sampdoria,Italy,501.0,501.0,501.0,501.0,501.0,501.0,751.0,201.0,501.0,151.0,751.0,,1001.0,501.0,,501.0,501.0,451.0,501.0,151.0,251.0,151.0,285.0,252.0,
verona,Italy,501.0,501.0,751.0,501.0,751.0,751.0,1001.0,501.0,501.0,501.0,1001.0,,501.0,751.0,,751.0,751.0,451.0,751.0,501.0,501.0,501.0,437.0,383.0,
parma,Italy,501.0,501.0,1001.0,751.0,1001.0,1001.0,1001.0,501.0,501.0,,1001.0,,501.0,751.0,,1001.0,1001.0,701.0,751.0,,751.0,,950.0,844.0,
atalanta,Italy,751.0,1001.0,1001.0,1001.0,1001.0,1001.0,1501.0,1001.0,1001.0,,2001.0,,1001.0,1001.0,,1001.0,,951.0,1001.0,,751.0,,950.0,844.0,
cagliari,Italy,2001.0,1501.0,1001.0,1001.0,1001.0,1501.0,2001.0,1001.0,1501.0,,2001.0,,1001.0,1501.0,,1501.0,,1001.0,1501.0,,751.0,,950.0,844.0,
empoli,Italy,1501.0,2001.0,2001.0,1501.0,2001.0,2001.0,2001.0,1001.0,2001.0,,1751.0,,1001.0,1501.0,,2001.0,,1001.0,1501.0,,1001.0,,950.0,844.0,
genoa,Italy,1001.0,751.0,1001.0,751.0,1001.0,1001.0,1501.0,501.0,1001.0,501.0,2001.0,,1001.0,1001.0,,751.0,,701.0,1001.0,501.0,501.0,501.0,950.0,844.0,
torino,Italy,501.0,1001.0,501.0,401.0,501.0,1001.0,501.0,501.0,501.0,,2001.0,,501.0,751.0,,1001.0,501.0,451.0,751.0,,751.0,,950.0,844.0,
chievo,Italy,2001.0,2001.0,2001.0,1501.0,2001.0,2001.0,2501.0,1001.0,1501.0,,3001.0,,1001.0,2001.0,,1501.0,,1001.0,2001.0,,1001.0,,950.0,844.0,
sassuolo,Italy,1501.0,2001.0,2501.0,1501.0,2501.0,2001.0,2501.0,1001.0,2001.0,,5001.0,,1001.0,2501.0,,2001.0,,1001.0,2501.0,,1001.0,,570.0,500.0,
cesena,Italy,1501.0,2501.0,1501.0,1501.0,1501.0,2501.0,2501.0,1001.0,1501.0,,5001.0,,1001.0,2501.0,,2501.0,,1001.0,2501.0,,1001.0,,950.0,844.0,
