name,country,max,min,mean,median,twentyfive,seventyfive
Bayern Munich,Germany,1.34,1.22,1.2822727272727275,1.29,1.25,1.3
Bor Dortmund,Germany,4.5,3.5,4.0677272727272724,4.0,3.8725000000000001,4.3300000000000001
Bayer Leverkusen,Germany,46.0,26.0,31.045454545454547,30.0,26.0,34.0
Schalke 04,Germany,91.0,41.0,67.272727272727266,67.0,63.25,75.0
VfL Wolfsburg,Germany,176.0,67.0,114.77272727272727,101.0,101.0,148.25
Werder Bremen,Germany,475.0,126.0,259.04545454545456,226.0,201.0,300.75
Bor Monchengladbach,Germany,485.0,101.0,212.68181818181819,151.0,151.0,238.5
Hamburg,Germany,760.0,151.0,303.63636363636363,251.0,201.0,301.0
VfB Stuttgart,Germany,501.0,151.0,273.36363636363637,251.0,151.0,335.5
Hannover 96,Germany,801.0,101.0,278.27272727272725,251.0,151.0,301.0
Mainz 05,Germany,801.0,101.0,363.09090909090907,301.0,251.0,501.0
Eintracht Frankfurt,Germany,801.0,201.0,486.36363636363637,501.0,401.0,501.0
Hoffenheim,Germany,801.0,151.0,428.63636363636363,351.0,263.25,530.25
Freiburg,Germany,950.0,251.0,548.22727272727275,501.0,500.25,582.75
Hertha Berlin,Germany,1251.0,151.0,444.90909090909093,373.0,251.0,501.0
Nurnberg,Germany,2501.0,251.0,964.5454545454545,819.5,751.0,1001.0
Augsburg,Germany,3001.0,501.0,1453.1818181818182,1376.0,1000.0,2001.0
Braunschweig,Germany,6001.0,501.0,2885.0,2750.5,1626.0,4501.0
Barcelona,Spain,1.81,1.57,1.6768181818181818,1.6699999999999999,1.6200000000000001,1.7174999999999998
Real Madrid,Spain,2.38,2.1,2.2313636363636364,2.25,2.2000000000000002,2.25
Atletico Madrid,Spain,67.0,1.36,47.789090909090916,51.0,40.0,51.0
Valencia,Spain,485.0,9.0,205.22727272727272,201.0,131.5,251.0
Real Sociedad,Spain,501.0,12.0,286.0,301.0,213.5,400.0
