name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.1,1.11,1.11,1.08,1.11,1.1,1.05,1.07,1.06,1.12,1.1,1.1,1.08,1.1,1.1,1.1,1.1,1.1,1.12,1.12,1.12,1.1,1.13,,
vfl wolfsburg,Germany,17.0,,17.0,,17.0,,,18.0,,18.0,17.0,,17.0,17.0,15.0,17.0,,17.0,18.0,17.0,18.0,,,,
wolfsburg,Germany,,17.0,,17.0,,13.0,21.0,,11.0,,,21.0,,,,,16.0,,,,,3.15,13.4,,
bor dortmund,Germany,21.0,15.0,15.0,17.0,15.0,15.0,21.0,21.0,12.0,14.0,15.0,21.0,17.0,15.0,21.0,17.0,17.0,15.0,14.0,19.0,14.0,2.65,18.1,,
bayer leverkusen,Germany,41.0,34.0,34.0,34.0,34.0,34.0,41.0,34.0,23.0,34.0,34.0,26.0,41.0,34.0,34.0,34.0,35.0,34.0,34.0,34.0,34.0,5.65,28.0,,
bor monchengladbach,Germany,41.0,34.0,29.0,34.0,29.0,34.0,51.0,41.0,26.0,34.0,34.0,41.0,41.0,29.0,41.0,41.0,37.0,29.0,34.0,41.0,34.0,7.75,32.0,,
schalke 04,Germany,51.0,41.0,41.0,41.0,41.0,41.0,51.0,41.0,29.0,41.0,51.0,101.0,51.0,51.0,41.0,41.0,44.0,51.0,41.0,51.0,41.0,10.8,32.0,,
mainz 05,Germany,501.0,501.0,501.0,501.0,501.0,401.0,501.0,501.0,301.0,401.0,401.0,501.0,501.0,251.0,501.0,501.0,451.0,251.0,401.0,501.0,401.0,101.0,95.0,,
augsburg,Germany,751.0,301.0,251.0,501.0,251.0,501.0,751.0,501.0,301.0,301.0,251.0,751.0,501.0,201.0,501.0,751.0,451.0,201.0,301.0,501.0,301.0,60.0,95.0,,
eintracht frankfurt,Germany,501.0,501.0,401.0,501.0,401.0,501.0,501.0,501.0,301.0,501.0,401.0,751.0,501.0,501.0,501.0,501.0,451.0,501.0,501.0,501.0,501.0,151.0,95.0,,
hoffenheim,Germany,251.0,251.0,251.0,251.0,251.0,251.0,501.0,251.0,176.0,251.0,201.0,501.0,501.0,151.0,501.0,751.0,251.0,151.0,251.0,251.0,251.0,61.0,95.0,,
vfb stuttgart,Germany,501.0,501.0,251.0,401.0,251.0,301.0,751.0,501.0,301.0,301.0,301.0,501.0,751.0,251.0,751.0,751.0,401.0,251.0,301.0,501.0,301.0,71.0,95.0,,
fc koln,Germany,751.0,501.0,501.0,751.0,501.0,501.0,751.0,501.0,401.0,801.0,501.0,1001.0,751.0,501.0,751.0,751.0,651.0,501.0,801.0,751.0,801.0,211.0,95.0,,
hamburg,Germany,501.0,301.0,301.0,501.0,301.0,501.0,751.0,501.0,301.0,501.0,501.0,1001.0,751.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,156.0,95.0,,
hannover,Germany,,501.0,,501.0,,501.0,751.0,,,,,1001.0,,,,,601.0,,,,,,95.0,,
