name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,1.2,1.2,1.18,1.18,1.18,1.18,1.17,1.2,,1.18,1.2,,1.17,1.16,1.18,1.18,1.18,1.18,1.18,1.23,1.26,1.25,
Bor Dortmund,Germany,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,5.0,5.0,5.0,4.75,5.0,5.0,5.0,5.2,5.75,5.27,
Bayer Leverkusen,Germany,17.0,17.0,21.0,21.0,21.0,21.0,17.0,21.0,,20.0,17.0,,21.0,21.0,21.0,23.0,20.0,19.0,17.0,26.0,25.0,27.0,
Schalke 04,Germany,151.0,101.0,81.0,101.0,81.0,101.0,101.0,101.0,,75.0,101.0,,101.0,81.0,101.0,51.0,75.0,126.0,101.0,108.0,143.0,155.0,
Bor Monchengladbach,Germany,401.0,101.0,201.0,151.0,201.0,151.0,201.0,151.0,,150.0,151.0,,201.0,101.0,251.0,101.0,150.0,,151.0,210.0,314.0,276.0,
VfL Wolfsburg,Germany,501.0,501.0,251.0,151.0,251.0,201.0,251.0,501.0,,200.0,151.0,,151.0,501.0,501.0,101.0,200.0,,301.0,146.0,190.0,182.0,
VfB Stuttgart,Germany,501.0,151.0,251.0,201.0,251.0,151.0,251.0,201.0,,200.0,251.0,,201.0,151.0,501.0,101.0,200.0,,201.0,220.0,323.0,286.0,
Hannover 96,Germany,501.0,,401.0,501.0,401.0,351.0,501.0,501.0,,200.0,301.0,,301.0,351.0,501.0,101.0,200.0,,351.0,280.0,399.0,373.0,
Hertha Berlin,Germany,501.0,,,,,401.0,501.0,201.0,,150.0,401.0,,501.0,251.0,751.0,101.0,150.0,,351.0,230.0,361.0,310.0,
Eintracht Frankfurt,Germany,751.0,,,,,251.0,501.0,201.0,,300.0,251.0,,301.0,251.0,751.0,151.0,300.0,,301.0,340.0,485.0,451.0,
Werder Bremen,Germany,751.0,501.0,,301.0,,301.0,501.0,251.0,,300.0,401.0,,501.0,251.0,501.0,251.0,300.0,,351.0,415.0,589.0,563.0,
Mainz 05,Germany,,,,,,301.0,751.0,401.0,,300.0,501.0,,501.0,351.0,751.0,251.0,300.0,,501.0,615.0,950.0,907.0,
Hamburg,Germany,1001.0,,,401.0,,301.0,501.0,251.0,,300.0,501.0,,501.0,251.0,751.0,251.0,300.0,,351.0,124.0,162.0,155.0,
Hoffenheim,Germany,,,501.0,351.0,501.0,401.0,1001.0,301.0,,300.0,401.0,,501.0,251.0,751.0,251.0,300.0,,401.0,615.0,950.0,907.0,
Freiburg,Germany,,,,,,751.0,1001.0,501.0,,2000.0,751.0,,501.0,751.0,1001.0,1001.0,2000.0,,1001.0,610.0,950.0,902.0,
Nurnberg,Germany,,,,,,1001.0,1001.0,501.0,,2000.0,1501.0,,1001.0,1001.0,2001.0,1001.0,2000.0,,1501.0,615.0,950.0,907.0,
Augsburg,Germany,,,,,,1001.0,2501.0,401.0,,300.0,1001.0,,1001.0,501.0,2501.0,251.0,300.0,,1501.0,615.0,950.0,907.0,
Braunschweig,Germany,,,,,,3001.0,5001.0,501.0,,5000.0,3001.0,,5001.0,2501.0,5001.0,2001.0,5000.0,,3001.0,615.0,950.0,907.0,
Barcelona,Spain,1.44,1.44,,1.44,,,1.4,1.44,1.4,,1.33,,1.4,1.4,1.4,1.45,,1.44,1.45,1.41,1.45,1.42,
Real Madrid,Spain,3.25,3.25,,3.25,,,3.0,3.25,3.25,,3.5,,3.0,3.2,3.25,3.0,,3.0,3.25,3.35,3.71,3.67,
Atletico Madrid,Spain,15.0,15.0,,15.0,,,17.0,13.0,13.0,,17.0,,13.0,13.0,13.0,13.0,,15.0,13.0,12.0,14.8,14.1,
Real Sociedad,Spain,,,,501.0,,,501.0,401.0,751.0,,1001.0,,501.0,351.0,,,,,501.0,275.0,447.0,364.0,
Valencia,Spain,1001.0,,,501.0,,,251.0,251.0,751.0,,1001.0,,301.0,351.0,,,,,401.0,340.0,485.0,451.0,
Sevilla,Spain,,,,751.0,,,1001.0,401.0,1001.0,,1001.0,,501.0,501.0,,,,,,310.0,542.0,412.0,
Athl Bilbao,Spain,751.0,,,751.0,,,1001.0,401.0,1001.0,,1001.0,,501.0,501.0,,,,,601.0,275.0,950.0,364.0,
Betis,Spain,,,,,,,751.0,401.0,1001.0,,1001.0,,751.0,751.0,,,,,601.0,350.0,950.0,461.0,
Malaga,Spain,,,,751.0,,,1001.0,501.0,1001.0,,1001.0,,1001.0,751.0,,,,,1001.0,615.0,950.0,907.0,
Espanyol,Spain,,,,,,,1001.0,1001.0,1001.0,,1501.0,,1001.0,,,,,,1001.0,400.0,950.0,543.0,
Villarreal,Spain,751.0,,,501.0,,,1001.0,,3001.0,,1001.0,,301.0,501.0,,,,,251.0,170.0,295.0,218.0,
Celta Vigo,Spain,,,,,,,2501.0,1501.0,2001.0,,5001.0,,1501.0,,,,,,2001.0,615.0,950.0,907.0,
Getafe,Spain,,,,,,,2001.0,1001.0,1501.0,,5001.0,,1001.0,,,,,,1501.0,615.0,950.0,907.0,
Granada,Spain,,,,,,,5001.0,3001.0,3001.0,,5001.0,,2501.0,,,,,,4001.0,615.0,950.0,907.0,
Levante,Spain,,,,,,,2501.0,2001.0,2501.0,,5001.0,,2501.0,,,,,,2501.0,615.0,950.0,907.0,
Valladolid,Spain,,,,,,,3001.0,2501.0,3001.0,,5001.0,,4001.0,,,,,,3001.0,615.0,950.0,907.0,
Osasuna,Spain,,,,,,,5001.0,2501.0,3001.0,,7501.0,,2501.0,,,,,,4001.0,615.0,950.0,907.0,
Rayo Vallecano,Spain,,,,,,,5001.0,1001.0,1501.0,,8001.0,,2501.0,,,,,,2501.0,615.0,950.0,907.0,
Almeria,Spain,,,,,,,7501.0,,,,9001.0,,5001.0,,,,,,,615.0,950.0,907.0,
Elche,Spain,,,,,,,7501.0,5001.0,7501.0,,9001.0,,5001.0,,,,,,5001.0,615.0,950.0,907.0,
