name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,,1.17,,,,,,1.2,,1.18,1.2,,,1.16,,1.18,1.18,,,,1.09,1.23,1.19,
Bor Dortmund,Germany,,4.5,,,,,,5.0,,5.0,5.0,,,5.0,,4.75,5.0,,,,5.3,5.56,5.27,
Bayer Leverkusen,Germany,,21.0,,,,,,19.0,,20.0,21.0,,,21.0,,23.0,20.0,,,,17.5,22.0,18.1,
Schalke 04,Germany,,101.0,,,,,,101.0,,100.0,101.0,,,101.0,,51.0,100.0,,,,72.0,86.0,82.0,
Bor Monchengladbach,Germany,,101.0,,,,,,126.0,,100.0,151.0,,,101.0,,101.0,100.0,,,,196.0,314.0,247.0,
VfB Stuttgart,Germany,,151.0,,,,,,151.0,,200.0,251.0,,,151.0,,101.0,200.0,,,,200.0,295.0,252.0,
Eintracht Frankfurt,Germany,,,,,,,,251.0,,200.0,251.0,,,251.0,,151.0,200.0,,,,340.0,485.0,437.0,
Hoffenheim,Germany,,,,,,,,301.0,,250.0,351.0,,,251.0,,251.0,250.0,,,,615.0,950.0,888.0,
Hamburg,Germany,,,,,,,,251.0,,300.0,401.0,,,251.0,,251.0,300.0,,,,124.0,162.0,152.0,
Hertha Berlin,Germany,,,,,,,,301.0,,200.0,401.0,,,251.0,,151.0,200.0,,,,230.0,333.0,299.0,
VfL Wolfsburg,Germany,,501.0,,,,,,126.0,,200.0,201.0,,,501.0,,101.0,200.0,,,,144.0,190.0,177.0,
Hannover 96,Germany,,,,,,,,501.0,,200.0,301.0,,,351.0,,101.0,200.0,,,,260.0,371.0,337.0,
Werder Bremen,Germany,,501.0,,,,,,251.0,,300.0,401.0,,,251.0,,251.0,300.0,,,,350.0,485.0,451.0,
Mainz 05,Germany,,,,,,,,401.0,,300.0,501.0,,,351.0,,251.0,300.0,,,,615.0,950.0,888.0,
Freiburg,Germany,,,,,,,,501.0,,1000.0,751.0,,,751.0,,501.0,1000.0,,,,610.0,950.0,884.0,
Nurnberg,Germany,,,,,,,,501.0,,1000.0,1501.0,,,1001.0,,501.0,1000.0,,,,615.0,950.0,888.0,
Augsburg,Germany,,,,,,,,401.0,,200.0,2001.0,,,501.0,,251.0,200.0,,,,615.0,950.0,888.0,
Braunschweig,Germany,,,,,,,,501.0,,3000.0,3001.0,,,2501.0,,2001.0,3000.0,,,,615.0,950.0,888.0,
Barcelona,Spain,,,,,,,1.44,1.44,,,,,,1.4,,,,,,,1.47,1.48,1.46,
Real Madrid,Spain,,,,,,,3.0,3.4,,,,,,3.25,,,,,,,3.35,4.04,3.61,
Atletico Madrid,Spain,,,,,,,15.0,13.0,,,,,,12.0,,,,,,,9.4,10.5,9.55,
Valencia,Spain,,,,,,,251.0,251.0,,,,,,251.0,,,,,,,290.0,523.0,375.0,
Real Sociedad,Spain,,,,,,,401.0,401.0,,,,,,501.0,,,,,,,200.0,437.0,252.0,
Betis,Spain,,,,,,,751.0,401.0,,,,,,751.0,,,,,,,295.0,409.0,380.0,
Villarreal,Spain,,,,,,,1001.0,,,,,,,351.0,,,,,,,134.0,171.0,165.0,
Athl Bilbao,Spain,,,,,,,1001.0,401.0,,,,,,751.0,,,,,,,200.0,295.0,252.0,
Sevilla,Spain,,,,,,,1001.0,401.0,,,,,,501.0,,,,,,,255.0,504.0,328.0,
Espanyol,Spain,,,,,,,1001.0,1001.0,,,,,,,,,,,,,360.0,513.0,480.0,
Malaga,Spain,,,,,,,1001.0,501.0,,,,,,501.0,,,,,,,615.0,950.0,888.0,
Getafe,Spain,,,,,,,2001.0,1001.0,,,,,,,,,,,,,615.0,950.0,888.0,
Celta Vigo,Spain,,,,,,,2501.0,1501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Levante,Spain,,,,,,,2501.0,2001.0,,,,,,,,,,,,,615.0,950.0,888.0,
Valladolid,Spain,,,,,,,3001.0,2501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Granada,Spain,,,,,,,5001.0,3001.0,,,,,,,,,,,,,615.0,950.0,888.0,
Osasuna,Spain,,,,,,,5001.0,2501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Rayo Vallecano,Spain,,,,,,,5001.0,1001.0,,,,,,,,,,,,,615.0,950.0,888.0,
Almeria,Spain,,,,,,,7501.0,,,,,,,,,,,,,,615.0,950.0,888.0,
Elche,Spain,,,,,,,7501.0,5001.0,,,,,,,,,,,,,615.0,950.0,888.0,
Man City,England,3.25,3.25,3.25,3.2,3.25,,3.0,3.2,3.2,3.25,3.1,3.2,3.0,3.0,3.0,3.25,3.25,3.27,,3.2,3.3,3.28,3.28,
Chelsea,England,3.6,4.0,3.5,3.75,3.5,,4.0,4.0,3.8,3.75,3.4,3.75,3.5,3.75,3.4,3.75,3.75,4.0,,3.5,3.9,3.85,3.85,
Arsenal,England,5.5,6.0,6.0,6.0,6.0,,6.0,6.0,5.5,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.15,,6.0,6.2,6.32,6.32,
Man Utd,England,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,6.5,7.0,6.5,7.0,7.0,7.0,7.0,7.2,,7.0,7.2,7.27,7.27,
Liverpool,England,8.5,8.0,9.0,8.5,9.0,,8.0,8.0,7.5,8.0,8.0,9.0,8.0,8.0,8.0,8.5,8.0,8.5,,8.5,8.6,8.6,8.6,
Tottenham,England,15.0,15.0,13.0,15.0,13.0,,15.0,13.0,13.0,15.0,15.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,,13.0,15.5,16.2,16.2,
Everton,England,126.0,126.0,151.0,151.0,151.0,,151.0,101.0,151.0,150.0,151.0,151.0,151.0,151.0,151.0,151.0,150.0,121.0,,201.0,132.0,162.0,162.0,
Southampton,England,501.0,1001.0,1001.0,601.0,1001.0,,1001.0,501.0,501.0,750.0,1001.0,501.0,501.0,1001.0,501.0,1001.0,750.0,801.0,,501.0,515.0,684.0,684.0,
Aston Villa,England,1251.0,1001.0,1501.0,,1501.0,,1001.0,2001.0,1001.0,2000.0,2501.0,2001.0,1501.0,1501.0,2001.0,2001.0,2000.0,2001.0,,2001.0,660.0,950.0,950.0,
Swansea,England,1251.0,2001.0,2501.0,2001.0,2501.0,,2501.0,1001.0,,1500.0,2501.0,2501.0,1501.0,2501.0,2001.0,2501.0,1500.0,2001.0,,2001.0,660.0,950.0,950.0,
Newcastle,England,2001.0,2001.0,2501.0,,2501.0,,2001.0,1001.0,,2000.0,4001.0,2501.0,1501.0,2001.0,2501.0,2501.0,2000.0,2501.0,,3001.0,660.0,950.0,950.0,
Fulham,England,3501.0,,2501.0,,2501.0,,3001.0,2001.0,,3000.0,5001.0,5001.0,3001.0,2501.0,3001.0,4001.0,3000.0,3001.0,,3001.0,660.0,950.0,950.0,
Stoke,England,4001.0,,2501.0,,2501.0,,3001.0,4001.0,,3000.0,5001.0,5001.0,5001.0,3501.0,4001.0,5001.0,3000.0,5001.0,,4001.0,660.0,950.0,950.0,
West Brom,England,3001.0,2001.0,1501.0,1501.0,1501.0,,2501.0,2001.0,1001.0,3000.0,5001.0,3001.0,2501.0,2001.0,3001.0,3001.0,3000.0,4001.0,,3001.0,660.0,950.0,950.0,
West Ham,England,2501.0,,2001.0,,2001.0,,3001.0,2001.0,,2500.0,5001.0,3001.0,2001.0,2001.0,2501.0,3001.0,2500.0,2501.0,,3001.0,660.0,950.0,950.0,
Cardiff,England,4001.0,,4001.0,,4001.0,,5001.0,3001.0,,4000.0,7501.0,7501.0,7501.0,5001.0,5001.0,5001.0,4000.0,5001.0,,5001.0,660.0,950.0,950.0,
Hull,England,3501.0,,4001.0,,4001.0,,5001.0,7501.0,,4000.0,7501.0,7501.0,7501.0,5001.0,5001.0,7501.0,4000.0,7501.0,,5001.0,660.0,950.0,950.0,
Norwich,England,,,4001.0,,4001.0,,3001.0,5001.0,,3000.0,5001.0,7501.0,5001.0,3501.0,5001.0,5001.0,3000.0,5001.0,,2001.0,660.0,950.0,950.0,
Sunderland,England,,,2501.0,,2501.0,,3001.0,5001.0,,5000.0,7501.0,10001.0,3001.0,3501.0,5001.0,7501.0,5000.0,7501.0,,3001.0,660.0,950.0,950.0,
Crystal Palace,England,,,10001.0,,10000.0,,10001.0,10001.0,,7500.0,10001.0,20001.0,10001.0,7501.0,10001.0,10001.0,7500.0,8001.0,,10001.0,660.0,950.0,950.0,
PSG,France,,1.22,,,,,,1.17,,1.22,,,,1.2,,,1.22,,,,,1.06,0.05,
Monaco,France,,4.5,,,,,,4.5,,4.0,,,,4.0,,,4.0,,,,2.87,3.14,2.89,
Marseille,France,,34.0,,,,,,46.0,,35.0,,,,34.0,,,35.0,,,,11.5,12.9,11.9,
Lille,France,,51.0,,,,,,56.0,,50.0,,,,51.0,,,50.0,,,,26.0,38.0,28.0,
Lyon,France,,126.0,,,,,,151.0,,100.0,,,,126.0,,,100.0,,,,154.0,209.0,188.0,
St Etienne,France,,151.0,,,,,,151.0,,100.0,,,,151.0,,,100.0,,,,250.0,352.0,323.0,
Nice,France,,251.0,,,,,,101.0,,200.0,,,,151.0,,,200.0,,,,72.0,90.0,80.0,
Rennes,France,,151.0,,,,,,201.0,,300.0,,,,151.0,,,300.0,,,,74.0,95.0,86.0,
Bastia,France,,,,,,,,501.0,,500.0,,,,501.0,,,500.0,,,,74.0,95.0,86.0,
Lorient,France,,,,,,,,501.0,,500.0,,,,501.0,,,500.0,,,,74.0,95.0,86.0,
Reims,France,,,,,,,,501.0,,500.0,,,,501.0,,,500.0,,,,74.0,95.0,86.0,
Toulouse,France,,,,,,,,501.0,,300.0,,,,501.0,,,300.0,,,,78.0,95.0,89.0,
Montpellier,France,,,,,,,,251.0,,500.0,,,,501.0,,,500.0,,,,104.0,133.0,124.0,
Bordeaux,France,,,,,,,,501.0,,500.0,,,,501.0,,,500.0,,,,148.0,200.0,181.0,
Ajaccio,France,,,,,,,,501.0,,1000.0,,,,751.0,,,1000.0,,,,74.0,95.0,86.0,
Evian,France,,,,,,,,501.0,,1000.0,,,,1001.0,,,1000.0,,,,74.0,95.0,86.0,
Guingamp,France,,,,,,,,501.0,,500.0,,,,1001.0,,,500.0,,,,74.0,95.0,86.0,
Nantes,France,,251.0,,,,,,501.0,,200.0,,,,1001.0,,,200.0,,,,74.0,95.0,86.0,
Sochaux,France,,,,,,,,501.0,,1500.0,,,,1001.0,,,1500.0,,,,74.0,95.0,86.0,
Valenciennes,France,,,,,,,,501.0,,1500.0,,,,1001.0,,,1500.0,,,,74.0,95.0,86.0,
Juventus,Italy,,1.62,,,,,,1.67,,1.7,,,,1.67,,,1.7,,,,1.69,1.79,1.73,
Roma,Italy,,5.0,,,,,,4.5,,4.5,,,,4.33,,,4.5,,,,3.55,4.51,3.8,
Napoli,Italy,,5.0,,,,,,4.5,,4.5,,,,4.33,,,4.5,,,,4.4,4.61,4.42,
Inter,Italy,,15.0,,,,,,15.0,,15.0,,,,15.0,,,15.0,,,,18.5,21.0,19.0,
Fiorentina,Italy,,41.0,,,,,,41.0,,25.0,,,,41.0,,,25.0,,,,44.0,62.0,47.0,
AC Milan,Italy,,51.0,,,,,,51.0,,50.0,,,,51.0,,,50.0,,,,28.0,38.0,30.0,
Lazio,Italy,,151.0,,,,,,151.0,,200.0,,,,151.0,,,200.0,,,,150.0,209.0,184.0,
Udinese,Italy,,251.0,,,,,,201.0,,300.0,,,,251.0,,,300.0,,,,365.0,523.0,485.0,
Atalanta,Italy,,,,,,,,501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Bologna,Italy,,,,,,,,501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Chievo,Italy,,,,,,,,501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Genoa,Italy,,,,,,,,501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Livorno,Italy,,,,,,,,501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Sampdoria,Italy,,,,,,,,501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Sassuolo,Italy,,,,,,,,501.0,,,,,,,,,,,,,615.0,950.0,888.0,
Cagliari,Italy,,,,,,,,501.0,,750.0,,,,,,,750.0,,,,615.0,950.0,888.0,
Catania,Italy,,,,,,,,501.0,,750.0,,,,,,,750.0,,,,615.0,950.0,888.0,
Parma,Italy,,,,,,,,501.0,,750.0,,,,,,,750.0,,,,615.0,950.0,888.0,
Torino,Italy,,,,,,,,501.0,,750.0,,,,,,,750.0,,,,615.0,950.0,888.0,
Verona,Italy,,,,,,,,501.0,,1000.0,,,,,,,1000.0,,,,615.0,950.0,888.0,
Celtic,Scotland,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.01,1.03,1.02,
Inverness,Scotland,101.0,81.0,,101.0,,,51.0,81.0,51.0,,67.0,101.0,101.0,81.0,,,,,,,28.0,38.0,30.0,
Motherwell,Scotland,67.0,81.0,,101.0,,,34.0,81.0,41.0,,67.0,81.0,67.0,67.0,,,,,,,35.0,46.0,37.0,
Aberdeen,Scotland,151.0,101.0,,101.0,,,67.0,81.0,67.0,,81.0,101.0,151.0,81.0,,,,,,,29.0,40.0,30.0,
Dundee Utd,Scotland,201.0,251.0,,251.0,,,201.0,101.0,,,201.0,151.0,151.0,251.0,,,,,,,92.0,133.0,110.0,
Hibernian,Scotland,351.0,501.0,,501.0,,,251.0,251.0,201.0,,301.0,501.0,301.0,351.0,,,,,,,92.0,133.0,110.0,
St Johnstone,Scotland,201.0,501.0,,301.0,,,151.0,501.0,251.0,,251.0,201.0,151.0,351.0,,,,,,,92.0,133.0,110.0,
Partick,Scotland,751.0,1001.0,,,,,751.0,2501.0,,,1001.0,501.0,751.0,1001.0,,,,,,,84.0,124.0,101.0,
Ross County,Scotland,1001.0,1501.0,,,,,501.0,2501.0,,,751.0,501.0,501.0,1501.0,,,,,,,92.0,133.0,110.0,
