name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.0,1.0,,,,1.0,1.0,1.01,1.0,,,,1.0,,,,,,,,1.01,,1.01,,
vfl wolfsburg,Germany,101.0,81.0,,,,67.0,51.0,71.0,67.0,,,,81.0,,,,,,,,101.0,,48.0,95.0,
bayer leverkusen,Germany,251.0,201.0,,,,101.0,101.0,81.0,67.0,,,,101.0,,,,,,,,151.0,,133.0,204.0,
bor monchengladbach,Germany,501.0,201.0,,,,126.0,101.0,101.0,126.0,,,,251.0,,,,,,,,251.0,,95.0,407.0,
schalke 04,Germany,1001.0,,,,,201.0,101.0,251.0,201.0,,,,501.0,,,,,,,,251.0,,95.0,182.0,
hoffenheim,Germany,1001.0,251.0,,,,501.0,751.0,501.0,251.0,,,,751.0,,,,,,,,501.0,,238.0,378.0,
augsburg,Germany,2001.0,,,,,,2001.0,501.0,,,,,,,,,,,,,501.0,,71.0,286.0,
bor dortmund,Germany,2501.0,,,,,201.0,501.0,326.0,301.0,,,,501.0,,,,,,,,501.0,,95.0,432.0,
hannover 96,Germany,2501.0,,,,,501.0,501.0,501.0,,,,,501.0,,,,,,,,1001.0,,190.0,844.0,
mainz 05,Germany,2501.0,,,,,501.0,401.0,501.0,401.0,,,,501.0,,,,,,,,,,494.0,844.0,
eintracht frankfurt,Germany,2501.0,,,,,,1001.0,501.0,,,,,,,,,,,,,1001.0,,950.0,844.0,
fc koln,Germany,3001.0,,,,,,1001.0,501.0,,,,,,,,,,,,,,,475.0,844.0,
hertha berlin,Germany,4001.0,,,,,,1501.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
paderborn,Germany,4001.0,,,,,,2501.0,501.0,,,,,,,,,,,,,,,133.0,844.0,
werder bremen,Germany,5001.0,,,,,,2001.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
vfb stuttgart,Germany,5001.0,,,,,,1001.0,501.0,501.0,,,,,,,,,,,,,,114.0,844.0,
hamburg,Germany,5001.0,,,,,,2501.0,501.0,,,,,,,,,,,,,,,732.0,844.0,
freiburg,Germany,7501.0,,,,,,2001.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
real madrid,Spain,1.33,1.36,1.36,1.33,1.36,1.36,1.4,1.36,,1.35,1.29,1.44,,,,1.36,1.4,1.33,,1.35,1.36,1.35,1.46,1.42,
barcelona,Spain,3.75,3.8,3.5,3.5,3.5,3.6,3.25,3.5,,3.75,3.8,3.25,,,,3.75,3.5,3.55,,3.4,3.75,3.75,3.71,3.57,
atletico madrid,Spain,17.0,13.0,13.0,17.0,13.0,13.0,17.0,17.0,,16.0,15.0,13.0,,,,13.0,13.0,16.0,,16.0,15.0,16.0,11.0,8.95,
valencia,Spain,151.0,,101.0,126.0,101.0,126.0,101.0,101.0,,151.0,201.0,251.0,,,,81.0,101.0,135.0,,151.0,101.0,151.0,171.0,182.0,
seville,Spain,251.0,,201.0,201.0,201.0,201.0,201.0,251.0,,251.0,301.0,251.0,,,,201.0,251.0,221.0,,251.0,201.0,251.0,95.0,315.0,
villarreal,Spain,501.0,,501.0,,501.0,251.0,,501.0,,501.0,501.0,,,,,501.0,501.0,451.0,,501.0,,501.0,950.0,844.0,
malaga,Spain,1501.0,,,,,,,1001.0,,1501.0,2001.0,,,,,,,,,1501.0,,1501.0,380.0,844.0,
espanyol,Spain,5001.0,,,,,,,1001.0,,2501.0,,,,,,,,,,2501.0,,2501.0,950.0,844.0,
getafe,Spain,5001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
athletic bilbao,Spain,1001.0,,,,,,,1001.0,,2001.0,7501.0,,,,,,,,,2001.0,,2001.0,285.0,844.0,
rayo vallecano,Spain,7501.0,,,,,,,1001.0,,2501.0,,,,,,,,,,2501.0,,2501.0,950.0,844.0,
real sociedad,Spain,5001.0,,,,,,,1001.0,,2501.0,7501.0,,,,,,,,,2501.0,,2501.0,950.0,844.0,
celta vigo,Spain,1501.0,,,,,,,1001.0,,2501.0,10001.0,,,,,,,,,2501.0,,2501.0,950.0,844.0,
deportivo la coruna,Spain,10001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,5001.0,,4001.0,950.0,844.0,
eibar,Spain,7501.0,,,,,,,1001.0,,2501.0,10001.0,,,,,,,,,2501.0,,2501.0,950.0,844.0,
granada,Spain,10001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
levante,Spain,10001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
almeria,Spain,20001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,5001.0,,4001.0,950.0,844.0,
cordoba,Spain,20001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,950.0,844.0,
elche,Spain,20001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,950.0,844.0,
chelsea,England,1.62,1.62,1.62,1.62,1.62,,1.57,1.62,,1.62,1.57,1.62,1.57,1.62,1.53,1.57,1.65,1.57,1.62,1.62,1.6,1.62,,1.6,1.63
man city,England,2.63,2.62,2.62,2.5,2.63,,2.75,2.75,,2.65,2.5,2.75,2.38,2.5,2.62,2.75,2.5,2.45,2.5,2.65,2.5,2.65,,2.86,2.92
man utd,England,21.0,19.0,17.0,21.0,17.0,,21.0,21.0,,19.0,21.0,17.0,17.0,21.0,21.0,19.0,17.0,19.0,21.0,19.0,19.0,19.0,,25.0,27.0
arsenal,England,101.0,81.0,81.0,81.0,81.0,,81.0,101.0,,101.0,101.0,101.0,81.0,81.0,101.0,101.0,81.0,92.0,81.0,101.0,101.0,101.0,,134.0,100.0
southampton,England,301.0,301.0,251.0,251.0,251.0,,226.0,201.0,,301.0,301.0,301.0,251.0,251.0,301.0,301.0,251.0,251.0,251.0,301.0,301.0,301.0,,325.0,298.0
tottenham,England,251.0,501.0,226.0,301.0,226.0,,351.0,151.0,,301.0,301.0,251.0,251.0,251.0,401.0,301.0,301.0,251.0,251.0,301.0,301.0,301.0,,291.0,298.0
liverpool,England,751.0,751.0,401.0,401.0,401.0,,476.0,501.0,,501.0,751.0,401.0,251.0,501.0,501.0,751.0,501.0,551.0,501.0,501.0,501.0,501.0,,786.0,496.0
west ham,England,1501.0,,,,,,,1001.0,,,2001.0,1501.0,,1501.0,,,2001.0,1001.0,1501.0,,,,,970.0,496.0
newcastle,England,2001.0,,,,,,,1501.0,,,2501.0,2501.0,,2001.0,,,,,2001.0,,,,,970.0,496.0
swansea,England,2501.0,,,,,,,1501.0,,,2501.0,2001.0,,2501.0,,,,,2501.0,,,,,970.0,496.0
aston villa,England,3001.0,,,,,,,2501.0,,,,,,3001.0,,,,,3001.0,,,,,970.0,496.0
sunderland,England,2501.0,,,,,,,3001.0,,,,,,3001.0,,,,,3001.0,,,,,970.0,496.0
everton,England,2001.0,,,,,,501.0,501.0,,,4001.0,2001.0,,2001.0,,,,,2001.0,,,,,917.0,496.0
qpr,England,5001.0,,,,,,,5001.0,,,,,,5001.0,,,,,5001.0,,,,,970.0,
hull,England,7501.0,,,,,,,3001.0,,,,,,5001.0,,,,,5001.0,,,,,970.0,496.0
west brom,England,7501.0,,,,,,,3001.0,,,,,,7501.0,,,,,7501.0,,,,,970.0,496.0
crystal palace,England,10001.0,,,,,,,4001.0,,,,,,7501.0,,,,,7501.0,,,,,970.0,496.0
stoke,England,4001.0,,,,,,,2501.0,,,10001.0,2501.0,,2501.0,,,,,2501.0,,,,,970.0,496.0
burnley,England,20001.0,,,,,,,5001.0,,,,,,7501.0,,,,,7501.0,,,,,970.0,496.0
leicester,England,20001.0,,,,,,,5001.0,,,,,,7501.0,,,,,7501.0,,,,,970.0,496.0
psg,France,1.33,1.22,1.25,1.25,1.25,1.25,1.29,1.3,1.22,1.33,1.25,,1.25,1.25,,1.28,1.22,1.3,1.25,1.33,1.3,1.33,1.33,1.22,
marseille,France,5.5,5.5,5.5,5.5,5.5,5.5,5.0,4.5,5.5,5.5,5.5,,5.0,5.0,,5.0,5.0,5.5,5.0,5.5,5.0,5.5,3.94,1.95,
lyon,France,9.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,9.0,,11.0,10.0,,9.0,9.0,9.5,10.0,9.0,9.0,9.0,12.4,10.2,
st etienne,France,41.0,51.0,41.0,51.0,41.0,41.0,41.0,67.0,41.0,51.0,51.0,,,41.0,,51.0,51.0,52.0,41.0,51.0,51.0,51.0,67.0,54.0,
monaco,France,81.0,51.0,51.0,51.0,51.0,51.0,51.0,81.0,51.0,51.0,81.0,,67.0,51.0,,41.0,51.0,66.0,51.0,51.0,51.0,51.0,6.89,39.0,
bordeaux,France,201.0,,151.0,101.0,151.0,151.0,,151.0,101.0,201.0,201.0,,151.0,201.0,,151.0,151.0,185.0,201.0,201.0,201.0,201.0,67.0,58.0,
lille,France,501.0,,251.0,,251.0,501.0,,501.0,151.0,,501.0,,501.0,151.0,,101.0,501.0,401.0,151.0,,351.0,,7.65,14.6,
lorient,France,1001.0,,,,,,1001.0,1001.0,,,1001.0,,,1001.0,,,,,1001.0,,,,4.71,1.35,
montpellier,France,1001.0,,,,,,1001.0,501.0,,,1001.0,,,1001.0,,,,,1001.0,,,,4.71,1.37,
juventus,Italy,,1.36,1.36,1.4,1.36,1.36,1.4,1.36,1.36,,1.36,,1.36,,,,,,,1.38,,,1.38,1.35,
roma,Italy,,3.2,3.2,3.2,3.2,2.88,2.75,3.2,3.2,,3.2,,3.5,,,,,,,3.3,,,3.52,3.38,
napoli,Italy,,34.0,26.0,26.0,26.0,34.0,,34.0,26.0,,26.0,,34.0,,,,,,,26.0,,,30.0,28.0,
ac milan,Italy,,126.0,81.0,81.0,81.0,101.0,,61.0,81.0,,81.0,,,,,,,,,101.0,,,86.0,180.0,
lazio,Italy,,51.0,101.0,67.0,101.0,151.0,,67.0,67.0,,101.0,,101.0,,,,,,,151.0,,,57.0,417.0,
fiorentina,Italy,,81.0,81.0,81.0,81.0,101.0,,61.0,81.0,,151.0,,101.0,,,,,,,101.0,,,133.0,417.0,
inter,Italy,,126.0,101.0,101.0,101.0,151.0,,101.0,101.0,,151.0,,201.0,,,,,,,,,,105.0,204.0,
udinese,Italy,,,301.0,,301.0,301.0,301.0,301.0,301.0,,301.0,,501.0,,,,,,,,,,333.0,315.0,
sampdoria,Italy,,,251.0,251.0,251.0,251.0,751.0,251.0,251.0,,301.0,,,,,,,,,201.0,,,52.0,247.0,
celtic,Scotland,1.08,1.08,1.08,1.06,1.08,1.08,1.11,1.06,1.08,1.07,,,1.08,,,1.1,,,,1.07,,1.07,1.13,1.09,
aberdeen,Scotland,10.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,,,9.0,,,9.0,,,,10.0,,10.0,8.6,8.18,
dundee utd,Scotland,34.0,34.0,34.0,26.0,34.0,34.0,34.0,26.0,26.0,41.0,,,34.0,,,29.0,,,,41.0,,41.0,26.0,27.0,
hamilton,Scotland,41.0,41.0,41.0,41.0,41.0,41.0,41.0,81.0,41.0,101.0,,,41.0,,,41.0,,,,101.0,,101.0,30.0,29.0,
inverness,Scotland,67.0,67.0,67.0,67.0,67.0,81.0,51.0,76.0,67.0,101.0,,,51.0,,,67.0,,,,101.0,,101.0,71.0,64.0,
st johnstone,Scotland,751.0,,501.0,501.0,501.0,501.0,,251.0,501.0,,,,,,,501.0,,,,,,,40.0,188.0,
kilmarnock,Scotland,1501.0,,1251.0,751.0,1251.0,,,301.0,501.0,,,,,,,1001.0,,,,,,,190.0,180.0,
dundee,Scotland,2001.0,,2501.0,2001.0,2501.0,,,1001.0,1001.0,,,,,,,2001.0,,,,,,,285.0,247.0,
partick,Scotland,5001.0,,,2001.0,,,,1001.0,1001.0,,,,,,,2001.0,,,,,,,26.0,417.0,
motherwell,Scotland,5001.0,,,,,,,1001.0,,,,,,,,,,,,,,,190.0,180.0,
ross county,Scotland,10001.0,,,,,,,1001.0,,,,,,,,,,,,,,,26.0,611.0,
st mirren,Scotland,10001.0,,,,,,,1001.0,,,,,,,,,,,,,,,26.0,417.0,
psv,Holland,1.62,1.53,1.57,1.53,1.57,1.53,1.57,1.53,1.53,1.5,1.57,,,,,1.57,1.55,1.53,,1.5,1.55,1.5,1.59,1.45,
ajax,Holland,2.38,2.38,2.38,2.4,2.38,2.4,2.38,2.5,2.38,2.45,2.38,,,,,2.37,2.38,2.3,,2.45,2.4,2.45,2.5,2.4,
feyenoord,Holland,41.0,34.0,29.0,34.0,29.0,41.0,51.0,26.0,34.0,36.0,26.0,,,,,29.0,41.0,35.0,,36.0,34.0,36.0,12.4,10.2,
