name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,,1.22,,,,,,1.25,,1.22,,,,,1.25,,1.22,,,,1.09,1.28,1.24,
Bor Dortmund,Germany,,4.33,,,,,,4.2,,4.5,,,,,4.5,,4.5,,,,4.3,4.61,4.32,
Bayer Leverkusen,Germany,,21.0,,,,,,19.0,,20.0,,,,,26.0,,20.0,,,,22.0,25.0,23.0,
Schalke 04,Germany,,101.0,,,,,,101.0,,100.0,,,,,101.0,,100.0,,,,70.0,95.0,80.0,
VfL Wolfsburg,Germany,,151.0,,,,,,126.0,,150.0,,,,,201.0,,150.0,,,,126.0,181.0,158.0,
Bor Monchengladbach,Germany,,151.0,,,,,,126.0,,150.0,,,,,201.0,,150.0,,,,196.0,304.0,252.0,
VfB Stuttgart,Germany,,151.0,,,,,,151.0,,200.0,,,,,301.0,,200.0,,,,200.0,276.0,257.0,
Werder Bremen,Germany,,201.0,,,,,,251.0,,300.0,,,,,301.0,,300.0,,,,350.0,485.0,451.0,
Hannover 96,Germany,,,,,,,,501.0,,200.0,,,,,501.0,,200.0,,,,270.0,380.0,347.0,
Eintracht Frankfurt,Germany,,,,,,,,251.0,,200.0,,,,,751.0,,200.0,,,,250.0,371.0,328.0,
Hamburg,Germany,,,,,,,,251.0,,300.0,,,,,751.0,,300.0,,,,540.0,760.0,713.0,
Hoffenheim,Germany,,,,,,,,301.0,,250.0,,,,,751.0,,250.0,,,,540.0,760.0,713.0,
Hertha Berlin,Germany,,,,,,,,301.0,,200.0,,,,,1001.0,,200.0,,,,230.0,333.0,304.0,
Mainz 05,Germany,,,,,,,,401.0,,300.0,,,,,1001.0,,300.0,,,,400.0,570.0,532.0,
Freiburg,Germany,,,,,,,,501.0,,1000.0,,,,,1001.0,,1000.0,,,,535.0,760.0,708.0,
