name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.02,1.03,1.02,,1.02,1.02,1.02,1.02,,,,,,,1.03,1.02,,1.02,,1.05,,1.01,,1.03,,
bor dortmund,Germany,17.0,15.0,17.0,,17.0,17.0,17.0,26.0,,,,,,,15.0,17.0,,15.0,,9.0,,18.0,,27.0,,
wolfsburg,Germany,81.0,51.0,67.0,,67.0,67.0,34.0,81.0,,,,,,,51.0,51.0,,51.0,,81.0,,91.0,,76.0,,
schalke 04,Germany,201.0,101.0,81.0,,81.0,101.0,67.0,201.0,,,,,,,101.0,81.0,,101.0,,151.0,,261.0,,95.0,,
bayer leverkusen,Germany,201.0,101.0,101.0,,101.0,101.0,67.0,151.0,,,,,,,101.0,101.0,,101.0,,151.0,,411.0,,81.0,,
bor monchengladbach,Germany,751.0,,81.0,,81.0,151.0,81.0,201.0,,,,,,,151.0,,,1001.0,,151.0,,611.0,,95.0,,
hertha berlin,Germany,1501.0,,751.0,,751.0,501.0,751.0,501.0,,,,,,,501.0,,,1001.0,,501.0,,1201.0,,95.0,,
eintracht frankfurt,Germany,3001.0,,1251.0,,1251.0,,751.0,501.0,,,,,,,501.0,,,1001.0,,1001.0,,3001.0,,28.0,,
fc koln,Germany,1501.0,,1001.0,,1001.0,,501.0,501.0,,,,,,,501.0,,,1001.0,,501.0,,3001.0,,28.0,,
hamburg,Germany,3001.0,,751.0,,751.0,,1001.0,501.0,,,,,,,501.0,,,1001.0,,501.0,,3001.0,,28.0,,
mainz 05,Germany,3001.0,,601.0,,601.0,,751.0,501.0,,,,,,,501.0,,,1001.0,,1001.0,,3001.0,,95.0,,
ingolstadt,Germany,4501.0,,1001.0,,1001.0,,1501.0,501.0,,,,,,,1001.0,,,1001.0,,1001.0,,3501.0,,90.0,,
hannover,Germany,4501.0,,1751.0,,1751.0,,751.0,501.0,,,,,,,501.0,,,1001.0,,1001.0,,5001.0,,28.0,,
vfb stuttgart,Germany,4501.0,,751.0,,751.0,501.0,1001.0,501.0,,,,,,,501.0,,,1001.0,,1001.0,,5001.0,,28.0,,
darmstadt,Germany,4501.0,,2501.0,,2501.0,,5001.0,501.0,,,,,,,1501.0,,,1001.0,,1001.0,,5001.0,,90.0,,
werder bremen,Germany,4001.0,,1501.0,,1501.0,,1501.0,501.0,,,,,,,751.0,,,1001.0,,1001.0,,5001.0,,95.0,,
hoffenheim,Germany,3001.0,,751.0,,751.0,,1001.0,501.0,,,,,,,1001.0,,,1001.0,,1001.0,,7501.0,,28.0,,
augsburg,Germany,4501.0,,1501.0,,1501.0,,1001.0,501.0,,,,,,,1001.0,,,1001.0,,1001.0,,7501.0,,29.0,,
barcelona,Spain,1.7,1.8,,,,1.75,1.8,1.8,1.8,,,,,1.8,1.72,1.8,,,,,,1.71,,1.75,,
real madrid,Spain,2.25,2.0,,,,2.0,2.0,2.1,2.1,,,,,2.1,2.1,2.0,,,,,,2.2,,2.31,2.01,
atletico madrid,Spain,21.0,21.0,,,,17.0,21.0,17.0,21.0,,,,,19.0,26.0,17.0,,,,,,17.0,,25.0,20.0,
celta vigo,Spain,501.0,,,,,501.0,501.0,501.0,251.0,,,,,351.0,126.0,151.0,,,,,,501.0,,143.0,369.0,
villarreal,Spain,401.0,501.0,,,,401.0,501.0,501.0,401.0,,,,,251.0,251.0,201.0,,,,,,501.0,,238.0,281.0,
valencia,Spain,251.0,501.0,,,,251.0,501.0,501.0,251.0,,,,,151.0,126.0,201.0,,,,,,501.0,,257.0,257.0,
seville,Spain,751.0,,,,,501.0,201.0,501.0,751.0,,,,,501.0,251.0,251.0,,,,,,751.0,,190.0,524.0,
athletic bilbao,Spain,1501.0,,,,,1001.0,,501.0,,,,,,1001.0,,,,,,,,501.0,,143.0,543.0,
espanyol,Spain,1501.0,,,,,1001.0,1001.0,501.0,,,,,,1501.0,,,,,,,,501.0,,143.0,194.0,
malaga,Spain,2001.0,,,,,1501.0,501.0,501.0,,,,,,1501.0,,,,,,,,501.0,,143.0,587.0,
rayo vallecano,Spain,3001.0,,,,,1501.0,2501.0,501.0,,,,,,2501.0,,,,,,,,,,143.0,209.0,
real sociedad,Spain,4001.0,,,,,1501.0,1001.0,501.0,,,,,,2501.0,,,,,,,,,,190.0,378.0,
levante,Spain,4501.0,,,,,2001.0,2501.0,501.0,,,,,,2501.0,,,,,,,,,,143.0,209.0,
