name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,,1.06,,1.06,1.07,1.05,1.06,,1.11,1.07,1.08,,1.08,1.05,,,1.08,1.11,1.11,1.11,1.06,1.11,1.07,
bor dortmund,Germany,,,17.0,,17.0,13.0,17.0,15.0,,12.0,15.0,15.0,,17.0,17.0,,,17.0,12.0,13.0,12.0,15.0,10.5,7.79,
wolfsburg,Germany,,,21.0,,21.0,21.0,17.0,15.0,,24.0,21.0,21.0,,17.0,21.0,,,17.0,24.0,17.0,24.0,19.0,13.4,10.2,
bayer leverkusen,Germany,,,34.0,,34.0,26.0,26.0,31.0,,36.0,29.0,34.0,,34.0,34.0,,,34.0,36.0,34.0,36.0,34.0,10.5,1.89,
schalke 04,Germany,,,51.0,,51.0,67.0,41.0,41.0,,46.0,67.0,67.0,,51.0,51.0,,,51.0,46.0,51.0,46.0,51.0,44.0,43.0,
bor monchengladbach,Germany,,,41.0,,41.0,101.0,67.0,67.0,,67.0,67.0,101.0,,51.0,51.0,,,51.0,67.0,51.0,67.0,51.0,30.0,60.0,
eintracht frankfurt,Germany,,,501.0,,501.0,501.0,751.0,501.0,,601.0,501.0,501.0,,501.0,501.0,,,501.0,601.0,501.0,601.0,751.0,14.3,134.0,
fc koln,Germany,,,401.0,,401.0,501.0,501.0,501.0,,601.0,1001.0,501.0,,401.0,751.0,,,401.0,601.0,501.0,601.0,751.0,13.4,134.0,
hamburg,Germany,,,501.0,,501.0,501.0,1001.0,501.0,,801.0,751.0,1001.0,,501.0,501.0,,,501.0,801.0,501.0,801.0,,13.4,134.0,
hannover,Germany,,,751.0,,751.0,501.0,751.0,501.0,,1001.0,1001.0,1001.0,,501.0,751.0,,,501.0,1001.0,1001.0,1001.0,751.0,13.4,134.0,
hertha berlin,Germany,,,1001.0,,1001.0,501.0,751.0,501.0,,701.0,1001.0,501.0,,751.0,751.0,,,751.0,701.0,751.0,701.0,751.0,13.4,134.0,
hoffenheim,Germany,,,301.0,,301.0,251.0,1001.0,251.0,,401.0,301.0,501.0,,251.0,501.0,,,251.0,401.0,501.0,401.0,501.0,13.4,134.0,
augsburg,Germany,,,251.0,,251.0,501.0,1001.0,501.0,,601.0,351.0,1001.0,,251.0,501.0,,,251.0,601.0,501.0,601.0,501.0,14.3,134.0,
mainz 05,Germany,,,501.0,,501.0,401.0,751.0,501.0,,601.0,501.0,1001.0,,501.0,501.0,,,501.0,601.0,751.0,601.0,501.0,14.3,134.0,
vfb stuttgart,Germany,,,501.0,,501.0,301.0,1001.0,501.0,,601.0,751.0,501.0,,501.0,501.0,,,501.0,601.0,501.0,601.0,751.0,14.3,134.0,
