name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.02,1.04,1.03,1.03,1.03,1.04,1.05,1.05,1.05,1.02,,,,1.05,,1.04,1.05,,1.05,1.02,1.05,1.02,1.05,1.04,
bor dortmund,Germany,51.0,29.0,34.0,34.0,34.0,19.0,17.0,21.0,17.0,50.0,,,,21.0,,19.0,17.0,,21.0,50.0,34.0,50.0,38.0,23.0,
bayer leverkusen,Germany,51.0,29.0,34.0,34.0,34.0,23.0,26.0,34.0,26.0,50.0,,,,26.0,,26.0,26.0,,26.0,50.0,34.0,50.0,44.0,40.0,
vfl wolfsburg,Germany,67.0,67.0,67.0,67.0,67.0,51.0,67.0,67.0,51.0,100.0,,,,67.0,,67.0,51.0,,67.0,100.0,75.0,100.0,105.0,97.0,
bor monchengladbach,Germany,101.0,126.0,126.0,101.0,126.0,81.0,126.0,41.0,101.0,125.0,,,,81.0,,126.0,101.0,,81.0,125.0,41.0,125.0,114.0,97.0,
schalke 04,Germany,101.0,81.0,67.0,81.0,67.0,67.0,81.0,81.0,81.0,150.0,,,,81.0,,81.0,81.0,,81.0,150.0,75.0,150.0,209.0,155.0,
hoffenheim,Germany,151.0,151.0,151.0,126.0,151.0,126.0,126.0,176.0,151.0,200.0,,,,151.0,,151.0,151.0,,151.0,200.0,75.0,200.0,276.0,184.0,
mainz 05,Germany,251.0,501.0,401.0,401.0,401.0,301.0,401.0,501.0,401.0,300.0,,,,401.0,,501.0,351.0,,401.0,300.0,251.0,300.0,504.0,422.0,
hannover 96,Germany,1501.0,,751.0,751.0,751.0,501.0,501.0,501.0,501.0,1000.0,,,,751.0,,1501.0,601.0,,751.0,1000.0,501.0,1000.0,143.0,89.0,
eintracht frankfurt,Germany,1501.0,,1001.0,501.0,1001.0,1001.0,1001.0,251.0,1001.0,500.0,,,,401.0,,1001.0,601.0,,401.0,500.0,501.0,500.0,162.0,144.0,
fc koln,Germany,1001.0,,1001.0,1001.0,1001.0,751.0,1001.0,501.0,1001.0,1500.0,,,,1001.0,,1501.0,1001.0,,1001.0,1500.0,751.0,1500.0,950.0,99.0,
hertha berlin,Germany,1501.0,,1001.0,751.0,1001.0,1001.0,1501.0,501.0,1001.0,2000.0,,,,1001.0,,1001.0,1001.0,,1001.0,2000.0,501.0,2000.0,950.0,844.0,
vfb stuttgart,Germany,1001.0,,1001.0,751.0,1001.0,401.0,1001.0,201.0,301.0,2000.0,,,,751.0,,1001.0,301.0,,751.0,2000.0,501.0,2000.0,950.0,844.0,
augsburg,Germany,1001.0,,751.0,501.0,751.0,501.0,2001.0,501.0,1001.0,1000.0,,,,751.0,,1001.0,601.0,,751.0,1000.0,501.0,1000.0,950.0,99.0,
paderborn,Germany,1001.0,,1501.0,1001.0,1501.0,1001.0,2501.0,501.0,1001.0,2000.0,,,,751.0,,2001.0,1251.0,,751.0,2000.0,1001.0,2000.0,504.0,99.0,
hamburg,Germany,401.0,,1001.0,501.0,1001.0,501.0,2501.0,301.0,501.0,2000.0,,,,1001.0,,1001.0,501.0,,1001.0,2000.0,501.0,2000.0,741.0,655.0,
freiburg,Germany,3001.0,,1001.0,1001.0,1001.0,1501.0,2001.0,501.0,1501.0,3500.0,,,,1001.0,,2001.0,1501.0,,1001.0,3500.0,1001.0,3500.0,950.0,99.0,
werder bremen,Germany,3001.0,,1501.0,1001.0,1501.0,1001.0,2001.0,376.0,1001.0,3500.0,,,,1001.0,,2001.0,1251.0,,1001.0,3500.0,1001.0,3500.0,950.0,844.0,
barcelona,Spain,,1.83,1.83,1.83,1.83,,1.91,1.83,,1.9,1.75,1.83,1.83,1.83,,1.83,1.85,1.85,1.83,1.9,1.9,1.9,,1.86,
real madrid,Spain,,2.1,2.1,2.1,2.1,,2.1,2.1,,2.1,2.15,2.1,2.1,2.05,,2.1,2.1,2.1,2.05,2.1,2.1,2.1,,2.13,
atletico madrid,Spain,,17.0,17.0,17.0,17.0,,15.0,21.0,,23.0,21.0,17.0,17.0,17.0,,17.0,19.0,20.0,17.0,23.0,17.0,23.0,,7.98,
valencia,Spain,,51.0,67.0,67.0,67.0,,67.0,67.0,,81.0,81.0,67.0,67.0,67.0,,81.0,51.0,76.0,67.0,81.0,51.0,81.0,,43.0,
seville,Spain,,251.0,201.0,151.0,201.0,,251.0,201.0,,151.0,301.0,251.0,151.0,201.0,,151.0,201.0,150.0,201.0,151.0,201.0,151.0,,504.0,
villarreal,Spain,,301.0,251.0,251.0,251.0,,301.0,376.0,,301.0,401.0,,251.0,251.0,,251.0,301.0,201.0,251.0,301.0,251.0,301.0,,844.0,
athletic bilbao,Spain,,251.0,251.0,251.0,251.0,,251.0,201.0,,1001.0,1501.0,,251.0,301.0,,,301.0,451.0,301.0,1001.0,751.0,1001.0,,844.0,
celta vigo,Spain,,751.0,751.0,751.0,751.0,,1001.0,1001.0,,1001.0,1501.0,,751.0,751.0,,,1001.0,951.0,751.0,1001.0,1001.0,1001.0,,844.0,
espanyol,Spain,,1501.0,1501.0,1501.0,1501.0,,1501.0,1001.0,,2001.0,2501.0,,1001.0,1501.0,,,1751.0,1001.0,1501.0,2001.0,2501.0,2001.0,,844.0,
malaga,Spain,,1501.0,1501.0,1001.0,1501.0,,1001.0,1001.0,,1501.0,2501.0,,1001.0,1001.0,,,1251.0,1001.0,1001.0,1501.0,1501.0,1501.0,,844.0,
real sociedad,Spain,,501.0,251.0,501.0,251.0,,501.0,201.0,,1501.0,2501.0,,501.0,1001.0,,751.0,501.0,451.0,1001.0,1501.0,751.0,1501.0,,844.0,
