name,group,max,min,mean,median,twentyfive,seventyfive
Brazil,a,1.05,1.01,1.0305882352941176,1.03,1.02,1.04
Croatia,a,2.25,1.83,2.0515789473684212,2.0499999999999998,2.0,2.1200000000000001
Mexico,a,2.4,1.73,2.0105263157894737,2.0,1.9099999999999999,2.1000000000000001
Cameroon,a,7.0,3.7,5.3426315789473691,5.5,4.5549999999999997,6.0
Spain,b,1.22,1.08,1.1505555555555556,1.1499999999999999,1.1200000000000001,1.1699999999999999
Netherlands,b,1.55,1.23,1.4673684210526314,1.5,1.4199999999999999,1.53
Chile,b,2.3,1.75,2.0394736842105261,2.0499999999999998,1.9849999999999999,2.1000000000000001
Australia,b,21.0,6.0,9.8268421052631592,9.0,8.0,10.0
Colombia,c,1.25,1.09,1.2166666666666666,1.2450000000000001,1.1850000000000001,1.25
Ivory Coast,c,2.1,1.8,1.9272222222222222,1.9099999999999999,1.8849999999999998,2.0
Japan,c,2.4,1.91,2.1221052631578949,2.2000000000000002,1.9950000000000001,2.2250000000000001
Greece,c,3.71,2.75,3.1636842105263159,3.1000000000000001,2.8149999999999999,3.5
Italy,d,1.5,1.33,1.3957894736842105,1.3999999999999999,1.3600000000000001,1.4350000000000001
Uruguay,d,1.53,1.31,1.4552631578947368,1.5,1.4299999999999999,1.5
England,d,1.72,1.53,1.6283333333333334,1.6200000000000001,1.6050000000000002,1.6699999999999999
Costa Rica,d,13.0,5.2,8.6368421052631579,8.0,6.0,11.0
France,e,1.31,1.15,1.1955555555555555,1.2,1.1724999999999999,1.2
Switzerland,e,1.8,1.48,1.6316666666666668,1.6200000000000001,1.5775000000000001,1.6924999999999999
Ecuador,e,2.1,1.57,1.8784210526315788,1.9099999999999999,1.79,2.0
Honduras,e,8.5,3.1,6.1399999999999997,6.5,5.0,7.0
Argentina,f,1.07,1.01,1.0323529411764707,1.03,1.02,1.04
Bosnia-Herzegovina,f,2.0,1.6,1.7938888888888889,1.8,1.73,1.8500000000000001
Nigeria,f,2.4,1.95,2.2557894736842106,2.25,2.2250000000000001,2.3399999999999999
Iran,f,8.5,4.5,6.222631578947369,6.0,5.3149999999999995,7.0
Germany,g,1.17,1.04,1.1063157894736841,1.1200000000000001,1.0800000000000001,1.1399999999999999
Portugal,g,1.59,1.3,1.4622222222222223,1.5,1.4099999999999997,1.5
Ghana,g,4.2,3.0,3.5805263157894736,3.5499999999999998,3.5,3.73
USA,g,4.5,2.91,3.5742105263157895,3.5,3.4500000000000002,3.7999999999999998
Belgium,h,1.2,1.08,1.1436842105263159,1.1499999999999999,1.1100000000000001,1.1699999999999999
Russia,h,1.53,1.25,1.3899999999999999,1.3999999999999999,1.3450000000000002,1.4049999999999998
South Korea,h,3.5,2.3,2.7647368421052634,2.75,2.6200000000000001,2.8799999999999999
Algeria,h,10.0,3.0,5.8815789473684212,5.5,5.0,7.0
