name,group,max,min,mean,median,twentyfive,seventyfive
Brazil,a,1.05,1.01,1.0305263157894737,1.03,1.02,1.04
Mexico,a,2.2,1.83,2.0378947368421052,2.0,1.9849999999999999,2.1000000000000001
Croatia,a,2.3,1.83,2.0720000000000001,2.0750000000000002,2.0,2.125
Cameroon,a,7.0,4.33,5.4310526315789476,5.5,5.0,6.0
Spain,b,1.22,1.08,1.1495,1.1399999999999999,1.1200000000000001,1.1699999999999999
Netherlands,b,1.62,1.33,1.5142857142857142,1.52,1.5,1.53
Chile,b,2.3,1.83,2.0514285714285712,2.0499999999999998,2.0,2.1000000000000001
Australia,b,21.0,6.5,9.894285714285715,9.0,8.0,10.0
Colombia,c,1.33,1.2,1.2574999999999998,1.25,1.2424999999999999,1.29
Ivory Coast,c,2.0,1.76,1.8999999999999999,1.9099999999999999,1.8999999999999999,1.95
Japan,c,2.25,1.83,2.0649999999999999,2.0700000000000003,2.0,2.1624999999999996
Greece,c,3.5,2.75,3.0800000000000001,3.0499999999999998,2.8624999999999998,3.25
Italy,d,1.5,1.3,1.4052380952380952,1.3999999999999999,1.3600000000000001,1.4399999999999999
Uruguay,d,1.53,1.36,1.4576190476190476,1.48,1.4199999999999999,1.5
England,d,1.8,1.53,1.6433333333333333,1.6200000000000001,1.6000000000000001,1.6699999999999999
Costa Rica,d,13.0,5.0,8.536190476190475,8.0,6.6299999999999999,11.0
France,e,1.31,1.15,1.1899999999999999,1.2,1.1599999999999999,1.2
Switzerland,e,1.73,1.48,1.625,1.6200000000000001,1.5700000000000001,1.6724999999999999
Ecuador,e,2.05,1.75,1.9057142857142855,1.9099999999999999,1.8300000000000001,2.0
Honduras,e,8.0,4.8,6.3578947368421055,6.5,5.5,7.0
Argentina,f,1.06,1.01,1.0331578947368421,1.03,1.02,1.0449999999999999
Bosnia-Herzegovina,f,2.1,1.6,1.8050000000000002,1.8149999999999999,1.73,1.8500000000000001
Nigeria,f,2.5,1.95,2.246,2.25,2.1875,2.3574999999999999
Iran,f,8.5,4.78,6.2924999999999995,6.0,5.4375,7.125
Germany,g,1.17,1.03,1.1080000000000001,1.1200000000000001,1.0800000000000001,1.1299999999999999
Portugal,g,1.57,1.3,1.4704999999999999,1.5,1.4399999999999999,1.5
Ghana,g,4.2,2.18,3.5529999999999999,3.5499999999999998,3.5,3.75
USA,g,4.5,2.9,3.6064999999999996,3.5,3.4750000000000001,3.8875000000000002
Belgium,h,1.21,1.1,1.1515,1.1499999999999999,1.1299999999999999,1.1724999999999999
Russia,h,1.53,1.28,1.4055,1.3999999999999999,1.3600000000000001,1.45
South Korea,h,3.0,2.3,2.7585000000000002,2.7749999999999999,2.7175000000000002,2.8799999999999999
Algeria,h,9.0,4.0,6.0178947368421056,5.5,5.0,7.0
