name,group,max,min,mean,median,twentyfive,seventyfive
Brazil,a,1.05,1.01,1.0294736842105265,1.03,1.02,1.04
Croatia,a,2.25,1.83,2.0519047619047619,2.0099999999999998,1.98,2.1000000000000001
Mexico,a,2.25,1.83,2.0434999999999999,2.0300000000000002,1.99,2.1000000000000001
Cameroon,a,7.0,4.2,5.3742857142857146,5.5,4.75,6.0
Spain,b,1.22,1.08,1.1466666666666665,1.1399999999999999,1.1200000000000001,1.1699999999999999
Netherlands,b,1.62,1.22,1.4833333333333332,1.5,1.4399999999999999,1.53
Chile,b,2.3,1.83,2.0495238095238095,2.0499999999999998,1.99,2.1000000000000001
Australia,b,21.0,6.5,9.9690476190476183,9.0,8.5,10.0
Colombia,c,1.3,1.16,1.2269999999999999,1.2349999999999999,1.2,1.25
Ivory Coast,c,2.1,1.8,1.936190476190476,1.9099999999999999,1.8999999999999999,2.0
Japan,c,2.4,1.87,2.1166666666666667,2.1000000000000001,2.0,2.2000000000000002
Greece,c,3.5,2.75,3.1014285714285714,3.1000000000000001,2.75,3.3999999999999999
Italy,d,1.5,1.32,1.3990476190476191,1.3999999999999999,1.3600000000000001,1.4399999999999999
Uruguay,d,1.53,1.36,1.462,1.4750000000000001,1.4350000000000001,1.5
England,d,1.77,1.53,1.6409523809523809,1.6200000000000001,1.6200000000000001,1.6699999999999999
Costa Rica,d,13.0,6.0,8.9528571428571428,8.5,7.5,11.0
France,e,1.25,1.04,1.1847619047619047,1.2,1.1699999999999999,1.2
Switzerland,e,1.73,1.5,1.6304761904761906,1.6200000000000001,1.6100000000000001,1.6699999999999999
Ecuador,e,2.1,1.73,1.925,1.9099999999999999,1.8874999999999997,2.0
Honduras,e,8.5,3.81,6.3055000000000003,6.5,5.375,7.0
Argentina,f,1.08,1.01,1.0352631578947369,1.03,1.02,1.0449999999999999
Bosnia-Herzegovina,f,2.1,1.55,1.8024999999999998,1.8149999999999999,1.73,1.8500000000000001
Nigeria,f,2.4,1.95,2.2385714285714284,2.25,2.2000000000000002,2.2999999999999998
Iran,f,8.5,5.0,6.2609523809523804,6.0,5.25,7.0
Germany,g,1.17,1.05,1.112857142857143,1.1200000000000001,1.0800000000000001,1.1299999999999999
Portugal,g,1.57,1.3,1.4614285714285715,1.5,1.4199999999999999,1.5
Ghana,g,4.2,3.0,3.6133333333333333,3.5699999999999998,3.5,3.75
USA,g,4.5,2.92,3.5847619047619048,3.5,3.5,3.8500000000000001
Belgium,h,1.2,1.1,1.1480000000000001,1.145,1.1299999999999999,1.1699999999999999
Russia,h,1.53,1.21,1.3895238095238096,1.3999999999999999,1.3500000000000001,1.3999999999999999
South Korea,h,3.1,2.3,2.7614285714285716,2.7999999999999998,2.6200000000000001,2.8799999999999999
Algeria,h,9.0,3.8,5.7857142857142856,5.0,5.0,6.5
