name,group,max,min,mean,median,twentyfive,seventyfive
Brazil,a,1.05,1.01,1.03,1.03,1.02,1.04
Mexico,a,2.2,1.83,2.0409999999999999,2.0249999999999999,1.9924999999999999,2.1000000000000001
Croatia,a,2.3,1.83,2.0563636363636366,2.0299999999999998,1.9849999999999999,2.1000000000000001
Cameroon,a,7.0,4.33,5.4595000000000002,5.5,5.0,6.0
Spain,b,1.22,1.08,1.1490909090909092,1.1399999999999999,1.1200000000000001,1.1699999999999999
Netherlands,b,1.62,1.29,1.4845454545454544,1.5,1.4399999999999999,1.53
Chile,b,2.3,1.83,2.0581818181818181,2.0649999999999999,2.0,2.1000000000000001
Australia,b,21.0,6.5,9.8990909090909085,9.0,8.0449999999999999,10.0
Colombia,c,1.33,1.2,1.2590476190476192,1.25,1.25,1.29
Ivory Coast,c,2.0,1.76,1.9004761904761902,1.9099999999999999,1.8999999999999999,1.95
Japan,c,2.25,1.83,2.0666666666666664,2.1000000000000001,2.0,2.1499999999999999
Greece,c,3.5,2.75,3.0704545454545453,3.0,2.8850000000000002,3.25
Italy,d,1.5,1.33,1.4045454545454545,1.3999999999999999,1.3600000000000001,1.4399999999999999
Uruguay,d,1.53,1.36,1.4590909090909092,1.4649999999999999,1.4199999999999999,1.5
England,d,1.8,1.53,1.6436363636363638,1.6200000000000001,1.6050000000000002,1.6699999999999999
Costa Rica,d,13.0,6.0,9.0172727272727276,8.9749999999999996,7.625,11.0
France,e,1.31,1.15,1.1904761904761905,1.2,1.1599999999999999,1.2
Switzerland,e,1.73,1.5,1.6285714285714288,1.6200000000000001,1.5700000000000001,1.6699999999999999
Ecuador,e,2.05,1.75,1.905909090909091,1.9099999999999999,1.835,2.0
Honduras,e,8.0,4.8,6.4400000000000004,6.5,5.5,7.0
Argentina,f,1.07,1.01,1.0349999999999999,1.0350000000000001,1.02,1.05
Bosnia-Herzegovina,f,2.1,1.6,1.7985714285714287,1.8,1.73,1.8500000000000001
Nigeria,f,2.5,1.95,2.2461904761904763,2.25,2.2000000000000002,2.3500000000000001
Iran,f,8.5,4.78,6.2785714285714285,6.0,5.5,7.0
Germany,g,1.17,1.03,1.1109090909090911,1.1200000000000001,1.0900000000000001,1.1299999999999999
Portugal,g,1.57,1.3,1.4672727272727273,1.49,1.4399999999999999,1.5
Ghana,g,4.2,2.18,3.5636363636363639,3.5499999999999998,3.5,3.75
USA,g,4.5,3.0,3.6209090909090906,3.5,3.4249999999999998,3.9624999999999999
Belgium,h,1.21,1.1,1.1535,1.1549999999999998,1.1375,1.1724999999999999
Russia,h,1.53,1.28,1.4052380952380952,1.3999999999999999,1.3600000000000001,1.45
South Korea,h,3.0,2.3,2.7642857142857142,2.7999999999999998,2.75,2.8799999999999999
Algeria,h,9.0,4.0,5.9670000000000005,5.2949999999999999,5.0,6.75
