name,group,max,min,mean,median
Bayern Munich,germany/bundesliga/german-bundesliga,1.34,1.22,1.2822727272727275,1.29
Bor Dortmund,germany/bundesliga/german-bundesliga,4.5,3.5,4.0677272727272724,4.0
Bayer Leverkusen,germany/bundesliga/german-bundesliga,46.0,26.0,31.045454545454547,30.0
Schalke 04,germany/bundesliga/german-bundesliga,91.0,41.0,67.272727272727266,67.0
VfL Wolfsburg,germany/bundesliga/german-bundesliga,176.0,67.0,114.77272727272727,101.0
Werder Bremen,germany/bundesliga/german-bundesliga,475.0,126.0,259.04545454545456,226.0
Bor Monchengladbach,germany/bundesliga/german-bundesliga,485.0,101.0,212.68181818181819,151.0
Hamburg,germany/bundesliga/german-bundesliga,760.0,151.0,303.63636363636363,251.0
VfB Stuttgart,germany/bundesliga/german-bundesliga,501.0,151.0,273.36363636363637,251.0
Hannover 96,germany/bundesliga/german-bundesliga,801.0,101.0,278.27272727272725,251.0
Mainz 05,germany/bundesliga/german-bundesliga,801.0,101.0,363.09090909090907,301.0
Eintracht Frankfurt,germany/bundesliga/german-bundesliga,801.0,201.0,486.36363636363637,501.0
Hoffenheim,germany/bundesliga/german-bundesliga,801.0,151.0,428.63636363636363,351.0
Freiburg,germany/bundesliga/german-bundesliga,950.0,251.0,548.22727272727275,501.0
Hertha Berlin,germany/bundesliga/german-bundesliga,1251.0,151.0,444.90909090909093,373.0
Nurnberg,germany/bundesliga/german-bundesliga,2501.0,251.0,964.5454545454545,819.5
Augsburg,germany/bundesliga/german-bundesliga,3001.0,501.0,1453.1818181818182,1376.0
Braunschweig,germany/bundesliga/german-bundesliga,6001.0,501.0,2885.0,2750.5
Barcelona,spain/la-liga-primera/spanish-la-liga-primera,1.81,1.57,1.6768181818181818,1.6699999999999999
Real Madrid,spain/la-liga-primera/spanish-la-liga-primera,2.38,2.1,2.2313636363636364,2.25
Atletico Madrid,spain/la-liga-primera/spanish-la-liga-primera,67.0,1.36,47.789090909090916,51.0
Valencia,spain/la-liga-primera/spanish-la-liga-primera,485.0,9.0,205.22727272727272,201.0
Real Sociedad,spain/la-liga-primera/spanish-la-liga-primera,501.0,12.0,286.0,301.0
Athl Bilbao,spain/la-liga-primera/spanish-la-liga-primera,751.0,15.0,474.18181818181819,501.0
Sevilla,spain/la-liga-primera/spanish-la-liga-primera,1251.0,26.0,527.33333333333337,432.0
Betis,spain/la-liga-primera/spanish-la-liga-primera,1501.0,34.0,754.0454545454545,601.0
Espanyol,spain/la-liga-primera/spanish-la-liga-primera,2001.0,41.0,1047.7368421052631,1001.0
Malaga,spain/la-liga-primera/spanish-la-liga-primera,3000.0,51.0,911.66666666666663,703.0
Celta Vigo,spain/la-liga-primera/spanish-la-liga-primera,3001.0,81.0,1640.578947368421,2001.0
Villarreal,spain/la-liga-primera/spanish-la-liga-primera,3001.0,34.0,1126.8333333333333,1001.0
Getafe,spain/la-liga-primera/spanish-la-liga-primera,3500.0,67.0,1613.5263157894738,2001.0
Valladolid,spain/la-liga-primera/spanish-la-liga-primera,3501.0,154.0,2173.2105263157896,2501.0
Levante,spain/la-liga-primera/spanish-la-liga-primera,4000.0,126.0,2090.3157894736842,2501.0
Granada,spain/la-liga-primera/spanish-la-liga-primera,5001.0,101.0,2720.5789473684213,3001.0
Rayo Vallecano,spain/la-liga-primera/spanish-la-liga-primera,7501.0,151.0,2170.5789473684213,1501.0
