name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.4,1.44,1.4,1.44,1.4,1.44,1.36,1.4,1.4,1.45,1.36,1.4,1.4,1.4,,1.4,1.4,1.4,1.45,1.45,1.45,,,,,
psg,a,2.88,2.75,2.88,2.88,2.88,2.7,3.0,3.0,2.88,2.85,2.9,3.0,2.75,2.88,,2.88,2.8,2.88,2.85,2.9,2.85,,,,,
shakhtar donetsk,a,34.0,34.0,34.0,34.0,34.0,21.0,34.0,41.0,34.0,31.0,51.0,21.0,34.0,34.0,,34.0,32.0,34.0,31.0,34.0,31.0,,,,,
malmo ff,a,151.0,67.0,251.0,151.0,251.0,151.0,151.0,301.0,151.0,151.0,501.0,201.0,251.0,151.0,,101.0,185.0,151.0,151.0,201.0,151.0,,,,,
wolfsburg,b,2.1,2.62,2.38,2.25,2.38,2.38,2.5,2.1,2.38,2.2,2.05,2.2,2.5,2.38,,2.2,2.25,2.38,2.2,2.5,2.2,,,,,
man utd,b,3.0,2.75,2.75,2.62,2.75,2.75,2.5,2.88,2.75,2.7,3.1,2.75,2.75,2.62,,2.75,2.7,2.62,2.7,2.5,2.7,,,,,
psv,b,7.0,4.0,6.0,6.5,6.0,6.5,6.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,,7.0,6.5,6.0,6.0,6.5,6.0,,,,,
cska moscow,b,7.0,10.0,7.0,8.0,7.0,5.5,7.0,9.0,7.5,10.0,8.0,8.0,6.0,8.0,,7.0,7.5,8.0,10.0,8.5,10.0,,,,,
atletico madrid,c,1.29,1.29,,1.29,1.29,1.33,1.25,1.22,1.25,1.25,1.22,1.29,1.25,1.29,,1.29,1.25,1.29,1.25,1.32,1.25,,,,,
benfica,c,3.75,4.0,,3.75,3.75,3.75,3.75,4.0,4.0,3.75,4.0,3.75,3.75,3.75,,3.75,3.8,3.75,3.75,3.8,3.75,,,,,
galatasaray,c,21.0,19.0,,21.0,21.0,13.0,21.0,34.0,17.0,28.0,41.0,21.0,21.0,21.0,,21.0,23.0,21.0,28.0,21.0,28.0,,,,,
