name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
atletico madrid,a,1.62,1.57,1.57,1.53,1.57,1.6,1.5,1.5,1.5,1.53,1.44,1.53,1.53,,,,1.55,,,1.53,1.46,1.53,1.57,1.43,
juventus,a,3.25,3.75,3.25,3.5,3.25,3.2,3.75,4.33,2.75,3.6,4.0,3.5,3.4,,,,3.75,,,3.6,4.0,3.6,3.76,3.67,
olympiakos,a,5.5,6.0,6.0,6.0,6.0,5.5,6.0,5.5,6.0,6.5,6.0,5.5,6.0,,,,6.0,,,6.5,5.5,6.5,5.66,5.46,
malmo ff,a,251.0,151.0,251.0,251.0,251.0,251.0,251.0,176.0,151.0,251.0,101.0,301.0,251.0,,,,251.0,,,251.0,251.0,251.0,52.0,48.0,
real madrid,b,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,1.01,,
liverpool,b,51.0,67.0,51.0,51.0,51.0,,,81.0,34.0,51.0,51.0,51.0,34.0,,,,51.0,,,51.0,,51.0,105.0,40.0,
ludogorets razgrad,b,251.0,251.0,251.0,251.0,251.0,,,,251.0,201.0,201.0,301.0,101.0,,,,251.0,,,201.0,,201.0,190.0,180.0,
basel,b,67.0,67.0,67.0,67.0,67.0,,,501.0,67.0,81.0,201.0,101.0,41.0,,,,67.0,,,81.0,,81.0,52.0,,
bayer leverkusen,c,2.1,2.25,2.1,2.1,2.1,2.1,1.91,1.91,2.0,2.35,1.83,2.2,2.1,,,2.1,2.05,,,2.35,2.1,2.35,2.16,1.96,
zenit,c,3.4,3.25,3.4,3.4,3.4,3.4,3.75,3.75,3.25,3.1,3.75,3.25,3.25,,,3.5,3.25,,,3.1,3.4,3.1,3.33,3.23,
monaco,c,3.75,3.5,3.5,3.5,3.5,3.75,3.5,4.0,3.5,3.75,4.0,3.2,3.6,,,3.8,4.0,,,3.75,3.5,3.75,3.61,3.52,
benfica,c,19.0,15.0,21.0,21.0,21.0,19.0,26.0,21.0,15.0,18.0,21.0,21.0,17.0,,,23.0,19.0,,,18.0,19.0,18.0,21.0,19.4,
dortmund,d,1.3,1.3,1.29,1.29,1.29,1.3,1.29,1.17,1.17,1.22,1.18,1.22,1.29,,,,1.2,,,1.22,1.25,1.22,1.28,,
arsenal,d,3.75,3.75,3.5,3.75,3.5,3.75,3.5,4.5,4.33,4.0,4.2,3.5,3.4,,,,4.0,,,4.0,3.55,4.0,4.89,,
galatasaray,d,51.0,41.0,51.0,51.0,51.0,51.0,151.0,501.0,41.0,176.0,301.0,101.0,41.0,,,,251.0,,,176.0,51.0,176.0,95.0,,
anderlecht,d,67.0,101.0,67.0,101.0,67.0,67.0,251.0,501.0,101.0,201.0,1001.0,101.0,67.0,,,,501.0,,,201.0,51.0,201.0,24.0,,
bayern munich,e,1.05,1.07,1.05,1.04,1.05,1.04,1.04,1.02,1.02,1.05,1.01,1.05,1.04,,,1.08,1.05,,,1.05,1.02,1.05,1.03,,
roma,e,13.0,9.0,9.0,12.0,9.0,13.0,13.0,26.0,11.0,12.0,21.0,9.0,9.0,,,9.0,10.0,,,12.0,10.0,12.0,20.0,13.6,
man city,e,29.0,26.0,26.0,26.0,26.0,29.0,26.0,36.0,26.0,25.0,34.0,26.0,26.0,,,26.0,34.0,,,25.0,26.0,25.0,23.0,,
cska moscow,e,251.0,401.0,251.0,251.0,251.0,251.0,501.0,501.0,251.0,201.0,2001.0,501.0,251.0,,,351.0,501.0,,,201.0,501.0,201.0,95.0,89.0,
barcelona,f,1.57,1.57,1.57,1.57,1.57,1.53,1.62,1.67,1.53,1.6,1.67,1.53,1.57,,,,1.55,,,1.6,1.55,1.6,1.53,,
psg,f,2.38,2.25,2.2,2.25,2.2,2.3,2.2,2.1,2.25,2.3,2.1,2.38,2.25,,,,2.3,,,2.3,2.3,2.3,2.44,,
ajax,f,101.0,101.0,101.0,101.0,101.0,101.0,101.0,126.0,101.0,101.0,126.0,101.0,101.0,,,,101.0,,,101.0,101.0,101.0,71.0,,
apoel nicosia,f,501.0,501.0,501.0,501.0,501.0,501.0,,501.0,501.0,501.0,1001.0,501.0,501.0,,,,501.0,,,501.0,501.0,501.0,95.0,,
chelsea,g,1.1,1.1,1.11,1.1,1.08,1.1,1.08,1.1,1.08,1.1,1.09,1.08,1.1,,,1.1,1.1,,,1.1,1.08,1.1,1.1,1.07,
schalke 04,g,6.0,6.5,7.0,6.5,6.5,6.0,7.0,6.5,6.0,7.0,7.0,6.5,6.0,,,6.5,6.5,,,7.0,7.0,7.0,8.22,5.85,
sporting lisbon,g,81.0,67.0,15.0,67.0,51.0,81.0,81.0,126.0,101.0,61.0,101.0,67.0,67.0,,,67.0,81.0,,,61.0,67.0,61.0,67.0,62.0,
maribor,g,151.0,201.0,101.0,151.0,151.0,151.0,,476.0,126.0,151.0,251.0,151.0,151.0,,,201.0,151.0,,,151.0,201.0,151.0,181.0,180.0,
porto,h,1.53,1.44,1.44,1.5,1.44,1.5,1.44,1.36,1.5,1.5,1.33,1.57,1.4,,,,1.5,,,1.5,1.5,1.5,1.48,1.41,
shakhtar donetsk,h,2.63,2.75,2.62,2.62,2.63,2.6,2.75,3.25,2.5,2.75,3.25,2.3,2.75,,,,2.63,,,2.75,2.6,2.75,2.95,2.9,
athletic bilbao,h,67.0,51.0,51.0,51.0,51.0,67.0,51.0,51.0,51.0,51.0,29.0,41.0,41.0,,,,51.0,,,51.0,51.0,51.0,44.0,40.0,
bate borisov,h,67.0,67.0,67.0,67.0,67.0,67.0,101.0,51.0,67.0,61.0,81.0,51.0,67.0,,,,67.0,,,61.0,67.0,61.0,81.0,62.0,
