name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.67,1.62,,1.53,,1.55,1.5,1.57,1.57,1.6,1.5,1.62,1.57,1.53,1.57,1.6,1.6,1.57,1.55,,1.58,1.6,
Shakhtar Donetsk,a,3.75,3.75,,4.0,,3.75,4.0,3.75,4.0,4.0,4.2,3.75,3.5,3.75,3.75,3.75,4.0,3.75,4.0,,3.28,3.38,
Bayer Leverkusen,a,5.0,6.0,,5.5,,5.5,5.5,6.0,6.0,6.0,5.5,5.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,,4.14,4.88,
Real Sociedad,a,34.0,51.0,,29.0,,34.0,67.0,23.0,34.0,40.0,34.0,29.0,51.0,34.0,51.0,34.0,40.0,34.0,34.0,,38.0,42.0,
Real Madrid,b,1.08,1.08,,1.08,,1.07,1.08,1.1,1.08,1.08,1.06,1.07,1.03,1.08,1.06,1.06,1.08,1.08,1.08,,1.07,0.03,
Juventus,b,7.0,8.0,,7.0,,7.0,7.0,7.0,7.0,7.0,9.0,7.0,11.0,7.0,10.0,8.5,7.0,7.0,8.0,,9.36,4.2,
Galatasaray,b,34.0,34.0,,26.0,,26.0,26.0,26.0,34.0,30.0,34.0,26.0,34.0,26.0,34.0,29.0,30.0,34.0,26.0,,11.4,25.0,
FC Copenhagen,b,251.0,251.0,,151.0,,151.0,251.0,101.0,251.0,300.0,301.0,151.0,251.0,251.0,301.0,301.0,300.0,251.0,151.0,,24.0,126.0,
PSG,c,1.13,1.12,,1.13,,1.1,1.12,1.14,1.1,1.13,1.06,1.12,1.08,1.1,1.1,1.16,1.13,1.13,1.15,,1.08,1.07,
Benfica,c,6.0,6.0,,6.0,,6.0,6.0,6.0,7.0,6.5,7.5,6.0,7.0,6.5,7.5,6.0,6.5,6.5,6.0,,6.32,5.85,
Olympiakos,c,26.0,26.0,,19.0,,26.0,26.0,26.0,26.0,20.0,26.0,17.0,17.0,26.0,21.0,15.0,20.0,26.0,21.0,,10.0,17.5,
Anderlecht,c,251.0,201.0,,126.0,,151.0,151.0,67.0,151.0,200.0,251.0,126.0,151.0,151.0,201.0,251.0,200.0,201.0,151.0,,48.0,171.0,
Bayern Munich,d,1.08,1.1,,1.11,,1.07,1.12,1.11,1.08,1.08,1.05,1.1,1.1,1.09,1.05,1.08,1.08,1.08,1.12,,,1.05,
Man City,d,8.0,8.0,,7.0,,7.5,6.0,7.0,8.0,8.0,8.0,7.5,6.5,7.0,8.0,7.5,8.0,7.5,7.0,,3.85,4.49,
CSKA Moscow,d,23.0,26.0,,17.0,,21.0,21.0,15.0,26.0,25.0,29.0,15.0,17.0,21.0,29.0,23.0,25.0,26.0,19.0,,19.0,19.4,
Plzen,d,501.0,501.0,,201.0,,251.0,501.0,251.0,501.0,500.0,751.0,251.0,251.0,251.0,501.0,401.0,500.0,251.0,251.0,,19.0,190.0,
Chelsea,e,,1.25,,,,,1.2,1.2,,,1.17,1.22,1.2,1.18,,,,,,,1.23,1.67,
Schalke 04,e,,4.0,,,,,4.33,5.0,,,6.0,4.0,4.33,4.5,,,,,,,3.85,2.16,
Basel,e,,34.0,,,,,34.0,15.0,,,13.0,21.0,26.0,26.0,,,,,,,19.0,12.2,
Steaua Bucharest,e,,501.0,,,,,501.0,201.0,,,401.0,201.0,501.0,501.0,,,,,,,95.0,173.0,
Bor Dortmund,f,,1.62,,,,,1.57,1.73,,,1.8,1.67,1.67,1.62,,,,,,,1.85,2.61,
Arsenal,f,,4.0,,,,,4.0,3.75,,,3.5,3.5,3.75,3.8,,,,,,,3.33,1.66,
Napoli,f,,4.33,,,,,4.5,3.75,,,3.75,4.33,4.0,4.33,,,,,,,3.71,6.04,
Marseille,f,,501.0,,,,,251.0,501.0,,,501.0,251.0,251.0,501.0,,,,,,,95.0,45.0,
Atletico Madrid,g,,1.02,,,,,1.02,1.02,,,1.02,1.05,1.02,1.02,,,,,,,,1.14,
Zenit St Petersburg,g,,13.0,,,,,21.0,15.0,,,17.0,9.0,17.0,15.0,,,,,,,13.4,11.7,
Porto,g,,21.0,,,,,34.0,34.0,,,26.0,17.0,21.0,21.0,,,,,,,5.94,5.46,
Austria Vienna,g,,751.0,,,,,501.0,501.0,,,301.0,501.0,501.0,501.0,,,,,,,5.94,18.9,
Barcelona,h,,1.02,,,,,1.02,1.05,,,1.03,1.03,1.02,1.02,,,,,,,1.04,0.03,
AC Milan,h,,11.0,,,,,13.0,10.0,,,9.0,9.0,11.0,10.0,,,,,,,7.46,7.79,
Celtic,h,,151.0,,,,,151.0,151.0,,,126.0,81.0,201.0,151.0,,,,,,,14.3,126.0,
Ajax,h,,251.0,,,,,201.0,226.0,,,201.0,301.0,251.0,201.0,,,,,,,4.23,17.0,
