name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
atletico madrid,a,1.36,1.36,1.36,1.33,1.36,,1.29,1.36,1.36,1.4,1.33,1.33,1.33,1.36,1.33,1.36,1.36,,1.36,1.4,1.33,1.4,1.28,1.18,
juventus,a,4.0,4.33,4.33,4.33,4.33,,4.33,4.5,4.33,3.85,4.33,4.33,4.0,4.2,4.5,4.3,4.0,,4.2,3.85,4.25,3.85,2.65,3.91,
olympiakos,a,9.0,10.0,9.0,9.0,9.0,,11.0,9.0,9.0,7.0,8.5,10.0,9.0,9.0,8.0,8.0,9.0,,9.0,7.0,9.0,7.0,1.51,6.24,
malmo ff,a,251.0,,,,,,,,,251.0,,,,,,,251.0,,,251.0,,251.0,1.53,8.37,
basel,b,,,,,,,,,,,,251.0,,,,,,,,,,,95.0,74.0,
bayer leverkusen,c,1.17,1.17,1.17,1.14,1.17,,1.17,1.12,1.17,1.06,1.09,1.12,1.17,1.17,1.1,1.2,1.2,,1.17,1.06,1.15,1.06,1.18,1.02,
monaco,c,9.0,9.0,8.0,9.0,8.0,,9.0,9.5,8.0,10.0,10.5,9.0,9.0,9.0,10.0,9.0,8.0,,9.0,10.0,9.0,10.0,11.4,11.7,
benfica,c,15.0,15.0,15.0,15.0,15.0,,15.0,19.0,15.0,15.0,21.0,17.0,17.0,15.0,19.0,15.0,11.0,,15.0,15.0,15.0,15.0,12.9,19.4,
zenit,c,17.0,17.0,15.0,17.0,15.0,,15.0,23.0,17.0,15.0,26.0,17.0,15.0,17.0,23.0,11.0,10.0,,17.0,15.0,15.0,15.0,10.5,29.0,
dortmund,d,1.03,1.03,1.03,1.03,1.03,,1.03,1.02,1.03,,1.02,1.05,1.05,1.03,1.02,1.05,1.03,,1.03,,1.02,,1.03,,
arsenal,d,15.0,9.0,9.0,10.0,9.0,,10.0,11.0,11.0,,13.0,9.0,9.0,11.0,15.0,9.0,9.0,,11.0,,10.0,,20.0,,
galatasaray,d,,41.0,,,,,,,,,,,,,,,,,,,,,,,
anderlecht,d,,101.0,,,,,,,,,,,,,,,,,,,,,,,
barcelona,f,1.57,1.57,1.57,1.53,1.57,,1.62,1.5,1.53,1.6,1.57,1.53,1.53,1.57,1.5,1.57,1.55,,1.57,1.6,1.55,1.6,1.54,1.42,
psg,f,2.38,2.25,2.25,2.38,2.25,,2.2,2.5,2.25,2.35,2.38,2.38,2.38,2.38,2.5,2.25,2.3,,2.38,2.35,2.3,2.35,2.5,2.18,
chelsea,g,1.13,1.14,1.12,1.11,1.13,,1.08,1.14,1.1,1.15,1.12,1.08,1.12,1.12,1.11,1.1,1.12,,1.12,1.15,1.1,1.15,,1.03,
schalke 04,g,5.5,6.0,5.0,5.5,5.0,,7.0,6.0,6.0,5.0,6.5,6.5,5.5,5.5,7.0,6.0,5.5,,5.5,5.0,5.75,5.0,,5.75,
sporting lisbon,g,67.0,51.0,51.0,51.0,51.0,,51.0,51.0,51.0,51.0,26.0,34.0,67.0,67.0,26.0,67.0,51.0,,67.0,51.0,67.0,51.0,,,
maribor,g,251.0,301.0,251.0,251.0,251.0,,,226.0,201.0,201.0,501.0,201.0,251.0,251.0,501.0,251.0,251.0,,251.0,201.0,251.0,201.0,,,
porto,h,1.36,1.33,1.29,1.29,1.29,,1.29,1.29,1.33,1.35,1.22,1.29,1.29,1.33,1.25,1.33,1.3,,1.33,1.35,1.3,1.35,1.28,1.19,
shakhtar donetsk,h,3.0,3.25,3.5,3.5,3.5,,3.5,3.5,3.0,3.15,4.0,3.5,3.5,3.25,3.75,3.25,3.25,,3.25,3.15,3.2,3.15,3.76,3.42,
