name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
juventus,a,2.0,1.8,,,,,2.1,2.4,,1.95,2.2,2.0,2.0,1.95,,2.0,2.0,,1.95,1.95,2.1,1.95,2.03,1.99,
atletico madrid,a,2.1,2.5,,,,,1.91,1.83,,2.1,1.8,2.1,2.1,2.1,,2.1,2.1,,2.1,2.1,1.95,2.1,2.01,1.93,
olympiakos,a,10.0,7.0,,,,,11.0,10.0,,10.0,13.0,10.0,9.0,10.0,,13.0,9.0,,10.0,10.0,10.0,10.0,11.9,10.2,
malmo ff,a,51.0,101.0,,,,,67.0,56.0,,45.0,51.0,41.0,67.0,67.0,,34.0,51.0,,67.0,45.0,51.0,45.0,27.0,23.0,
real madrid,b,1.13,1.12,,,,,1.08,1.08,,1.1,1.08,1.11,1.14,1.11,,1.12,1.14,,1.11,1.1,1.11,1.1,1.12,1.05,
liverpool,b,7.5,6.5,,,,,9.0,9.0,,9.0,7.0,6.5,4.5,7.0,,7.0,6.5,,7.0,9.0,7.0,9.0,6.51,5.85,
basel,b,15.0,15.0,,,,,17.0,41.0,,11.0,29.0,15.0,21.0,15.0,,17.0,15.0,,15.0,11.0,15.0,11.0,23.0,19.4,
ludogorets razgrad,b,201.0,151.0,,,,,301.0,,,201.0,301.0,151.0,251.0,251.0,,251.0,151.0,,251.0,201.0,151.0,201.0,81.0,74.0,
zenit,c,2.75,2.75,,,,,2.75,2.8,,2.6,2.7,2.75,2.75,2.75,,2.75,2.75,,2.75,2.6,2.75,2.6,2.62,,
bayer leverkusen,c,3.0,3.0,,,,,2.75,2.75,,3.1,2.62,2.88,2.88,2.88,,2.88,2.75,,2.88,3.1,2.95,3.1,2.79,,
monaco,c,3.1,3.25,,,,,3.25,3.5,,3.1,3.4,3.0,3.2,3.2,,3.25,3.25,,3.2,3.1,3.0,3.1,3.47,,
benfica,c,13.0,11.0,,,,,15.0,15.0,,15.0,17.0,15.0,11.0,12.0,,13.0,12.0,,12.0,15.0,13.0,15.0,12.4,,
dortmund,d,1.4,1.44,,,,,1.33,1.33,,1.32,1.33,1.4,1.44,1.4,,1.44,1.45,,1.4,1.32,1.35,1.32,1.1,,
