name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.4,1.44,1.36,1.44,1.36,1.44,1.36,1.4,1.4,1.4,1.36,1.4,,1.4,1.36,1.4,1.4,1.4,1.4,1.45,1.4,,,,1.32,
psg,a,2.88,2.75,2.88,2.88,2.88,2.7,3.0,3.0,2.88,2.85,2.9,3.0,,2.88,3.0,2.88,2.8,2.88,2.85,2.9,2.85,,,,2.8,
shakhtar donetsk,a,34.0,34.0,34.0,34.0,34.0,21.0,34.0,41.0,34.0,31.0,51.0,21.0,,34.0,41.0,34.0,32.0,34.0,31.0,34.0,31.0,,,,32.0,
malmo ff,a,151.0,51.0,251.0,151.0,251.0,151.0,151.0,301.0,151.0,151.0,501.0,201.0,,151.0,251.0,101.0,185.0,151.0,151.0,201.0,151.0,,,,97.0,
wolfsburg,b,2.1,2.62,2.38,2.25,2.38,2.38,2.5,2.1,2.38,2.2,2.15,2.2,,2.38,2.25,2.25,2.2,2.38,2.2,2.5,2.2,,,,2.28,
man utd,b,3.0,2.75,2.75,2.62,2.75,2.75,2.5,2.88,2.75,2.7,2.88,2.75,,2.62,2.87,2.75,2.7,2.62,2.7,2.6,2.7,,,,2.8,
psv,b,7.0,4.0,6.0,6.5,6.0,6.5,6.0,5.5,6.0,7.0,5.5,6.0,,6.0,5.5,5.5,6.75,6.0,7.0,6.0,7.0,,,,5.07,
cska moscow,b,7.0,10.0,7.0,8.0,7.0,5.5,7.0,9.0,7.5,8.5,10.0,8.0,,8.0,9.0,7.5,7.5,8.0,8.5,8.5,8.5,,,,7.21,
atletico madrid,c,1.29,1.25,,1.29,1.29,1.33,1.25,1.22,1.25,1.25,1.22,1.29,,1.29,1.25,1.29,1.25,1.29,1.25,1.32,1.25,,,,1.17,
benfica,c,3.75,4.33,,3.75,3.75,3.75,3.75,4.0,4.0,3.75,4.0,3.75,,3.75,4.0,3.75,3.8,3.75,3.75,3.8,3.75,,,,3.09,
galatasaray,c,21.0,17.0,,21.0,21.0,13.0,21.0,34.0,17.0,28.0,41.0,21.0,,21.0,26.0,21.0,23.0,21.0,28.0,21.0,28.0,,,,9.15,
