name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.67,1.73,1.62,1.73,1.62,1.55,1.73,1.67,1.67,1.67,1.62,1.83,1.5,1.67,1.73,1.65,1.67,1.73,1.67,1.75,,1.84,1.79,
Shakhtar Donetsk,a,5.5,5.5,5.0,5.5,5.0,6.0,5.5,5.5,5.5,4.75,5.5,6.0,5.5,5.5,5.5,5.0,4.75,5.5,5.5,5.5,,5.37,4.42,
Bayer Leverkusen,a,6.0,6.5,6.0,5.0,6.0,7.0,5.5,5.5,5.5,6.0,5.5,5.0,6.5,6.0,5.0,6.5,6.0,6.0,6.0,5.0,,5.27,4.42,
Real Sociedad,a,7.0,6.0,8.0,6.0,8.0,6.0,6.0,7.0,7.0,5.5,7.0,5.5,8.0,6.5,7.5,6.5,5.5,8.0,7.0,7.0,,6.89,4.89,
Real Madrid,b,1.4,1.5,1.5,1.57,1.5,1.5,1.53,1.53,1.5,1.45,1.5,1.44,1.4,1.53,1.4,1.48,1.45,1.45,1.53,1.45,,1.48,1.44,
Juventus,b,3.5,3.0,2.75,3.0,2.75,2.88,2.88,3.0,3.0,2.5,2.7,3.0,3.25,2.75,3.25,2.75,2.5,3.15,2.75,3.25,,2.81,2.68,
Galatasaray,b,13.0,13.0,17.0,9.0,15.0,12.0,13.0,11.0,11.0,15.0,15.0,15.0,13.0,15.0,17.0,16.0,15.0,17.0,15.0,13.0,,11.9,9.55,
FC Copenhagen,b,51.0,67.0,51.0,26.0,51.0,41.0,41.0,67.0,51.0,100.0,81.0,,67.0,51.0,101.0,101.0,100.0,67.0,51.0,51.0,,67.0,51.0,
PSG,c,1.53,1.57,1.57,1.53,1.57,1.53,,1.62,1.53,1.5,1.44,1.53,1.5,1.62,1.53,1.55,1.5,1.57,1.5,1.5,,1.65,1.58,
Benfica,c,3.25,3.0,2.75,3.0,2.75,3.0,,3.0,2.88,3.0,3.25,3.2,3.0,3.0,3.0,2.75,3.0,3.2,3.0,3.0,,2.9,2.81,
Olympiakos,c,13.0,13.0,15.0,13.0,15.0,12.0,,11.0,15.0,20.0,13.0,13.0,15.0,13.0,13.0,17.0,20.0,15.0,13.0,17.0,,10.5,7.27,
Anderlecht,c,17.0,21.0,21.0,15.0,21.0,21.0,,19.0,26.0,20.0,23.0,19.0,21.0,19.0,19.0,21.0,20.0,26.0,21.0,23.0,,10.5,7.84,
Bayern Munich,d,1.57,1.57,1.5,1.6,1.5,1.53,1.5,1.57,1.57,1.45,1.44,1.57,1.57,1.57,1.44,1.38,1.45,1.48,1.53,1.5,,1.48,1.42,
Man City,d,2.88,2.88,2.88,3.0,2.88,2.75,3.0,3.0,2.75,2.8,2.75,2.75,2.62,2.75,2.88,3.2,2.8,2.9,2.88,3.0,,2.95,2.82,
CSKA Moscow,d,13.0,15.0,13.0,11.0,13.0,12.0,13.0,11.0,12.0,20.0,21.0,13.0,13.0,13.0,21.0,15.0,20.0,21.0,13.0,15.0,,14.3,11.9,
Plzen,d,34.0,67.0,51.0,15.0,51.0,51.0,41.0,51.0,41.0,40.0,51.0,67.0,51.0,41.0,101.0,101.0,40.0,101.0,41.0,41.0,,38.0,32.0,
Chelsea,e,1.25,1.29,1.29,1.33,1.29,1.28,1.2,1.33,1.25,1.25,1.22,1.22,1.22,1.25,1.25,1.18,1.25,1.25,1.25,1.2,,1.28,1.17,
Schalke 04,e,5.0,5.0,4.5,4.5,4.5,4.5,5.0,4.5,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.15,5.0,6.0,,5.09,4.51,
Basel,e,15.0,13.0,13.0,10.0,13.0,13.0,15.0,12.0,12.0,12.0,12.0,13.0,17.0,15.0,15.0,13.0,12.0,15.0,15.0,15.0,,11.4,9.36,
Steaua Bucharest,e,34.0,34.0,26.0,17.0,26.0,21.0,34.0,34.0,34.0,30.0,34.0,34.0,26.0,34.0,26.0,51.0,30.0,51.0,34.0,34.0,,30.0,25.0,
Bor Dortmund,f,2.25,2.25,2.25,1.36,2.25,2.5,2.38,2.5,2.5,2.1,2.1,2.0,2.25,2.3,2.1,2.15,2.1,2.2,2.25,2.3,,2.25,2.09,
Arsenal,f,3.25,3.25,3.25,1.73,3.25,3.0,3.0,3.0,3.0,2.5,3.4,3.25,3.0,3.25,3.4,3.25,2.5,3.2,3.25,3.25,,3.23,3.14,
Napoli,f,3.75,3.5,3.75,1.8,3.75,3.5,3.5,4.0,3.75,4.0,3.75,4.33,3.75,3.5,3.75,3.75,4.0,4.0,3.75,3.75,,3.85,3.61,
Marseille,f,13.0,15.0,10.0,4.0,10.0,10.0,13.0,10.0,10.0,8.0,12.0,17.0,15.0,13.0,17.0,15.0,8.0,15.2,10.0,11.0,,11.9,9.36,
Atletico Madrid,g,2.2,2.05,2.1,2.38,2.1,2.1,2.2,2.3,2.05,1.9,2.1,2.1,2.1,2.25,2.0,2.05,1.9,2.1,2.1,2.2,,2.29,1.38,
Porto,g,2.8,2.88,2.62,2.88,2.63,2.75,3.0,2.75,2.88,2.85,2.75,2.75,2.75,2.75,2.75,2.8,2.85,2.9,2.75,2.75,,2.77,1.38,
Zenit St Petersburg,g,4.0,4.33,4.5,3.6,4.5,4.33,3.5,4.0,4.5,3.5,4.0,4.5,4.0,4.0,4.5,4.0,3.5,4.1,4.0,4.0,,4.04,1.59,
Austria Vienna,g,34.0,29.0,26.0,15.0,26.0,21.0,26.0,26.0,23.0,30.0,34.0,34.0,41.0,26.0,26.0,51.0,30.0,51.0,34.0,34.0,,38.0,4.8,
Barcelona,h,1.2,1.22,1.29,1.29,1.29,1.25,1.2,1.29,1.25,1.2,1.2,1.22,1.25,1.25,1.2,1.22,1.2,1.22,1.22,1.2,,1.22,1.08,
AC Milan,h,5.5,5.0,4.0,5.0,4.0,4.33,5.0,4.5,5.0,5.25,5.0,5.0,4.33,5.0,5.0,5.25,5.25,5.1,5.0,5.5,,4.42,4.04,
Ajax,h,17.0,17.0,15.0,10.0,15.0,15.0,26.0,19.0,13.0,20.0,17.0,21.0,17.0,15.0,21.0,12.0,20.0,21.0,17.0,17.0,,17.1,13.8,
