name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
atletico madrid,a,1.62,1.62,1.57,,1.57,,1.5,1.5,1.5,1.53,1.44,1.53,1.53,,,1.5,,,,1.53,1.46,1.53,1.45,1.38,
juventus,a,3.25,3.75,3.25,,3.25,,3.75,4.33,2.75,3.6,4.0,3.5,3.4,,,4.0,,,,3.6,4.0,3.6,3.71,3.62,
olympiakos,a,5.5,6.0,6.0,,6.0,,6.0,5.5,6.0,6.5,6.0,5.5,6.0,,,6.0,,,,6.5,5.5,6.5,11.9,5.27,
malmo ff,a,251.0,151.0,251.0,,251.0,,251.0,176.0,151.0,251.0,101.0,301.0,251.0,,,101.0,,,,251.0,251.0,251.0,27.0,,
real madrid,b,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,1.09,,
liverpool,b,51.0,67.0,51.0,,51.0,,,81.0,34.0,51.0,51.0,51.0,34.0,,,51.0,,,,51.0,,51.0,42.0,40.0,
ludogorets razgrad,b,251.0,251.0,251.0,,251.0,,,,251.0,201.0,201.0,301.0,101.0,,,101.0,,,,201.0,,201.0,190.0,180.0,
basel,b,67.0,67.0,67.0,,67.0,,,501.0,67.0,81.0,201.0,101.0,41.0,,,67.0,,,,81.0,,81.0,2.9,,
bayer leverkusen,c,2.1,2.25,2.1,,2.1,,1.91,1.91,2.0,2.35,1.83,2.2,2.1,,,2.37,,,,2.35,2.2,2.35,2.25,2.18,
zenit,c,3.4,3.25,3.4,,3.4,,3.75,3.75,3.25,3.1,3.75,3.25,3.25,,,3.25,,,,3.1,3.5,3.1,2.99,2.9,
monaco,c,3.75,3.5,3.5,,3.5,,3.5,4.0,3.5,3.75,4.0,3.2,3.6,,,3.5,,,,3.75,3.15,3.75,3.42,3.13,
benfica,c,19.0,15.0,21.0,,21.0,,26.0,21.0,15.0,18.0,21.0,21.0,17.0,,,21.0,,,,18.0,17.0,18.0,22.0,17.0,
dortmund,d,1.3,1.3,1.29,,1.29,,1.29,1.17,1.33,1.22,1.18,1.22,1.29,,,1.33,,,,1.22,1.25,1.22,1.02,,
arsenal,d,3.75,3.75,3.5,,3.5,,3.5,4.5,3.0,4.0,4.2,3.5,3.4,,,3.25,,,,4.0,3.55,4.0,3.66,,
galatasaray,d,51.0,41.0,51.0,,51.0,,151.0,501.0,26.0,176.0,301.0,101.0,41.0,,,,,,,176.0,51.0,176.0,24.0,,
anderlecht,d,67.0,101.0,67.0,,67.0,,251.0,501.0,51.0,201.0,1001.0,101.0,67.0,,,,,,,201.0,51.0,201.0,24.0,,
bayern munich,e,1.05,1.07,1.05,1.04,1.05,,1.04,1.02,1.04,1.05,1.01,1.05,1.08,,,1.08,1.05,,,1.05,1.02,1.05,1.05,,
roma,e,13.0,9.0,9.0,12.0,9.0,,13.0,26.0,9.0,12.0,21.0,9.0,9.0,,,9.0,10.0,,,12.0,10.0,12.0,12.9,,
man city,e,29.0,26.0,26.0,26.0,26.0,,26.0,36.0,26.0,25.0,34.0,26.0,26.0,,,26.0,34.0,,,25.0,26.0,25.0,23.0,,
cska moscow,e,251.0,401.0,251.0,251.0,251.0,,501.0,501.0,251.0,201.0,2001.0,501.0,251.0,,,351.0,501.0,,,201.0,501.0,201.0,95.0,87.0,
barcelona,f,1.57,1.57,1.57,1.57,1.57,,1.62,1.67,1.53,1.6,1.67,1.53,1.57,,,1.57,1.55,,,1.6,1.55,1.6,1.53,,
psg,f,2.38,2.25,2.2,2.25,2.2,,2.2,2.1,2.25,2.3,2.1,2.38,2.25,,,2.37,2.3,,,2.3,2.3,2.3,2.41,,
ajax,f,101.0,101.0,101.0,101.0,101.0,,101.0,126.0,101.0,101.0,126.0,101.0,101.0,,,101.0,101.0,,,101.0,101.0,101.0,71.0,,
apoel nicosia,f,501.0,501.0,501.0,501.0,501.0,,,501.0,501.0,501.0,1001.0,501.0,501.0,,,501.0,501.0,,,501.0,501.0,501.0,95.0,,
chelsea,g,1.1,1.1,1.11,1.1,1.08,,1.08,1.1,1.08,1.1,1.09,1.08,1.1,,,1.1,1.1,,,1.1,1.08,1.1,1.1,1.03,
schalke 04,g,6.0,6.5,7.0,6.5,6.5,,7.0,6.5,6.0,7.0,7.0,6.5,6.0,,,6.5,6.5,,,7.0,7.0,7.0,9.55,9.15,
sporting lisbon,g,81.0,67.0,15.0,67.0,51.0,,81.0,126.0,101.0,61.0,101.0,67.0,67.0,,,67.0,81.0,,,61.0,67.0,61.0,48.0,,
maribor,g,151.0,201.0,101.0,151.0,151.0,,,476.0,126.0,151.0,251.0,151.0,151.0,,,201.0,151.0,,,151.0,201.0,151.0,95.0,,
