name,group,max,min,mean,median,twentyfive,seventyfive
real madrid,a,1.04,1.02,1.0275000000000001,1.02,1.02,1.04
psg,a,13.0,9.0,11.0,11.0,10.75,11.25
malmo ff,a,201.0,201.0,201.0,201.0,201.0,201.0
shakhtar donetsk,a,501.0,501.0,501.0,501.0,501.0,501.0
man utd,b,1.53,1.4,1.4922222222222221,1.5,1.5,1.53
wolfsburg,b,4.2,3.75,3.9388888888888891,4.0,3.75,4.0
psv,b,8.5,6.5,7.5,7.5,7.0,8.0
cska moscow,b,26.0,15.0,21.111111111111111,21.0,17.0,26.0
benfica,c,1.44,1.16,1.3244444444444445,1.3600000000000001,1.25,1.3999999999999999
atletico madrid,c,4.5,2.62,3.2522222222222221,3.0,2.75,4.0
galatasaray,c,351.0,101.0,192.66666666666666,176.0,151.0,201.0
man city,d,1.57,1.36,1.4588888888888887,1.4399999999999999,1.4399999999999999,1.5
juventus,d,3.0,2.37,2.5955555555555554,2.6000000000000001,2.5,2.6200000000000001
sevilla,d,1001.0,501.0,626.0,501.0,501.0,626.0
barcelona,e,1.08,1.0,1.0505263157894738,1.05,1.05,1.0600000000000001
bayer leverkusen,e,13.0,1.62,10.611578947368422,11.0,11.0,11.0
roma,e,21.0,2.5,18.44736842105263,21.0,17.0,21.0
bate borisov,e,251.0,11.0,126.36842105263158,101.0,101.0,176.0
bayern munich,f,1.14,1.08,1.1125,1.1100000000000001,1.1000000000000001,1.1200000000000001
arsenal,f,11.0,7.0,9.8499999999999996,10.0,10.0,10.0
olympiakos,f,12.0,9.0,10.75,10.5,10.0,12.0
din zagreb,f,301.0,81.0,161.5,176.0,101.0,201.0
porto,g,1.73,1.57,1.6321052631578947,1.6200000000000001,1.6200000000000001,1.6499999999999999
chelsea,g,2.7,2.2,2.553684210526316,2.6000000000000001,2.5,2.625
dynamo kiev,g,13.0,8.5,10.236842105263158,10.0,10.0,11.0
maccabi tel aviv,g,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
zenit,h,1.29,1.17,1.22,1.22,1.2,1.25
valencia,h,4.5,3.5,4.0147368421052629,4.0,3.75,4.0999999999999996
lyon,h,101.0,34.0,56.368421052631582,51.0,51.0,51.0
gent,h,201.0,151.0,156.26315789473685,151.0,151.0,151.0
