name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.44,1.4,1.4,1.4,,,1.4,1.5,1.4,1.45,1.53,1.5,1.33,1.4,1.44,1.4,1.33,1.45,1.4,,1.52,,
Bayer Leverkusen,a,3.25,3.75,3.5,3.5,,,3.5,3.1,3.5,3.5,2.88,3.0,3.5,3.5,3.1,3.75,3.85,3.5,3.25,,2.71,,
Shakhtar Donetsk,a,11.0,10.0,10.0,10.0,,,11.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,8.0,11.0,,6.7,,
Real Sociedad,a,,,,,,,,,,,,,,,,,,,,,95.0,,
FC Copenhagen,b,,,,,,,,,,,,501.0,,,,,,,,,95.0,,
Galatasaray,b,,,,,,,,,,,,501.0,,,,,,,,,95.0,,
Juventus,b,,,,,,,,,,,,,,,,,,,,,95.0,,
PSG,c,1.02,1.0,1.01,1.01,,,1.0,1.03,1.0,,1.01,1.02,1.0,1.0,1.02,1.01,,,,,,,
Olympiakos,c,10.0,17.0,13.0,13.0,,,17.0,12.0,13.0,,15.0,13.0,,13.0,15.0,17.0,,,13.0,,6.13,,
Benfica,c,201.0,,101.0,151.0,,,201.0,151.0,151.0,,,51.0,26.0,151.0,201.0,,,,101.0,,6.13,,
Anderlecht,c,,,,,,,,,,,,,,,,,,,,,6.13,,
Bayern Munich,d,1.03,1.03,1.03,1.03,,,1.03,1.03,1.03,1.03,1.03,1.04,1.03,1.03,1.03,1.03,1.01,1.03,1.03,,1.06,,
Man City,d,15.0,11.0,11.0,11.0,,,15.0,10.0,11.0,10.0,11.0,10.0,11.0,11.0,13.0,11.0,11.0,10.0,11.0,,8.6,,
Plzen,d,,,,,,,,,,500.0,,,,,,,,500.0,,,,,
Chelsea,e,,,,,,,1.05,1.06,,,1.07,1.05,,1.05,,,,,,,1.05,,
Basel,e,,,,,,,15.0,12.0,,,11.0,15.0,,12.0,,,,,,,9.55,,
Schalke 04,e,,,,,,,17.0,15.0,,,13.0,17.0,,13.0,,,,,,,11.4,,
Arsenal,f,,,,,,,1.33,1.33,,,1.3,1.33,,1.33,,,,,,,1.19,,
Bor Dortmund,f,,,,,,,3.5,3.5,,,3.6,3.5,,3.5,,,,,,,2.9,,
Napoli,f,,,,,,,21.0,19.0,,,15.0,21.0,,17.0,,,,,,,3.85,,
Barcelona,h,,,,,,,,,,,1.03,1.01,,,,,,,,,1.02,,
AC Milan,h,,,,,,,,,,,9.0,34.0,,,,,,,,,9.55,,
Ajax,h,,,,,,,,,,,201.0,,,,,,,,,,95.0,,
