name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.4,1.57,1.4,1.4,1.4,1.4,1.4,1.4,1.44,,1.44,1.44,1.4,1.44,1.44,1.4,,1.44,,1.4,,,,,,
psg,a,2.88,2.25,2.75,2.75,2.75,2.6,2.75,2.88,2.75,,2.6,2.5,2.62,2.62,2.75,2.63,,2.62,,2.75,,,,,,
shakhtar donetsk,a,251.0,101.0,101.0,101.0,101.0,51.0,101.0,301.0,101.0,,301.0,67.0,67.0,151.0,251.0,67.0,,151.0,,201.0,,,,,,
malmo ff,a,501.0,,501.0,501.0,501.0,251.0,501.0,501.0,501.0,,1001.0,501.0,501.0,501.0,501.0,251.0,,501.0,,501.0,,,,,,
man utd,b,2.0,2.1,2.1,2.0,2.1,2.1,2.1,1.91,2.0,2.2,2.15,2.1,2.1,2.1,2.0,2.1,,2.1,2.2,2.15,2.2,,,,,
wolfsburg,b,2.88,3.25,3.0,3.0,3.0,2.8,3.0,3.2,3.0,2.85,3.3,2.88,2.88,3.0,3.0,2.88,,3.0,2.85,3.0,2.85,,,,,
cska moscow,b,6.5,5.5,5.5,5.5,5.5,5.2,4.5,5.5,6.5,5.0,5.5,5.5,5.0,5.0,6.0,5.5,,5.0,5.0,4.75,5.0,,,,,
psv,b,11.0,7.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,6.5,11.0,10.0,10.0,9.0,11.0,,10.0,10.0,10.0,10.0,,,,,
benfica,c,1.62,1.57,,1.67,1.67,1.62,1.73,1.62,1.67,,1.5,1.67,1.62,1.73,1.66,1.67,,1.73,,1.62,,,,,,
atletico madrid,c,2.25,2.38,,2.2,2.2,2.1,2.1,2.25,2.2,,2.45,2.2,2.2,2.1,2.2,2.2,,2.1,,2.2,,,,,,
galatasaray,c,41.0,26.0,,23.0,26.0,41.0,21.0,51.0,41.0,,51.0,41.0,26.0,26.0,41.0,26.0,,26.0,,41.0,,,,,,
fc astana,c,501.0,101.0,,201.0,501.0,501.0,151.0,501.0,251.0,,401.0,251.0,201.0,201.0,251.0,201.0,,201.0,,151.0,,,,,,
juventus,d,1.5,1.4,1.5,1.5,1.5,1.53,1.44,1.44,1.5,,1.44,1.5,1.5,1.53,1.5,1.5,,1.53,,1.55,,,,,,
man city,d,3.25,4.0,3.25,3.25,3.25,3.1,3.25,3.75,3.25,,3.75,3.5,3.0,3.0,3.0,3.25,,3.0,,3.0,,,,,,
sevilla,d,9.0,9.0,9.0,8.5,9.0,7.5,9.0,8.0,9.0,,7.5,11.0,9.0,9.0,10.0,9.0,,9.0,,9.0,,,,,,
monchengladbach,d,101.0,41.0,67.0,67.0,67.0,67.0,101.0,51.0,81.0,,101.0,81.0,67.0,67.0,67.0,67.0,,67.0,,81.0,,,,,,
barcelona,e,1.06,1.06,,,,1.06,1.05,1.05,,,1.04,1.05,1.05,1.05,1.05,,,1.05,,,,,,,,
bayer leverkusen,e,11.0,11.0,,,,10.0,11.0,12.0,,,15.0,10.0,11.0,11.0,11.0,,,11.0,,,,,,,,
roma,e,21.0,19.0,,,,15.0,21.0,21.0,,,21.0,15.0,17.0,17.0,19.0,,,17.0,,,,,,,,
bate borisov,e,101.0,67.0,,,,101.0,101.0,91.0,,,251.0,101.0,67.0,101.0,101.0,,,101.0,,,,,,,,
bayern munich,f,1.13,1.14,,,,1.08,1.08,1.12,,,1.1,1.12,1.14,1.12,1.1,,,1.12,,,,,,,,
arsenal,f,10.0,10.0,,,,11.0,11.0,10.0,,,10.0,9.0,7.0,10.0,10.0,,,10.0,,,,,,,,
olympiakos,f,10.0,9.0,,,,12.0,11.0,10.0,,,12.0,9.0,10.0,9.0,13.0,,,9.0,,,,,,,,
din zagreb,f,201.0,101.0,,,,101.0,201.0,301.0,,,251.0,81.0,101.0,101.0,101.0,,,101.0,,,,,,,,
porto,g,1.67,1.62,,,,1.62,1.62,1.57,,,1.67,1.67,1.73,1.62,1.61,,,1.62,,,,,,,,
chelsea,g,2.63,2.62,,,,2.5,2.5,2.7,,,2.62,2.38,2.2,2.5,2.62,,,2.5,,,,,,,,
dynamo kiev,g,9.0,10.0,,,,11.0,11.0,11.0,,,9.0,10.0,11.0,10.0,10.0,,,10.0,,,,,,,,
maccabi tel aviv,g,1001.0,,,,,,,,,,,,,,251.0,,,,,,,,,,,
zenit,h,1.29,1.25,,,,1.22,1.17,1.17,,,1.2,1.2,1.2,1.22,1.25,,,1.22,,,,,,,,
valencia,h,3.5,3.75,,,,3.75,4.5,4.5,,,4.5,4.0,4.33,4.0,3.75,,,4.0,,,,,,,,
lyon,h,51.0,51.0,,,,51.0,101.0,101.0,,,67.0,41.0,34.0,51.0,51.0,,,51.0,,,,,,,,
gent,h,151.0,151.0,,,,151.0,151.0,151.0,,,151.0,151.0,151.0,151.0,151.0,,,151.0,,,,,,,,
