name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
juventus,a,1.91,1.8,1.8,1.8,1.8,1.8,1.8,1.83,1.8,1.9,1.83,2.0,1.91,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.85,1.82,
atletico madrid,a,2.4,2.5,2.5,2.5,2.5,2.4,2.62,2.8,2.5,2.6,2.62,2.25,2.25,2.3,2.62,2.5,2.5,2.4,2.3,2.6,2.3,2.6,2.81,2.42,
olympiakos,a,7.0,7.0,6.5,7.0,6.5,6.5,6.0,5.5,7.0,6.0,6.5,6.5,7.0,7.0,5.5,7.0,6.5,7.0,7.0,6.0,7.0,6.0,6.32,5.75,
malmo ff,a,81.0,101.0,101.0,101.0,101.0,101.0,151.0,151.0,101.0,50.0,126.0,101.0,101.0,101.0,151.0,101.0,101.0,100.0,101.0,50.0,101.0,50.0,81.0,74.0,
real madrid,b,1.2,1.2,1.2,1.2,1.2,1.18,1.2,1.22,1.2,1.2,1.17,1.17,1.2,1.2,1.18,1.2,1.2,1.2,1.2,1.2,1.17,1.2,1.16,1.16,
liverpool,b,4.5,4.33,4.5,4.33,4.5,4.33,4.5,4.2,4.5,4.5,4.75,4.5,4.0,4.33,4.5,4.5,4.5,4.4,4.33,4.5,4.5,4.5,4.8,4.01,
basel,b,34.0,41.0,26.0,34.0,26.0,41.0,67.0,81.0,41.0,25.0,81.0,51.0,34.0,26.0,41.0,34.0,34.0,40.0,26.0,25.0,67.0,25.0,9.55,20.0,
ludogorets razgrad,b,76.0,101.0,101.0,101.0,101.0,101.0,151.0,226.0,201.0,50.0,201.0,201.0,151.0,101.0,151.0,151.0,126.0,100.0,101.0,50.0,101.0,50.0,21.0,54.0,
zenit,c,2.63,2.75,,2.75,2.5,2.6,2.38,2.4,2.5,2.75,2.2,2.5,2.75,2.75,2.2,2.5,2.75,2.75,2.75,2.75,2.55,2.75,2.5,2.38,
monaco,c,3.3,3.25,,3.25,3.25,3.25,3.25,3.5,3.25,3.25,3.4,3.5,3.5,3.0,3.5,3.3,3.25,3.25,3.0,3.25,3.25,3.25,3.38,3.04,
