name,group,max,min,mean,median,twentyfive,seventyfive
atletico madrid,a,1.22,1.09,1.1657142857142857,1.1699999999999999,1.1499999999999999,1.1924999999999999
juventus,a,5.5,3.75,4.6357142857142861,4.5,4.3725000000000005,5.0
bayer leverkusen,c,1.44,1.12,1.3207692307692307,1.3300000000000001,1.22,1.4199999999999999
monaco,c,9.0,2.81,4.7007692307692306,4.1500000000000004,4.0,5.5
benfica,c,17.0,17.0,17.0,17.0,17.0,17.0
zenit,c,17.0,8.0,9.9638461538461538,9.5,8.0299999999999994,10.0
dortmund,d,1.08,1.01,1.0370588235294118,1.04,1.02,1.05
arsenal,d,15.0,7.0,10.676470588235293,10.0,9.0,11.0
barcelona,f,1.57,1.4,1.5035000000000001,1.5,1.5,1.53
psg,f,2.75,2.25,2.4725000000000001,2.5,2.3774999999999999,2.6000000000000001
