name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
psg,a,3.0,2.75,,2.88,3.0,2.8,3.25,3.0,2.75,2.75,3.5,2.88,,,2.75,,2.8,,,2.9,2.75,,2.9,,
real madrid,a,1.44,1.53,,1.5,1.44,1.5,1.36,1.5,6.5,1.6,1.36,1.5,,,1.53,,1.5,,,1.53,1.6,,1.1,,
atletico madrid,a,,,,,,,,,15.0,,,,,,,,,,,,,,,,
juventus,a,,,,,,,,,21.0,,,,,,,,,,,,,,,,
shakhtar donetsk,a,17.0,9.0,,13.0,13.0,15.0,13.0,13.0,101.0,12.0,19.0,13.0,,,13.0,,13.8,,,9.0,12.0,,5.75,,
malmo ff,a,101.0,29.0,,81.0,101.0,101.0,101.0,101.0,101.0,101.0,67.0,101.0,,,81.0,,100.0,,,101.0,101.0,,20.0,,
olympiakos,a,,,,,,,,,301.0,,,,,,,,,,,,,,,,
man utd,b,1.91,1.91,,1.73,1.67,,1.62,1.83,1.73,1.8,1.85,1.73,,,1.9,,1.8,,,1.85,1.8,,1.28,,
wolfsburg,b,3.0,3.25,,3.25,3.25,,3.25,3.2,3.13,3.0,3.0,3.25,,,3.0,,3.05,,,3.2,3.0,,1.95,,
cska moscow,b,6.5,6.5,,8.0,10.0,,10.0,6.0,9.0,7.5,7.0,8.5,,,6.0,,7.5,,,7.5,7.5,,3.85,,
psv,b,12.0,7.0,,11.0,9.0,,10.0,12.0,11.0,15.0,15.0,10.0,,,11.0,,12.3,,,7.5,15.0,,2.42,,
atletico madrid,c,1.44,1.44,,1.44,1.44,1.4,1.4,1.5,1.33,1.44,1.4,1.5,,,1.4,,1.45,,,1.48,1.44,,1.24,,
benfica,c,3.75,4.0,,3.75,3.5,4.2,4.0,3.75,5.5,4.0,4.5,3.75,,,3.75,,3.8,,,3.4,4.0,,2.9,,
galatasaray,c,8.0,6.0,,8.0,8.0,8.5,7.0,7.0,7.0,7.5,7.5,6.5,,,8.0,,7.75,,,7.5,7.5,,4.8,,
fc astana,c,101.0,29.0,,51.0,126.0,34.0,67.0,81.0,51.0,151.0,51.0,67.0,,,101.0,,115.0,,,51.0,151.0,,2.1,,
man city,d,2.1,2.0,,2.1,2.2,2.0,2.1,2.1,2.0,2.0,1.75,,,,2.1,,,,,2.05,2.0,,2.04,,
juventus,d,2.75,3.0,,2.88,2.75,3.1,2.62,2.62,2.62,3.0,3.1,,,,2.8,,,,,2.45,3.0,,2.04,,
sevilla,d,5.5,5.5,,5.0,4.5,4.75,6.0,5.0,6.0,5.5,7.5,,,,5.0,,,,,6.0,5.5,,2.42,,
monchengladbach,d,15.0,8.5,,13.0,13.0,15.0,11.0,19.0,17.0,16.0,17.0,,,,15.0,,,,,17.0,16.0,,4.8,,
barcelona,e,1.22,1.25,,1.2,1.25,,1.11,1.2,1.14,1.18,1.2,1.2,,,1.18,,1.2,,,1.2,1.18,,1.04,,
roma,e,7.0,6.5,,7.5,6.0,,9.0,8.0,9.0,9.0,8.0,8.0,,,8.0,,7.75,,,7.25,9.0,,4.8,,
bayer leverkusen,e,8.0,6.5,,8.0,7.0,,10.0,8.0,9.0,8.0,9.0,7.5,,,8.0,,7.75,,,7.25,8.0,,8.6,,
bate borisov,e,151.0,41.0,,81.0,101.0,,151.0,91.0,101.0,251.0,101.0,67.0,,,81.0,,160.0,,,101.0,251.0,,14.3,,
bayern munich,f,1.33,1.4,,1.4,1.33,,1.25,1.4,1.33,1.35,1.33,1.33,,,1.36,,1.35,,,1.35,1.35,,1.28,,
arsenal,f,3.75,3.25,,3.4,3.25,,3.75,3.25,3.5,3.5,3.75,3.75,,,3.5,,3.55,,,3.5,3.5,,2.9,,
olympiakos,f,17.0,15.0,,15.0,26.0,,21.0,15.0,21.0,21.0,21.0,13.0,,,17.0,,17.5,,,13.0,21.0,,6.7,,
din zagreb,f,67.0,29.0,,41.0,67.0,,101.0,67.0,67.0,76.0,51.0,67.0,,,51.0,,72.0,,,51.0,76.0,,10.5,,
chelsea,g,1.25,1.33,,1.25,1.29,,1.29,1.33,1.29,1.35,1.29,1.22,,,1.4,,1.3,,1.35,1.3,1.35,,1.1,,
porto,g,4.5,3.5,,4.5,3.75,,4.0,3.75,5.0,4.0,5.5,5.0,,,3.0,,4.1,,4.0,5.0,4.0,,2.9,,
dynamo kiev,g,17.0,17.0,,17.0,17.0,,13.0,13.0,11.0,12.0,10.0,13.0,,,15.0,,12.0,,12.0,8.0,12.0,,5.75,,
maccabi tel aviv,g,67.0,29.0,,51.0,67.0,,67.0,81.0,51.0,151.0,41.0,67.0,,,81.0,,98.0,,151.0,34.0,151.0,,10.5,,
valencia,h,1.91,2.1,,2.0,1.91,2.1,2.1,2.1,1.91,2.0,2.1,2.0,,,1.8,,2.0,,,2.0,2.0,,1.48,,
zenit,h,3.5,3.0,,3.5,3.75,3.0,3.0,3.0,3.5,3.35,3.6,3.5,,,3.75,,3.2,,,3.3,3.35,,1.95,,
lyon,h,4.0,3.75,,3.75,3.5,4.0,4.0,4.33,4.0,4.0,4.0,3.75,,,3.75,,3.9,,,4.0,4.0,,2.9,,
gent,h,29.0,17.0,,21.0,23.0,21.0,17.0,15.0,21.0,51.0,12.0,19.0,,,34.0,,34.0,,,15.0,51.0,,10.5,,
