name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.67,1.62,,1.53,,1.55,1.5,1.57,1.57,1.6,1.5,1.62,1.57,1.53,1.57,1.6,1.6,1.65,1.57,1.55,,1.59,1.53,
Shakhtar Donetsk,a,3.75,4.0,,4.0,,3.75,3.75,3.75,4.0,4.0,4.0,3.75,3.5,3.75,3.75,3.75,4.0,3.75,3.75,4.0,,3.23,2.99,
Bayer Leverkusen,a,5.0,6.0,,5.5,,5.5,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.5,5.5,6.0,5.0,6.0,6.0,,4.8,4.23,
Real Sociedad,a,34.0,51.0,,29.0,,34.0,67.0,23.0,34.0,40.0,34.0,29.0,51.0,34.0,51.0,34.0,40.0,34.0,34.0,34.0,,42.0,36.0,
Real Madrid,b,1.08,1.1,,1.08,,1.07,1.08,1.1,1.08,1.08,1.07,1.07,1.03,1.08,1.06,1.06,1.08,1.08,1.08,1.08,,1.05,0.05,
Juventus,b,7.0,7.5,,7.0,,7.0,7.0,7.0,7.0,7.0,8.0,7.0,11.0,7.0,10.0,8.5,7.0,7.0,7.0,8.0,,8.03,0.05,
Galatasaray,b,34.0,34.0,,26.0,,26.0,26.0,26.0,34.0,30.0,34.0,26.0,34.0,26.0,34.0,29.0,30.0,34.0,34.0,26.0,,29.0,18.1,
FC Copenhagen,b,251.0,251.0,,151.0,,151.0,251.0,101.0,251.0,300.0,301.0,151.0,251.0,251.0,301.0,301.0,300.0,251.0,251.0,151.0,,124.0,106.0,
PSG,c,1.13,1.14,,1.13,,1.1,1.12,1.14,1.1,1.13,1.07,1.12,1.08,1.1,1.1,1.16,1.13,1.12,1.13,1.15,,1.19,1.03,
Benfica,c,6.0,7.0,,6.0,,6.0,6.0,6.0,7.0,6.5,7.5,6.0,7.0,6.5,7.5,6.0,6.5,6.0,6.5,6.0,,5.94,5.37,
Olympiakos,c,26.0,26.0,,19.0,,26.0,26.0,26.0,26.0,20.0,29.0,17.0,17.0,26.0,21.0,15.0,20.0,26.0,26.0,21.0,,21.0,10.5,
Anderlecht,c,251.0,201.0,,126.0,,151.0,151.0,67.0,151.0,200.0,151.0,126.0,151.0,151.0,201.0,251.0,200.0,251.0,201.0,151.0,,190.0,167.0,
Bayern Munich,d,1.08,1.12,,1.11,,1.07,1.12,1.11,1.08,1.08,1.05,1.1,1.1,1.09,1.05,1.08,1.08,1.08,1.08,1.12,,1.1,1.05,
Man City,d,8.0,8.0,,7.0,,7.5,6.0,7.0,8.0,8.0,8.0,7.5,6.5,7.0,8.0,7.5,8.0,8.0,7.5,7.0,,10.0,0.05,
CSKA Moscow,d,23.0,23.0,,17.0,,21.0,21.0,15.0,26.0,25.0,29.0,15.0,17.0,21.0,29.0,23.0,25.0,23.0,26.0,19.0,,21.0,17.6,
Plzen,d,501.0,251.0,,201.0,,251.0,501.0,251.0,501.0,500.0,751.0,251.0,251.0,251.0,501.0,401.0,500.0,501.0,251.0,251.0,,380.0,290.0,
Chelsea,e,1.67,1.62,1.57,1.62,,1.6,1.62,1.62,1.62,1.6,1.7,1.67,1.67,1.62,1.67,1.5,1.6,1.62,,1.6,,1.73,1.61,
Schalke 04,e,2.38,2.4,2.5,2.3,,2.38,2.25,2.4,2.5,2.5,2.4,2.3,2.38,2.37,2.25,2.75,2.5,2.3,,2.4,,2.42,2.38,
Basel,e,15.0,17.0,15.0,17.0,,15.0,21.0,19.0,19.0,20.0,9.0,13.0,17.0,17.0,13.0,13.0,20.0,21.0,,19.0,,14.3,10.5,
Steaua Bucharest,e,251.0,201.0,251.0,151.0,,151.0,151.0,201.0,251.0,150.0,251.0,101.0,251.0,151.0,201.0,251.0,150.0,251.0,,251.0,,190.0,167.0,
Arsenal,f,1.83,1.8,1.73,1.73,,1.67,1.73,1.67,1.67,1.75,1.67,1.73,1.67,1.7,1.67,1.85,1.75,1.75,,1.7,,1.7,1.63,
Bor Dortmund,f,2.8,2.75,2.75,2.75,,2.75,2.62,2.88,2.88,2.8,2.88,2.75,2.75,2.65,2.75,2.65,2.8,2.65,,2.75,,2.73,2.59,
Napoli,f,5.5,6.5,6.5,6.5,,7.0,7.0,7.0,7.0,6.5,6.0,6.0,7.0,7.0,6.5,6.0,6.5,7.0,,7.0,,7.65,6.13,
Marseille,f,126.0,101.0,101.0,81.0,,101.0,101.0,101.0,101.0,100.0,101.0,81.0,101.0,101.0,101.0,126.0,100.0,101.0,,126.0,,76.0,43.0,
Atletico Madrid,g,1.17,1.14,1.14,1.17,,1.14,1.14,1.17,1.03,1.16,1.12,1.2,1.17,1.16,1.1,1.2,1.16,1.15,,1.15,,1.19,1.06,
Porto,g,6.0,6.0,6.0,5.5,,6.0,6.0,5.5,1.4,6.0,6.5,5.5,5.5,5.5,7.0,5.5,6.0,6.0,,6.0,,5.37,3.8,
Zenit St Petersburg,g,15.0,15.0,15.0,15.0,,15.0,15.0,14.0,2.5,15.0,17.0,15.0,13.0,14.0,17.0,13.0,15.0,17.0,,15.0,,15.3,10.0,
Austria Vienna,g,251.0,201.0,251.0,201.0,,101.0,251.0,201.0,34.0,150.0,201.0,101.0,101.0,201.0,201.0,201.0,150.0,251.0,,301.0,,38.0,0.05,
Barcelona,h,1.05,1.04,1.03,1.04,,1.02,1.03,1.04,1.0,1.03,1.04,1.04,1.03,1.02,1.05,1.05,1.03,1.02,,1.03,,1.05,0.05,
