name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.44,1.5,,1.5,1.44,1.5,1.36,1.5,1.5,1.5,1.44,1.5,1.5,1.45,1.5,1.44,1.5,1.45,1.5,1.5,1.5,,,1.34,,
psg,a,3.0,2.75,,2.88,3.0,2.8,3.25,3.0,2.75,2.75,2.88,2.88,2.75,2.75,2.75,3.2,2.8,2.75,2.75,2.95,2.75,,,2.81,,
shakhtar donetsk,a,17.0,19.0,,13.0,13.0,15.0,13.0,13.0,15.0,15.0,19.0,13.0,11.0,17.0,13.0,13.0,15.0,17.0,15.0,17.0,15.0,,,9.55,,
malmo ff,a,101.0,34.0,,81.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,81.0,81.0,101.0,105.0,81.0,101.0,151.0,101.0,,,20.0,,
man utd,b,1.91,1.91,,1.73,1.73,1.83,1.73,1.83,1.8,1.8,1.85,1.91,1.73,1.85,1.8,1.73,1.8,1.85,1.8,1.85,1.8,,,1.99,,
wolfsburg,b,3.0,3.25,,3.25,3.25,2.95,3.25,3.2,3.25,3.0,3.25,3.5,3.25,3.0,3.25,3.4,3.1,3.0,3.0,3.25,3.0,,,2.9,,
cska moscow,b,6.5,7.0,,8.0,7.0,8.0,7.0,6.0,7.0,7.5,7.0,6.0,6.5,6.5,7.0,7.0,7.0,6.5,7.5,7.0,7.5,,,3.85,,
psv,b,12.0,8.0,,11.0,12.0,11.0,10.0,12.0,11.0,15.0,11.0,8.0,12.0,12.0,11.0,12.0,12.5,12.0,15.0,12.0,15.0,,,6.13,,
atletico madrid,c,1.44,1.44,,1.44,1.44,1.4,1.4,1.5,1.44,1.44,1.4,1.5,1.4,1.44,1.4,1.4,1.4,1.44,1.44,1.45,1.44,,,1.25,,
benfica,c,3.75,4.0,,3.75,3.5,4.2,4.0,3.75,4.0,4.0,4.2,3.75,3.75,3.75,3.75,3.75,3.8,3.75,4.0,3.8,4.0,,,2.54,,
galatasaray,c,8.0,7.0,,8.0,8.0,8.5,7.0,7.0,7.0,7.5,8.5,6.5,9.0,7.5,8.0,9.0,8.0,7.5,7.5,9.0,7.5,,,4.8,,
fc astana,c,101.0,34.0,,51.0,126.0,34.0,67.0,81.0,81.0,151.0,67.0,67.0,81.0,51.0,101.0,126.0,120.0,51.0,151.0,101.0,151.0,,,2.42,,
man city,d,2.0,2.0,,2.1,2.1,2.0,2.1,2.1,2.0,2.0,2.0,2.0,2.1,2.05,2.1,2.0,2.05,2.05,2.0,2.05,2.0,,,1.72,,
juventus,d,2.88,3.0,,2.88,2.75,3.1,2.62,2.62,2.62,2.85,2.88,2.88,2.75,2.8,2.8,3.0,2.7,2.8,2.85,2.8,2.85,,,2.06,,
sevilla,d,6.0,5.5,,5.0,5.5,4.75,5.0,5.0,6.0,6.0,6.0,5.5,6.0,5.0,5.0,5.0,5.75,5.0,6.0,6.0,6.0,,,3.85,,
monchengladbach,d,13.0,12.0,,13.0,13.0,15.0,17.0,19.0,17.0,16.0,12.0,13.0,13.0,15.0,15.0,15.0,15.5,15.0,16.0,17.0,16.0,,,3.57,,
barcelona,e,1.22,1.22,,1.2,1.25,1.2,1.11,1.2,1.17,1.18,1.2,1.2,1.12,1.2,1.18,1.2,1.2,1.2,1.18,1.2,1.18,,,1.16,,
roma,e,7.0,7.0,,7.5,6.0,8.5,9.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0,8.0,7.5,7.75,7.0,9.0,8.5,9.0,,,8.6,,
bayer leverkusen,e,8.0,7.0,,8.0,7.0,7.5,10.0,8.0,9.0,8.0,9.0,7.5,9.0,7.5,8.0,8.0,8.0,7.5,8.0,8.5,8.0,,,1.07,,
