name,group,max,min,mean,median,twentyfive,seventyfive
real madrid,a,1.5,1.34,1.4676190476190476,1.5,1.4399999999999999,1.5
psg,a,3.25,2.22,2.8442857142857143,2.7999999999999998,2.75,3.0
shakhtar donetsk,a,23.0,9.55,14.859523809523811,15.0,13.0,17.0
malmo ff,a,201.0,20.0,97.714285714285708,101.0,81.0,101.0
man utd,b,2.01,1.73,1.8276190476190477,1.8300000000000001,1.8,1.8500000000000001
wolfsburg,b,3.5,2.88,3.1347619047619046,3.2000000000000002,3.0,3.25
cska moscow,b,8.0,3.85,6.7904761904761903,7.0,6.5,7.25
psv,b,15.0,7.65,11.616666666666665,12.0,11.0,12.0
atletico madrid,c,1.5,1.25,1.4161904761904762,1.3999999999999999,1.3999999999999999,1.4399999999999999
benfica,c,4.2,2.54,3.79,3.75,3.75,4.0
galatasaray,c,9.0,4.8,7.6571428571428575,7.5,7.0,8.0
fc astana,c,151.0,2.44,89.735238095238103,81.0,51.0,126.0
man city,d,2.1,1.71,2.0171428571428569,2.0,2.0,2.1000000000000001
juventus,d,3.1,2.04,2.79,2.7999999999999998,2.75,2.8799999999999999
sevilla,d,6.0,3.85,5.4214285714285708,5.5,5.0,6.0
monchengladbach,d,19.0,1.75,14.392857142857142,15.0,13.0,16.0
barcelona,e,1.25,1.11,1.1852380952380952,1.2,1.1799999999999999,1.2
roma,e,9.5,7.0,8.0404761904761894,8.0,7.0,9.0
bayer leverkusen,e,10.0,6.5,8.0999999999999996,8.0,7.5,8.125
bate borisov,e,301.0,14.3,135.82380952380953,101.0,81.0,180.0
bayern munich,f,1.4,1.25,1.3485,1.3500000000000001,1.3300000000000001,1.3600000000000001
arsenal,f,3.75,3.25,3.5179999999999998,3.5,3.3999999999999999,3.6825000000000001
olympiakos,f,29.0,2.95,18.172499999999999,17.0,16.5,21.0
din zagreb,f,151.0,2.95,60.347500000000004,59.0,41.0,67.75
chelsea,g,1.38,1.25,1.3123809523809524,1.3,1.29,1.3300000000000001
porto,g,4.5,2.65,3.9361904761904762,4.0,4.0,4.0
dynamo kiev,g,17.0,8.6,13.290476190476191,13.0,12.0,15.0
maccabi tel aviv,g,151.0,29.0,75.523809523809518,67.0,51.0,81.0
valencia,h,2.1,1.48,1.9452380952380952,1.95,1.8999999999999999,2.0
zenit,h,3.6,1.95,3.3238095238095235,3.5,3.25,3.5
lyon,h,4.0,2.9,3.8619047619047615,4.0,3.75,4.0
gent,h,34.0,10.5,24.071428571428573,21.0,21.0,29.0
