name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
juventus,a,2.0,1.73,,1.75,,,1.8,1.83,,1.9,1.8,,1.91,1.9,,2.0,,,1.9,1.9,,1.9,1.93,,
atletico madrid,a,2.3,2.5,,2.6,,,2.62,2.8,,2.6,2.62,,2.25,2.3,,2.2,,,2.3,2.6,,2.6,2.12,,
olympiakos,a,7.0,7.5,,7.0,,,6.0,5.5,,6.0,7.0,,7.0,7.0,,6.0,,,7.0,6.0,,6.0,5.56,,
malmo ff,a,81.0,101.0,,101.0,,,151.0,151.0,,50.0,101.0,,101.0,101.0,,81.0,,,101.0,50.0,,50.0,67.0,,
real madrid,b,1.2,1.22,1.2,1.2,1.2,,1.2,1.22,,1.2,1.17,1.17,1.2,1.2,,1.16,,,1.2,1.2,,1.2,1.12,1.16,
liverpool,b,4.5,4.33,4.5,4.33,4.5,,4.5,4.2,,4.5,4.5,4.5,3.75,4.33,,4.5,,,4.33,4.5,,4.5,4.8,4.01,
basel,b,34.0,29.0,26.0,34.0,26.0,,67.0,81.0,,25.0,67.0,51.0,21.0,26.0,,34.0,,,26.0,25.0,,25.0,5.66,,
ludogorets razgrad,b,76.0,101.0,101.0,101.0,101.0,,151.0,226.0,,50.0,201.0,201.0,151.0,101.0,,126.0,,,101.0,50.0,,50.0,20.0,,
zenit,c,2.8,2.75,,2.62,,,2.38,2.4,,2.75,2.5,,2.75,2.75,,2.88,,,2.75,2.75,,2.75,2.77,,
monaco,c,3.2,3.25,,3.5,,,3.25,3.5,,3.25,3.0,,3.5,3.0,,3.0,,,3.0,3.25,,3.25,2.86,,
bayer leverkusen,c,3.5,3.5,,3.75,,,3.75,4.0,,3.75,4.0,,3.5,3.75,,3.5,,,3.75,3.75,,3.75,3.28,,
benfica,c,7.0,6.5,,5.5,,,9.0,8.0,,6.0,8.0,,5.0,6.5,,6.0,,,6.5,6.0,,6.0,5.56,,
dortmund,d,1.57,1.57,,1.57,,,1.5,1.4,,1.55,1.44,1.5,1.53,1.53,,1.57,,,1.53,1.55,,1.55,1.52,,
arsenal,d,3.3,2.62,,3.0,,,3.0,3.75,,3.5,3.25,3.25,3.0,3.0,,3.0,,,3.0,3.5,,3.5,2.95,1.17,
galatasaray,d,9.0,13.0,,11.0,,,15.0,15.0,,9.0,13.0,13.0,11.0,12.0,,11.0,,,12.0,9.0,,9.0,2.41,,
anderlecht,d,21.0,23.0,,19.0,,,21.0,26.0,,20.0,29.0,26.0,21.0,21.0,,21.0,,,21.0,20.0,,20.0,18.6,,
bayern munich,e,1.53,1.53,1.57,1.6,1.57,,1.5,,,1.6,1.5,,1.62,1.57,1.5,1.57,1.55,1.55,1.57,1.6,1.6,1.6,1.52,1.37,
man city,e,3.25,3.0,3.0,3.0,3.0,,3.25,,,3.2,3.2,,3.0,3.0,3.25,3.25,3.25,3.1,3.0,3.2,3.05,3.2,3.04,1.42,
roma,e,9.0,9.0,8.0,8.0,8.0,,10.0,,,7.5,10.0,,8.0,9.0,10.0,9.0,9.0,9.0,9.0,7.5,9.0,7.5,8.22,1.49,
cska moscow,e,41.0,41.0,34.0,41.0,41.0,,41.0,,,41.0,51.0,,26.0,41.0,41.0,51.0,41.0,40.0,41.0,41.0,26.0,41.0,44.0,1.84,
barcelona,f,1.36,1.4,1.5,1.36,1.5,,1.33,,,1.45,1.33,,1.5,1.36,1.4,1.44,1.4,1.4,1.36,1.45,1.45,1.45,1.4,1.12,
psg,f,3.25,3.25,2.62,3.25,2.63,,3.5,,,3.0,3.4,,2.75,3.25,3.0,3.0,3.25,3.0,3.25,3.0,2.8,3.0,2.95,2.8,
ajax,f,26.0,17.0,19.0,17.0,19.0,,21.0,,,18.0,26.0,,15.0,21.0,26.0,21.0,21.0,22.0,21.0,18.0,23.0,18.0,18.6,1.48,
apoel nicosia,f,81.0,81.0,51.0,67.0,51.0,,67.0,,,67.0,101.0,,67.0,67.0,101.0,81.0,67.0,100.0,67.0,67.0,101.0,67.0,62.0,,
chelsea,g,1.25,1.29,1.3,1.3,1.3,,1.2,,,1.2,1.2,,1.3,1.22,1.2,1.25,1.25,1.2,1.22,1.2,1.2,1.2,1.24,1.29,
schalke 04,g,5.5,4.5,5.0,5.0,5.0,,5.5,,,5.15,6.0,,5.0,5.5,5.5,6.0,5.5,6.0,5.5,5.15,6.5,5.15,5.56,1.23,
sporting lisbon,g,10.0,10.0,8.0,8.0,8.0,,11.0,,,7.5,12.0,,8.0,11.0,12.0,10.0,11.0,10.0,11.0,7.5,10.5,7.5,9.17,1.35,
maribor,g,67.0,101.0,67.0,51.0,67.0,,101.0,,,81.0,81.0,,41.0,81.0,101.0,101.0,81.0,66.0,81.0,81.0,51.0,81.0,86.0,1.69,
