name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.67,1.62,,1.53,,1.55,1.5,1.57,1.57,1.6,1.5,1.62,1.57,1.53,1.57,1.6,1.6,1.57,1.55,,1.67,1.58,
Shakhtar Donetsk,a,3.75,3.75,,4.0,,3.75,4.0,3.75,4.0,4.0,4.2,3.75,3.5,3.75,3.75,3.75,4.0,3.75,4.0,,3.42,3.28,
Bayer Leverkusen,a,5.0,6.0,,5.5,,5.5,5.5,6.0,6.0,6.0,5.5,5.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,,3.94,3.76,
Real Sociedad,a,34.0,51.0,,29.0,,34.0,67.0,23.0,34.0,40.0,34.0,29.0,51.0,34.0,51.0,34.0,40.0,34.0,34.0,,38.0,34.0,
Real Madrid,b,1.08,1.08,,1.08,,1.07,1.08,1.1,1.08,1.08,1.06,1.07,1.03,1.08,1.06,1.06,1.08,1.08,1.08,,1.06,0.03,
Juventus,b,7.0,8.0,,7.0,,7.0,7.0,7.0,7.0,7.0,9.0,7.0,11.0,7.0,10.0,8.5,7.0,7.0,8.0,,9.36,4.2,
Galatasaray,b,34.0,34.0,,26.0,,26.0,26.0,26.0,34.0,30.0,34.0,26.0,34.0,26.0,34.0,29.0,30.0,34.0,26.0,,15.3,10.2,
FC Copenhagen,b,251.0,251.0,,151.0,,151.0,251.0,101.0,251.0,300.0,301.0,151.0,251.0,251.0,301.0,301.0,300.0,251.0,151.0,,42.0,38.0,
PSG,c,1.13,1.12,,1.13,,1.1,1.12,1.14,1.1,1.13,1.06,1.12,1.08,1.1,1.1,1.16,1.13,1.13,1.15,,1.12,1.07,
Benfica,c,6.0,6.0,,6.0,,6.0,6.0,6.0,7.0,6.5,7.5,6.0,7.0,6.5,7.5,6.0,6.5,6.5,6.0,,6.32,3.91,
Olympiakos,c,26.0,26.0,,19.0,,26.0,26.0,26.0,26.0,20.0,26.0,17.0,17.0,26.0,21.0,15.0,20.0,26.0,21.0,,16.2,7.21,
Anderlecht,c,251.0,201.0,,126.0,,151.0,151.0,67.0,151.0,200.0,251.0,126.0,151.0,151.0,201.0,251.0,200.0,201.0,151.0,,52.0,46.0,
Bayern Munich,d,1.08,1.1,,1.11,,1.07,1.12,1.11,1.08,1.08,1.05,1.1,1.1,1.09,1.05,1.08,1.08,1.08,1.12,,1.11,1.05,
