name,group,max,min,mean,median,twentyfive,seventyfive
Man Utd,a,1.86,1.55,1.7071428571428569,1.6699999999999999,1.6699999999999999,1.73
Shakhtar Donetsk,a,6.0,4.51,5.3380952380952387,5.5,5.0,5.5
Bayer Leverkusen,a,7.0,5.0,5.6828571428571433,5.75,5.0899999999999999,6.0
Real Sociedad,a,8.0,5.27,6.5461904761904766,6.5,6.0,7.0
Real Madrid,b,1.57,1.35,1.4742857142857144,1.5,1.4399999999999999,1.53
Juventus,b,3.5,2.5,2.9333333333333331,2.8999999999999999,2.75,3.0
Galatasaray,b,17.0,9.0,14.004761904761903,15.0,13.0,15.0
FC Copenhagen,b,101.0,26.0,65.700000000000003,67.0,51.0,81.0
PSG,c,1.62,1.44,1.5428571428571431,1.53,1.5,1.5700000000000001
Benfica,c,3.25,2.75,3.0119047619047623,3.0,3.0,3.0899999999999999
Olympiakos,c,20.0,11.0,14.476190476190476,13.0,13.0,15.0
Anderlecht,c,26.0,15.0,20.100000000000001,20.0,19.0,21.0
Bayern Munich,d,1.57,1.38,1.5042857142857142,1.5,1.45,1.5700000000000001
Man City,d,3.28,2.75,2.9052380952380954,2.8799999999999999,2.7999999999999998,3.0
CSKA Moscow,d,21.0,11.0,15.209523809523811,13.0,13.0,17.100000000000001
Plzen,d,101.0,34.0,56.476190476190474,51.0,41.0,67.0
Chelsea,e,1.33,1.18,1.2490476190476192,1.25,1.22,1.26
Schalke 04,e,6.5,4.5,5.1209523809523816,5.0,5.0,5.1500000000000004
Basel,e,15.3,10.0,13.390476190476189,13.0,12.0,15.0
Steaua Bucharest,e,51.0,17.0,33.476190476190474,34.0,30.0,34.0
Bor Dortmund,f,2.5,2.0,2.2585000000000002,2.25,2.1374999999999997,2.3799999999999999
Arsenal,f,3.4,2.5,3.1484999999999999,3.25,3.105,3.25
Napoli,f,4.33,3.5,3.7939999999999996,3.75,3.75,3.9550000000000001
Marseille,f,17.0,8.0,12.57,12.5,10.0,15.0
Atletico Madrid,g,2.25,1.33,2.0580952380952384,2.1000000000000001,2.0499999999999998,2.1000000000000001
Porto,g,3.0,1.43,2.7357142857142853,2.75,2.75,2.8799999999999999
Zenit St Petersburg,g,4.5,1.62,3.9809523809523806,4.0,4.0,4.3300000000000001
Austria Vienna,g,51.0,9.17,30.579523809523806,30.0,26.0,34.0
Barcelona,h,1.29,1.16,1.2257142857142855,1.22,1.2,1.25
AC Milan,h,5.5,1.0,4.7842857142857138,5.0,5.0,5.25
Ajax,h,26.0,10.0,17.323809523809523,17.0,15.0,20.0
Celtic,h,67.0,26.0,47.238095238095241,45.0,41.0,51.0
