name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
atletico madrid,a,1.62,1.57,1.5,1.53,1.5,1.6,1.5,1.5,1.5,1.53,1.44,1.53,1.53,1.55,1.44,1.53,1.55,1.5,1.55,1.53,1.46,1.53,1.57,1.43,
juventus,a,3.25,3.75,3.75,3.5,3.75,3.2,3.75,4.33,2.75,3.6,4.33,3.5,3.4,3.5,4.5,4.0,3.75,3.75,3.5,3.6,4.0,3.6,3.76,3.67,
olympiakos,a,5.5,6.0,6.0,6.0,6.0,5.5,6.0,5.5,6.0,5.5,6.0,5.5,6.0,6.0,5.5,6.0,6.0,6.0,6.0,5.5,5.5,5.5,6.32,6.04,
malmo ff,a,251.0,151.0,251.0,251.0,251.0,251.0,251.0,176.0,151.0,251.0,126.0,301.0,251.0,251.0,101.0,201.0,251.0,151.0,251.0,251.0,251.0,251.0,52.0,48.0,
real madrid,b,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,1.01,,1.0,,,1.01,,,,1.01,,
liverpool,b,51.0,67.0,51.0,51.0,51.0,,,81.0,34.0,51.0,67.0,51.0,34.0,51.0,,51.0,51.0,,51.0,51.0,,51.0,48.0,40.0,
ludogorets razgrad,b,251.0,251.0,251.0,251.0,251.0,,,,251.0,201.0,251.0,301.0,101.0,151.0,,201.0,251.0,,151.0,201.0,,201.0,190.0,180.0,
basel,b,67.0,67.0,67.0,67.0,67.0,,,501.0,67.0,81.0,201.0,101.0,41.0,67.0,,81.0,67.0,,67.0,81.0,,81.0,32.0,,
bayer leverkusen,c,2.1,2.25,2.1,2.1,2.1,2.1,1.91,1.91,2.0,2.35,1.8,2.2,2.1,2.1,1.83,2.1,2.05,2.1,2.1,2.35,2.1,2.35,2.2,2.14,
zenit,c,3.4,3.25,3.4,3.4,3.4,3.4,3.75,3.75,3.25,3.1,3.75,3.25,3.25,3.4,3.75,3.5,3.25,3.5,3.4,3.1,3.4,3.1,3.23,3.04,
