name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
atletico madrid,a,2.1,2.1,2.1,2.0,2.1,2.05,2.0,1.83,2.1,2.1,1.8,2.1,2.1,2.1,1.91,2.0,2.1,2.1,2.1,2.1,1.95,2.1,2.08,2.05,
juventus,a,2.0,2.0,2.0,2.1,2.0,2.0,2.1,2.4,2.0,1.95,2.25,2.0,2.0,1.95,2.25,2.1,2.0,2.0,1.95,1.95,2.1,1.95,2.16,2.13,
olympiakos,a,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,12.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,11.9,10.7,
malmo ff,a,51.0,51.0,51.0,41.0,51.0,51.0,67.0,56.0,51.0,45.0,51.0,41.0,67.0,67.0,51.0,51.0,51.0,50.0,67.0,45.0,51.0,45.0,30.0,,
real madrid,b,1.13,1.1,1.1,1.1,1.1,1.1,1.08,1.08,1.08,1.1,1.07,1.11,1.1,1.11,1.08,1.1,1.12,1.12,1.11,1.1,1.11,1.1,1.09,1.05,
liverpool,b,7.5,7.5,7.5,7.5,7.5,8.0,9.0,9.0,8.0,7.0,9.0,6.5,7.0,7.0,8.0,8.0,7.5,7.5,7.0,7.0,7.0,7.0,13.4,12.6,
basel,b,15.0,15.0,15.0,17.0,15.0,15.0,17.0,41.0,17.0,11.0,29.0,15.0,17.0,15.0,21.0,21.0,15.0,15.0,15.0,11.0,15.0,11.0,23.0,10.2,
ludogorets razgrad,b,201.0,201.0,251.0,201.0,251.0,201.0,301.0,,251.0,201.0,301.0,151.0,251.0,251.0,301.0,251.0,251.0,151.0,251.0,201.0,151.0,201.0,86.0,76.0,
zenit,c,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.8,2.75,2.6,2.62,2.75,2.75,2.75,2.5,2.75,2.63,2.75,2.75,2.6,2.75,2.6,2.63,2.53,
bayer leverkusen,c,3.0,2.88,2.88,3.0,2.88,3.0,2.75,2.75,2.88,3.1,2.8,2.88,2.88,2.88,2.75,3.0,2.88,3.0,2.88,3.1,2.95,3.1,2.9,2.84,
monaco,c,3.1,3.25,3.0,3.0,3.0,3.1,3.25,3.5,3.0,3.1,3.3,3.0,3.2,3.2,3.75,3.25,3.25,3.1,3.2,3.1,3.0,3.1,3.47,2.94,
benfica,c,13.0,13.0,15.0,13.0,15.0,13.0,15.0,15.0,15.0,15.0,17.0,15.0,11.0,12.0,15.0,13.0,13.0,13.0,12.0,15.0,13.0,15.0,11.9,9.34,
dortmund,d,1.4,1.4,1.36,1.4,1.36,1.4,1.33,1.33,1.36,1.32,1.29,1.4,1.36,1.4,1.29,1.4,1.4,1.4,1.4,1.32,1.35,1.32,1.36,,
