name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.4,1.44,1.44,,1.44,1.44,1.36,1.4,,1.45,1.36,1.4,1.4,1.4,,,,1.4,1.45,1.45,1.45,,,,,
psg,a,2.88,2.75,3.0,,3.0,2.7,3.0,3.0,,2.85,3.0,3.0,2.75,2.88,,,,2.88,2.85,2.9,2.85,,,,,
shakhtar donetsk,a,34.0,34.0,13.0,,13.0,21.0,34.0,41.0,,31.0,41.0,21.0,34.0,34.0,,,,34.0,31.0,34.0,31.0,,,,,
malmo ff,a,151.0,81.0,101.0,,101.0,151.0,151.0,301.0,,151.0,401.0,201.0,251.0,151.0,,,,151.0,151.0,201.0,151.0,,,,,
man utd,b,3.0,2.62,1.83,,1.83,2.75,2.5,3.0,,,2.88,2.75,2.75,2.62,,,,2.62,,2.5,,,,,,
wolfsburg,b,2.1,2.5,3.4,,3.4,2.38,2.5,2.1,,,2.1,2.2,2.5,2.5,,,,2.5,,2.5,,,,,,
cska moscow,b,7.0,6.0,6.0,,6.0,5.5,7.0,8.0,,,8.0,8.0,6.0,7.0,,,,7.0,,8.5,,,,,,
psv,b,7.0,6.5,10.0,,10.0,6.5,6.0,5.5,,,6.0,6.0,6.0,6.0,,,,6.0,,6.5,,,,,,
atletico madrid,c,1.29,1.25,,,1.44,1.33,1.25,1.22,,,1.2,1.29,1.25,1.44,,,,1.44,,1.3,,,,,,
benfica,c,3.75,4.0,,,3.5,3.75,3.75,4.0,,,4.0,3.75,3.75,3.75,,,,3.75,,3.75,,,,,,
galatasaray,c,21.0,17.0,,,8.0,13.0,21.0,34.0,,,34.0,21.0,21.0,7.5,,,,7.5,,34.0,,,,,,
fc astana,c,251.0,51.0,,,126.0,51.0,101.0,201.0,,,201.0,126.0,101.0,51.0,,,,51.0,,151.0,,,,,,
juventus,d,1.73,1.73,2.75,,2.75,1.8,1.8,1.62,,,1.62,1.73,1.62,1.73,,,,1.73,,1.8,,,,,,
man city,d,4.0,4.5,2.1,,2.1,4.0,4.0,4.33,,,4.0,3.5,5.0,4.0,,,,4.0,,4.0,,,,,,
sevilla,d,5.0,4.0,5.5,,5.5,3.6,3.75,4.5,,,5.0,5.0,4.0,4.5,,,,4.5,,4.5,,,,,,
monchengladbach,d,15.0,23.0,13.0,,13.0,26.0,26.0,26.0,,,21.0,23.0,26.0,23.0,,,,23.0,,23.0,,,,,,
barcelona,e,,1.2,,1.2,1.02,1.2,1.11,1.2,1.17,1.18,1.12,,1.12,1.2,,1.2,,1.2,1.18,1.2,1.18,,,,,
roma,e,,7.0,,7.5,1.91,8.5,9.0,8.0,9.0,9.0,9.5,,8.0,7.0,,7.5,,7.0,9.0,8.5,9.0,,,,,
bayer leverkusen,e,,7.5,,8.0,1.8,7.5,10.0,8.0,9.0,8.0,10.0,,9.0,7.5,,8.0,,7.5,8.0,8.5,8.0,,,,,
bate borisov,e,,151.0,,81.0,15.0,67.0,151.0,91.0,101.0,251.0,301.0,,151.0,67.0,,126.0,,67.0,251.0,201.0,251.0,,,,,
bayern munich,f,,1.36,1.33,1.4,1.33,1.4,1.25,1.4,1.36,1.35,1.33,,1.33,1.36,,1.33,,1.36,1.35,1.35,1.35,,,,,1.4
arsenal,f,,3.5,3.25,3.4,3.25,3.4,3.75,3.25,3.5,3.5,3.4,,3.3,3.5,,3.75,,3.5,3.5,3.75,3.5,,,,,3.87
olympiakos,f,,17.0,26.0,15.0,26.0,15.0,21.0,15.0,21.0,21.0,29.0,,26.0,17.0,,17.0,,17.0,21.0,21.0,21.0,,,,,25.0
din zagreb,f,,34.0,67.0,41.0,67.0,41.0,101.0,67.0,67.0,76.0,151.0,,41.0,51.0,,41.0,,51.0,76.0,51.0,76.0,,,,,60.0
chelsea,g,,1.29,1.29,1.29,1.29,1.33,1.29,1.33,1.33,,1.33,,1.3,1.27,,1.33,,1.27,1.3,1.3,1.3,,,,,
porto,g,,4.0,4.0,4.0,4.0,4.0,4.0,3.75,4.0,,4.0,,4.0,4.0,,4.33,,4.0,4.0,4.33,4.0,,,,,
dynamo kiev,g,,17.0,13.0,17.0,13.0,12.0,13.0,13.0,13.0,,12.0,,13.0,15.0,,11.0,,15.0,12.0,17.0,12.0,,,,,
maccabi tel aviv,g,,41.0,67.0,51.0,67.0,67.0,67.0,81.0,51.0,,101.0,,41.0,67.0,,41.0,,67.0,151.0,67.0,151.0,,,,,
valencia,h,,2.0,2.0,2.0,2.0,1.95,2.1,2.1,1.91,1.9,2.05,,2.1,1.9,,2.0,,1.9,1.9,2.0,1.9,,,,,2.09
zenit,h,,3.25,3.0,3.5,3.0,3.4,3.0,3.0,3.5,3.6,3.25,,3.25,3.5,,3.5,,3.5,3.6,3.5,3.6,,,,,3.55
lyon,h,,4.0,4.0,3.75,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,3.5,3.75,,3.75,,3.75,4.0,4.0,4.0,,,,,4.27
gent,h,,21.0,29.0,21.0,29.0,21.0,17.0,21.0,21.0,34.0,21.0,,17.0,23.0,,21.0,,23.0,34.0,29.0,34.0,,,,,33.0
