name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
juventus,a,1.91,1.8,1.8,1.8,1.8,1.8,1.8,1.83,1.73,1.9,1.8,2.0,1.91,1.9,1.8,1.9,,1.9,1.9,1.9,1.9,1.9,1.89,1.81,
atletico madrid,a,2.4,2.5,2.5,2.5,2.5,2.4,2.62,2.62,2.62,2.6,2.62,2.25,2.25,2.3,2.75,2.5,,2.4,2.3,2.6,2.3,2.6,2.44,2.36,
olympiakos,a,7.0,7.0,6.5,7.0,6.5,6.5,6.0,6.5,7.0,6.0,6.5,6.5,7.0,7.0,5.5,7.0,,7.0,7.0,6.0,7.0,6.0,6.89,5.85,
malmo ff,a,81.0,101.0,101.0,101.0,101.0,101.0,151.0,151.0,101.0,50.0,126.0,101.0,101.0,101.0,151.0,101.0,,100.0,101.0,50.0,101.0,50.0,81.0,,
real madrid,b,1.2,1.2,1.2,1.2,1.2,1.18,1.2,1.22,1.2,1.2,1.17,1.17,1.2,1.2,1.18,1.2,,1.18,1.2,1.2,1.17,1.2,1.16,1.2,
liverpool,b,4.5,4.33,4.5,4.33,4.5,4.33,4.5,4.2,4.5,4.5,4.75,4.5,4.0,4.33,4.5,4.5,,4.5,4.33,4.5,4.5,4.5,4.8,4.4,
basel,b,34.0,41.0,26.0,34.0,26.0,41.0,67.0,81.0,41.0,25.0,67.0,51.0,34.0,26.0,41.0,34.0,,50.0,26.0,25.0,67.0,25.0,10.0,,
ludogorets razgrad,b,76.0,101.0,101.0,101.0,101.0,101.0,151.0,226.0,201.0,50.0,201.0,201.0,151.0,101.0,151.0,151.0,,100.0,101.0,50.0,101.0,50.0,86.0,76.0,
zenit,c,2.5,2.62,,2.75,2.5,2.6,2.38,2.4,2.5,2.65,2.1,2.5,2.5,2.75,2.2,2.5,,2.65,2.75,2.65,2.55,2.65,2.52,2.34,
monaco,c,3.5,3.25,,3.25,3.25,3.25,3.25,3.5,3.25,3.25,3.6,3.5,3.5,3.0,3.75,3.3,,3.25,3.0,3.25,3.25,3.25,3.66,3.42,
bayer leverkusen,c,3.6,3.5,,3.75,3.5,3.5,3.75,4.0,3.5,3.75,4.0,3.5,3.5,3.75,4.0,3.8,,3.5,3.75,3.75,3.5,3.75,3.66,3.52,
benfica,c,7.5,6.5,,6.0,8.0,6.5,9.0,8.0,8.0,6.0,9.5,9.0,7.0,6.5,8.0,7.5,,7.5,6.5,6.0,8.0,6.0,8.22,7.79,
dortmund,d,1.53,1.53,1.44,1.53,1.44,1.45,1.44,1.4,1.44,1.55,1.44,1.5,1.53,1.53,1.4,1.5,,1.5,1.53,1.55,1.45,1.55,1.42,,
arsenal,d,3.3,3.0,3.25,3.2,3.25,3.3,3.25,3.75,3.25,3.5,3.4,3.25,3.0,3.0,3.75,3.25,,3.25,3.0,3.5,3.35,3.5,3.85,,
