name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.4,1.44,1.4,1.44,1.4,1.44,1.36,1.4,1.4,1.45,1.36,1.4,1.4,1.4,,,1.4,1.4,1.45,1.45,1.45,,,,1.12,
psg,a,2.88,2.75,2.88,2.88,2.88,2.7,3.0,3.0,2.88,2.85,2.9,3.0,2.75,2.88,,,2.8,2.88,2.85,2.9,2.85,,,,1.65,
shakhtar donetsk,a,34.0,34.0,34.0,34.0,34.0,21.0,34.0,41.0,34.0,31.0,51.0,21.0,34.0,34.0,,,33.0,34.0,31.0,34.0,31.0,,,,13.1,
malmo ff,a,151.0,67.0,251.0,151.0,251.0,151.0,151.0,301.0,151.0,151.0,501.0,201.0,251.0,151.0,,,200.0,151.0,151.0,201.0,151.0,,,,26.0,
wolfsburg,b,2.1,2.62,2.38,2.25,2.38,2.38,2.5,2.1,2.38,,2.05,2.2,2.5,2.38,,,2.3,2.38,,2.5,,,,,2.38,
man utd,b,3.0,2.75,2.75,2.62,2.75,2.75,2.5,2.88,2.75,,3.1,2.75,2.75,2.62,,,2.75,2.62,,2.5,,,,,2.77,
psv,b,7.0,4.0,6.0,6.5,6.0,6.5,6.0,5.5,6.0,,6.0,6.0,6.0,6.0,,,6.75,6.0,,6.5,,,,,6.04,
cska moscow,b,7.0,10.0,7.0,8.0,7.0,5.5,7.0,9.0,7.5,,8.0,8.0,6.0,8.0,,,6.75,8.0,,8.5,,,,,7.21,
atletico madrid,c,1.29,1.29,,1.29,1.29,1.33,1.25,1.22,1.25,,1.22,1.29,1.25,1.29,,,1.25,1.29,,1.32,,,,,1.09,
benfica,c,3.75,4.0,,3.75,3.75,3.75,3.75,4.0,4.0,,4.0,3.75,3.75,3.75,,,3.85,3.75,,3.8,,,,,2.34,
galatasaray,c,21.0,19.0,,21.0,21.0,13.0,21.0,34.0,17.0,,41.0,21.0,21.0,21.0,,,23.0,21.0,,21.0,,,,,7.6,
fc astana,c,251.0,41.0,,151.0,201.0,51.0,101.0,201.0,151.0,,201.0,126.0,101.0,151.0,,,190.0,151.0,,151.0,,,,,19.4,
juventus,d,1.73,1.73,1.73,1.73,1.73,1.8,1.8,1.62,1.73,,1.67,1.73,1.62,1.73,,,1.7,1.73,,1.8,,,,,,
man city,d,4.0,4.33,4.0,3.75,4.0,4.0,4.0,4.33,4.0,,3.75,3.5,4.5,4.0,,,3.95,4.0,,4.0,,,,,,
sevilla,d,5.0,4.0,4.5,4.5,4.5,3.6,3.75,4.5,4.5,,5.0,5.0,5.0,4.5,,,4.5,4.5,,4.5,,,,,,
monchengladbach,d,15.0,26.0,21.0,23.0,21.0,26.0,26.0,26.0,21.0,,26.0,23.0,26.0,23.0,,,23.0,23.0,,23.0,,,,,,
barcelona,e,1.29,1.29,,,,1.22,1.2,1.2,,,1.18,1.25,1.22,1.25,,,1.18,1.25,,,,,,,,
bayer leverkusen,e,7.0,5.5,,,,6.5,6.0,7.5,,,8.0,7.0,7.0,6.5,,,8.0,6.5,,,,,,,,
roma,e,6.0,8.0,,,,7.5,9.0,7.5,,,8.0,7.0,5.5,7.5,,,8.0,7.5,,,,,,,,
bate borisov,e,501.0,101.0,,,,251.0,201.0,376.0,,,401.0,251.0,251.0,251.0,,,195.0,251.0,,,,,,,,
bayern munich,f,1.1,1.14,1.33,,1.33,1.1,1.1,1.1,,,1.11,1.1,1.12,1.12,,,1.35,1.12,,,,,,,,
arsenal,f,7.0,7.0,3.25,,3.25,8.0,7.0,7.5,,,7.0,8.0,5.5,7.0,,,3.5,7.0,,,,,,,1.5,
din zagreb,f,51.0,23.0,67.0,,67.0,26.0,26.0,36.0,,,34.0,26.0,34.0,34.0,,,66.0,34.0,,,,,,,,
olympiakos,f,51.0,34.0,26.0,,26.0,34.0,34.0,41.0,,,101.0,41.0,51.0,51.0,,,21.0,51.0,,,,,,,,
chelsea,g,1.2,1.22,,,,1.15,1.2,1.22,,,1.29,1.25,1.17,1.2,,,1.3,1.2,,,,,,,,
porto,g,5.0,4.5,,,,6.0,4.5,5.0,,,4.0,5.0,5.0,5.0,,,4.0,5.0,,,,,,,,
dynamo kiev,g,19.0,23.0,,,,15.0,21.0,15.0,,,13.0,10.0,17.0,17.0,,,14.0,17.0,,,,,,,,
maccabi tel aviv,g,101.0,67.0,,,,251.0,101.0,81.0,,,151.0,251.0,81.0,151.0,,,96.0,151.0,,,,,,,,
zenit,h,2.0,1.67,3.0,,3.0,1.73,1.67,1.83,,,1.6,2.0,1.8,1.73,,,3.4,1.73,,,,,,,,
valencia,h,3.25,4.0,2.0,,2.0,3.6,3.75,3.6,,,5.0,3.5,3.5,3.75,,,1.95,3.75,,,,,,,,
lyon,h,4.33,5.0,4.0,,4.0,4.5,4.5,4.5,,,4.33,3.75,4.0,4.5,,,3.9,4.5,,,,,,,,
gent,h,17.0,23.0,29.0,,29.0,26.0,26.0,21.0,,,21.0,21.0,21.0,26.0,,,31.0,26.0,,,,,,,,
