name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.57,1.67,1.57,1.62,,1.44,1.5,1.53,1.57,1.55,1.53,1.67,1.62,1.5,1.53,1.55,1.55,1.54,1.57,1.5,,1.68,1.55,
Shakhtar Donetsk,a,4.0,3.5,3.75,3.75,,4.0,3.75,3.75,4.0,4.0,3.6,3.6,3.5,3.75,3.5,3.6,4.0,4.0,3.75,4.0,,3.57,3.33,
Bayer Leverkusen,a,7.5,7.5,7.0,7.0,,9.0,8.0,7.5,8.0,7.5,8.0,7.0,8.0,8.0,8.0,8.0,7.5,8.0,8.0,8.5,,7.27,6.32,
Real Sociedad,a,13.0,12.0,15.0,11.0,,15.0,17.0,15.0,15.0,9.0,17.0,11.0,11.0,15.0,17.0,13.0,9.0,17.0,15.0,15.0,,17.1,11.4,
Real Madrid,b,1.25,1.29,1.25,1.29,,1.22,1.2,1.25,1.25,1.28,1.22,,1.22,1.2,1.2,1.2,1.28,1.21,1.22,1.25,,1.25,1.17,
Juventus,b,4.0,3.75,3.75,3.75,,4.2,4.33,4.0,4.0,3.3,4.0,,4.0,4.0,4.33,4.0,3.3,4.3,4.0,4.0,,4.51,3.71,
Galatasaray,b,29.0,21.0,29.0,17.0,,23.0,34.0,26.0,29.0,25.0,34.0,,26.0,34.0,26.0,29.0,25.0,34.0,26.0,34.0,,29.0,24.0,
FC Copenhagen,b,67.0,67.0,67.0,67.0,,51.0,67.0,56.0,67.0,75.0,81.0,,51.0,67.0,67.0,151.0,75.0,81.0,81.0,67.0,,76.0,63.0,
PSG,c,1.44,1.4,1.4,1.4,,1.4,1.29,1.4,1.4,1.32,1.3,1.44,1.4,1.33,1.36,1.31,1.32,1.31,1.4,1.3,,1.37,1.28,
Benfica,c,2.88,3.0,2.88,3.0,,3.0,3.5,3.0,3.0,3.0,3.2,3.1,2.88,3.1,3.0,3.2,3.0,3.3,3.0,3.25,,3.18,2.23,
Olympiakos,c,41.0,29.0,41.0,29.0,,26.0,51.0,34.0,51.0,25.0,67.0,23.0,34.0,41.0,51.0,34.0,25.0,51.0,41.0,51.0,,7.65,0.05,
Anderlecht,c,41.0,29.0,41.0,26.0,,34.0,67.0,41.0,67.0,25.0,67.0,26.0,29.0,51.0,51.0,51.0,25.0,67.0,41.0,51.0,,52.0,25.0,
Bayern Munich,d,1.5,1.5,1.44,1.44,,1.5,1.44,1.5,1.44,1.45,1.4,1.5,1.5,1.44,1.36,1.4,1.45,1.46,1.44,1.5,,1.45,1.39,
Man City,d,2.63,2.62,2.62,2.7,,2.45,2.62,2.7,2.62,2.65,2.7,2.62,2.5,2.62,2.7,2.7,2.65,2.65,2.63,2.5,,3.18,2.67,
CSKA Moscow,d,26.0,21.0,26.0,26.0,,26.0,26.0,23.0,26.0,25.0,29.0,21.0,21.0,26.0,34.0,29.0,25.0,29.0,26.0,26.0,,30.0,21.0,
Plzen,d,126.0,101.0,151.0,81.0,,126.0,201.0,126.0,151.0,50.0,251.0,101.0,81.0,151.0,201.0,201.0,50.0,201.0,151.0,101.0,,143.0,124.0,
Chelsea,e,,1.62,,1.62,,,1.62,1.62,,,1.67,,1.57,1.62,,1.5,,,,,,1.78,0.05,
Schalke 04,e,,2.5,,2.3,,,2.25,2.4,,,2.4,,2.5,2.37,,2.75,,,,,,2.04,0.05,
Basel,e,,19.0,,17.0,,,21.0,19.0,,,9.0,,21.0,17.0,,13.0,,,,,,7.84,0.05,
Steaua Bucharest,e,,201.0,,151.0,,,151.0,201.0,,,251.0,,251.0,151.0,,251.0,,,,,,48.0,0.05,
Arsenal,f,,1.73,,1.73,,,1.73,1.67,,,1.67,,1.67,1.7,,1.85,,,,,,1.52,1.55,
Bor Dortmund,f,,2.62,,2.75,,,2.62,2.88,,,2.88,,2.75,2.65,,2.65,,,,,,2.23,2.03,
Napoli,f,,7.0,,6.5,,,7.0,7.0,,,6.0,,7.0,7.0,,6.0,,,,,,6.89,0.05,
Marseille,f,,101.0,,81.0,,,101.0,101.0,,,101.0,,101.0,101.0,,126.0,,,,,,19.0,14.8,
Atletico Madrid,g,,1.17,,1.17,,,1.14,1.17,,,,,1.22,1.16,,1.2,,,,,,1.13,1.06,
Porto,g,,5.5,,5.5,,,6.0,5.5,,,,,5.0,5.5,,5.5,,,,,,2.99,0.05,
Zenit St Petersburg,g,,13.0,,15.0,,,15.0,14.0,,,,,11.0,14.0,,13.0,,,,,,9.55,0.05,
Austria Vienna,g,,201.0,,201.0,,,251.0,201.0,,,,,101.0,201.0,,201.0,,,,,,19.0,14.8,
Barcelona,h,,1.03,,,,,1.03,1.04,,,1.02,,1.03,1.02,,1.05,,,,,,,0.05,
AC Milan,h,,9.0,,,,,9.0,9.0,,,9.0,,9.0,9.0,,7.5,,,,,,7.27,0.05,
Ajax,h,,67.0,,,,,67.0,101.0,,,101.0,,101.0,81.0,,101.0,,,,,,14.3,0.05,
Celtic,h,,251.0,,,,,251.0,251.0,,,126.0,,251.0,251.0,,251.0,,,,,,14.3,10.0,
