name,group,max,min,mean,median,twentyfive,seventyfive
Man Utd,a,1.28,1.17,1.2166666666666666,1.22,1.1899999999999999,1.25
Shakhtar Donetsk,a,4.5,3.5,4.0220000000000002,4.0,3.75,4.2650000000000006
Bayern Munich,d,1.02,1.01,1.010909090909091,1.01,1.01,1.01
Man City,d,21.0,13.0,17.5,17.0,17.0,19.25
Plzen,d,500.0,500.0,500.0,500.0,500.0,500.0
Chelsea,e,1.1,1.05,1.0566666666666669,1.05,1.05,1.0600000000000001
Basel,e,15.0,9.0,12.56,12.0,11.5,14.199999999999999
Schalke 04,e,23.0,14.3,17.086666666666666,17.0,16.0,17.0
Arsenal,f,1.4,1.3,1.3318750000000001,1.3300000000000001,1.3,1.3375000000000001
Bor Dortmund,f,3.66,3.2,3.413125,3.5,3.2874999999999996,3.5
Napoli,f,26.0,13.0,18.875,19.5,17.0,21.0
Barcelona,h,1.02,1.01,1.012,1.01,1.01,1.01
AC Milan,h,34.0,15.0,24.0,25.0,20.25,26.0
Ajax,h,201.0,114.0,157.5,157.5,135.75,179.25
