name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.44,1.5,,1.5,1.44,1.5,1.36,1.5,1.5,1.6,1.44,1.5,1.5,1.45,1.5,1.44,1.5,1.45,1.6,1.5,1.6,,1.36,,
psg,a,3.0,2.75,,2.88,3.0,2.8,3.25,3.0,2.75,2.75,3.0,2.88,2.75,2.75,2.75,3.2,2.8,2.75,2.75,2.95,2.75,,2.9,,
shakhtar donetsk,a,17.0,19.0,,13.0,13.0,15.0,13.0,13.0,15.0,12.0,19.0,13.0,11.0,17.0,13.0,13.0,14.5,17.0,12.0,17.0,12.0,,5.75,,
malmo ff,a,101.0,34.0,,81.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,201.0,81.0,81.0,101.0,110.0,81.0,101.0,151.0,101.0,,20.0,,
man utd,b,1.91,1.91,,1.73,1.73,1.83,1.62,1.83,1.73,1.8,1.85,1.73,1.62,1.85,1.8,1.73,1.8,1.85,1.8,1.85,1.8,,1.76,,
wolfsburg,b,3.0,3.25,,3.25,3.25,2.95,3.25,3.2,3.25,3.0,3.25,3.25,3.5,3.0,3.25,3.4,3.05,3.0,3.0,3.25,3.0,,1.95,,
cska moscow,b,6.5,7.0,,8.0,7.0,8.0,10.0,6.0,9.0,7.5,7.0,8.5,6.5,6.5,7.0,7.0,7.25,6.5,7.5,7.0,7.5,,3.85,,
psv,b,12.0,8.0,,11.0,12.0,11.0,10.0,12.0,11.0,15.0,11.0,10.0,12.0,12.0,11.0,12.0,12.5,12.0,15.0,12.0,15.0,,2.79,,
atletico madrid,c,1.44,1.44,,1.44,1.44,1.4,1.4,1.5,1.4,1.44,1.4,1.5,1.36,1.44,1.4,1.4,1.4,1.44,1.44,1.45,1.44,,1.25,,
benfica,c,3.75,4.0,,3.75,3.5,4.2,4.0,3.75,4.33,4.0,4.2,3.75,4.0,3.75,3.75,3.75,3.8,3.75,4.0,3.8,4.0,,2.9,,
galatasaray,c,8.0,7.0,,8.0,8.0,8.5,7.0,7.0,7.0,7.5,8.5,6.5,10.0,7.5,8.0,9.0,8.0,7.5,7.5,9.0,7.5,,4.8,,
fc astana,c,101.0,34.0,,51.0,126.0,34.0,67.0,81.0,81.0,151.0,67.0,67.0,101.0,51.0,101.0,126.0,125.0,51.0,151.0,101.0,151.0,,2.42,,
man city,d,2.1,2.0,,2.1,2.1,2.0,2.1,2.1,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.0,2.05,2.1,2.0,2.05,2.0,,2.04,,
juventus,d,2.75,3.0,,2.88,2.75,3.1,2.62,2.62,2.62,2.85,2.88,2.88,2.75,2.75,2.8,3.0,2.7,2.75,2.85,2.8,2.85,,2.18,,
sevilla,d,5.5,5.5,,5.0,5.5,4.75,6.0,5.0,6.0,6.0,6.5,5.5,6.0,5.0,5.0,5.0,5.75,5.0,6.0,6.0,6.0,,3.85,,
monchengladbach,d,15.0,12.0,,13.0,13.0,15.0,11.0,19.0,17.0,16.0,12.0,13.0,13.0,15.0,15.0,15.0,15.5,15.0,16.0,17.0,16.0,,6.32,,
barcelona,e,1.22,1.22,,1.2,1.25,1.2,1.11,1.2,1.14,1.18,1.2,1.2,1.12,1.2,1.18,1.2,1.18,1.2,1.18,1.2,1.18,,1.05,,
roma,e,7.0,7.0,,7.5,6.0,8.5,9.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0,8.0,7.5,8.0,7.0,9.0,8.5,9.0,,4.8,,
bayer leverkusen,e,8.0,7.0,,8.0,7.0,7.5,10.0,8.0,9.0,8.0,9.0,7.5,9.0,7.5,8.0,8.0,8.0,7.5,8.0,8.5,8.0,,8.6,,
bate borisov,e,151.0,151.0,,81.0,101.0,67.0,151.0,91.0,101.0,251.0,101.0,67.0,101.0,67.0,81.0,126.0,165.0,67.0,251.0,201.0,251.0,,14.3,,
bayern munich,f,1.33,1.36,,1.4,1.33,1.4,1.25,1.4,1.36,1.35,1.33,1.33,1.33,1.36,1.36,1.33,1.35,1.36,,1.35,1.35,,1.29,,
arsenal,f,3.75,3.5,,3.4,3.25,3.4,3.75,3.25,3.5,3.5,3.75,3.75,3.25,3.5,3.5,3.75,3.55,3.5,,3.75,3.5,,2.9,,
olympiakos,f,17.0,17.0,,15.0,26.0,15.0,21.0,15.0,21.0,21.0,21.0,13.0,21.0,17.0,17.0,17.0,19.5,17.0,,21.0,21.0,,6.7,,
din zagreb,f,67.0,34.0,,41.0,67.0,41.0,101.0,67.0,67.0,76.0,51.0,67.0,34.0,51.0,51.0,41.0,66.0,51.0,,51.0,76.0,,5.56,,
chelsea,g,1.25,1.29,,1.25,1.29,1.33,1.29,1.33,1.29,1.35,1.29,1.22,1.29,1.27,1.3,1.33,1.3,1.27,1.35,1.28,1.35,,1.24,,
