name,group,max,min,mean,median,twentyfive,seventyfive
psg,a,3.5,2.75,2.9162499999999998,2.8799999999999999,2.75,3.0
real madrid,a,6.5,1.1,1.7806250000000001,1.5,1.4399999999999999,1.53
atletico madrid,a,15.0,15.0,15.0,15.0,15.0,15.0
juventus,a,21.0,21.0,21.0,21.0,21.0,21.0
shakhtar donetsk,a,101.0,5.75,18.221875000000001,13.0,12.0,14.100000000000001
malmo ff,a,101.0,20.0,86.75,101.0,81.0,101.0
olympiakos,a,301.0,301.0,301.0,301.0,301.0,301.0
man utd,b,1.91,1.28,1.7606666666666666,1.8,1.73,1.8500000000000001
wolfsburg,b,3.25,1.95,3.052,3.1299999999999999,3.0,3.25
cska moscow,b,10.0,3.85,7.4233333333333329,7.5,6.5,8.25
psv,b,15.0,2.42,10.681333333333333,11.0,9.5,12.15
atletico madrid,c,1.5,1.24,1.4212499999999999,1.4399999999999999,1.3999999999999999,1.4425000000000001
benfica,c,5.5,2.9,3.9093749999999998,3.7749999999999999,3.75,4.0
galatasaray,c,8.5,4.8,7.2843749999999998,7.5,7.0,8.0
fc astana,c,151.0,2.1,76.818749999999994,67.0,51.0,104.5
man city,d,2.2,1.75,2.0385714285714287,2.0449999999999999,2.0,2.1000000000000001
juventus,d,3.1,2.04,2.7664285714285719,2.7749999999999999,2.6200000000000001,3.0
sevilla,d,7.5,2.42,5.2978571428571426,5.5,5.0,5.875
monchengladbach,d,19.0,4.8,14.092857142857143,15.0,13.0,16.75
barcelona,e,1.25,1.04,1.1833333333333333,1.2,1.1799999999999999,1.2
roma,e,9.0,4.8,7.6533333333333333,8.0,7.125,8.5
bayer leverkusen,e,10.0,6.5,8.0399999999999991,8.0,7.625,8.3000000000000007
bate borisov,e,251.0,14.3,116.22,101.0,81.0,151.0
bayern munich,f,1.4,1.25,1.3426666666666667,1.3500000000000001,1.3300000000000001,1.355
arsenal,f,3.75,2.9,3.4733333333333336,3.5,3.3250000000000002,3.6499999999999999
olympiakos,f,26.0,6.7,17.346666666666668,17.0,15.0,21.0
din zagreb,f,101.0,10.5,59.56666666666667,67.0,51.0,69.5
chelsea,g,1.4,1.1,1.2931250000000001,1.2949999999999999,1.28,1.335
porto,g,5.5,2.9,4.15625,4.0,3.75,4.625
dynamo kiev,g,17.0,5.75,12.796875,12.5,11.75,15.5
maccabi tel aviv,g,151.0,10.5,74.84375,67.0,48.5,85.25
valencia,h,2.1,1.48,1.9693750000000001,2.0,1.9099999999999999,2.1000000000000001
zenit,h,3.75,1.95,3.265625,3.3500000000000001,3.0,3.5
lyon,h,4.33,2.9,3.8518750000000002,4.0,3.75,4.0
gent,h,51.0,10.5,24.40625,21.0,16.5,30.25
