name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,,1.67,,1.62,,,1.5,1.53,,,1.5,1.67,1.62,1.5,,1.55,,,,,,1.49,1.36,
Shakhtar Donetsk,a,,3.5,,3.75,,,3.75,3.75,,,3.75,3.6,3.5,3.75,,3.6,,,,,,3.66,2.88,
Bayer Leverkusen,a,,7.5,,7.0,,,8.0,7.5,,,8.0,7.0,8.0,8.0,,8.0,,,,,,5.75,0.05,
Real Sociedad,a,,12.0,,11.0,,,17.0,15.0,,,15.0,11.0,11.0,15.0,,13.0,,,,,,7.65,0.05,
Real Madrid,b,,1.29,,1.29,,,1.2,1.25,,,1.22,1.3,1.22,1.2,,1.2,,,,,,1.14,0.05,
Juventus,b,,3.75,,3.75,,,4.33,4.0,,,4.0,3.6,4.0,4.0,,4.0,,,,,,3.04,2.87,
Galatasaray,b,,21.0,,17.0,,,34.0,26.0,,,34.0,21.0,26.0,34.0,,29.0,,,,,,11.4,0.05,
FC Copenhagen,b,,67.0,,67.0,,,67.0,56.0,,,67.0,,51.0,67.0,,151.0,,,,,,14.3,0.05,
PSG,c,,1.4,,1.4,,,1.25,1.4,,,1.29,1.44,1.4,1.33,,1.31,,,,,,1.28,0.05,
Benfica,c,,3.0,,3.0,,,3.75,3.0,,,3.25,3.1,2.88,3.1,,3.2,,,,,,2.71,2.44,
Olympiakos,c,,29.0,,29.0,,,51.0,34.0,,,51.0,23.0,34.0,41.0,,34.0,,,,,,7.65,0.05,
Anderlecht,c,,29.0,,26.0,,,67.0,41.0,,,67.0,26.0,29.0,51.0,,51.0,,,,,,9.55,0.05,
Bayern Munich,d,,1.53,,1.44,,,1.44,1.5,,,1.4,1.5,1.5,1.44,,1.4,,,,,,1.41,1.28,
Man City,d,,2.62,,2.7,,,2.62,2.7,,,2.7,2.62,2.5,2.62,,2.7,,,,,,2.04,0.05,
CSKA Moscow,d,,21.0,,26.0,,,26.0,23.0,,,29.0,21.0,21.0,26.0,,29.0,,,,,,7.65,0.05,
Plzen,d,,101.0,,81.0,,,201.0,126.0,,,151.0,101.0,81.0,151.0,,201.0,,,,,,19.0,0.05,
Chelsea,e,1.29,1.29,1.29,1.33,1.29,,1.2,1.33,1.25,1.25,1.22,1.22,1.25,1.25,1.25,1.18,1.25,1.25,,1.2,,1.33,1.38,
Schalke 04,e,5.0,5.0,4.5,4.5,4.5,,5.0,4.5,5.0,5.0,5.0,6.0,6.5,5.0,5.0,6.0,5.0,5.15,,6.0,,5.46,5.09,
Basel,e,13.0,13.0,13.0,10.0,13.0,,15.0,12.0,12.0,12.0,12.0,13.0,13.0,15.0,15.0,13.0,12.0,15.0,,15.0,,12.9,11.0,
Steaua Bucharest,e,29.0,34.0,26.0,17.0,26.0,,34.0,34.0,34.0,30.0,34.0,34.0,51.0,34.0,26.0,51.0,30.0,51.0,,34.0,,38.0,33.0,
Bor Dortmund,f,2.25,2.2,2.25,,2.25,,2.38,2.38,2.25,2.1,2.1,2.0,2.38,2.3,2.1,2.15,2.1,2.2,,2.3,,2.42,2.35,
Arsenal,f,3.25,3.25,3.25,,3.25,,3.0,3.25,3.25,2.5,3.4,3.25,3.25,3.25,3.4,3.25,2.5,3.2,,3.25,,3.33,3.14,
Napoli,f,3.75,3.75,3.75,,3.75,,3.5,4.0,3.75,4.0,3.75,4.33,3.75,3.5,3.75,3.75,4.0,4.0,,3.75,,3.85,3.61,
Marseille,f,13.0,15.0,10.0,,10.0,,13.0,11.0,11.0,8.0,12.0,17.0,17.0,13.0,17.0,15.0,8.0,15.2,,11.0,,13.4,10.0,
Atletico Madrid,g,2.0,2.05,2.1,2.1,2.1,,2.1,2.1,2.05,1.9,2.1,2.1,2.1,2.1,2.0,2.05,1.9,2.1,,2.2,,2.1,1.26,
Porto,g,2.88,2.88,2.62,2.88,2.63,,3.0,3.0,2.88,2.85,2.75,2.75,2.75,2.8,2.75,2.8,2.85,2.9,,2.75,,2.77,1.37,
Zenit St Petersburg,g,4.5,4.33,4.5,4.0,4.5,,3.75,4.33,4.5,3.5,4.0,4.5,4.5,4.2,4.5,4.0,3.5,4.1,,4.0,,4.14,1.63,
Austria Vienna,g,41.0,29.0,26.0,26.0,26.0,,26.0,26.0,23.0,30.0,34.0,34.0,41.0,29.0,26.0,51.0,30.0,51.0,,34.0,,19.0,11.9,
Barcelona,h,1.2,1.22,1.29,1.29,1.29,,1.2,1.29,1.25,1.2,1.2,1.22,1.25,1.25,1.2,1.22,1.2,1.22,,1.2,,1.23,1.16,
AC Milan,h,5.5,5.0,4.0,5.0,4.0,,5.0,4.5,5.0,5.25,5.0,5.0,4.33,5.0,5.0,5.25,5.25,5.1,,5.5,,5.27,0.05,
Ajax,h,17.0,17.0,15.0,10.0,15.0,,26.0,19.0,13.0,20.0,17.0,21.0,17.0,15.0,21.0,12.0,20.0,21.0,,17.0,,17.1,15.3,
Celtic,h,51.0,51.0,41.0,26.0,41.0,,41.0,34.0,34.0,45.0,41.0,41.0,51.0,41.0,67.0,67.0,45.0,67.0,,34.0,,67.0,61.0,
