name,group,max,min,mean,median,twentyfive,seventyfive
Man Utd,a,1.45,1.25,1.3563157894736839,1.3300000000000001,1.3300000000000001,1.3999999999999999
Bayer Leverkusen,a,5.0,2.9,4.1584210526315788,4.5,4.0,4.5
Shakhtar Donetsk,a,10.0,1.0,7.7710526315789474,8.0,7.5,8.5
Real Sociedad,a,251.0,1.0,133.42105263157896,151.0,101.0,151.0
Real Madrid,b,1.02,1.0,1.0111764705882351,1.01,1.01,1.01
Galatasaray,b,21.0,1.0,15.910526315789474,17.0,15.0,17.0
Juventus,b,23.0,13.0,17.55263157894737,17.0,15.0,20.0
FC Copenhagen,b,1001.0,1.0,519.20000000000005,501.0,501.0,501.0
PSG,c,1.04,1.0,1.0162499999999999,1.0150000000000001,1.01,1.02
Benfica,c,19.0,1.0,12.935294117647059,15.0,12.0,15.0
Olympiakos,c,29.0,1.0,18.08235294117647,17.0,15.0,21.0
Anderlecht,c,7501.0,1.0,951.64999999999998,501.0,251.0,1001.0
Bayern Munich,d,1.12,1.0,1.053684210526316,1.05,1.04,1.0550000000000002
Man City,d,10.0,5.46,7.5910526315789486,7.5,6.5,8.0
CSKA Moscow,d,151.0,21.0,70.421052631578945,51.0,50.0,82.0
Plzen,d,7501.0,1.0,1008.8888888888889,501.0,500.25,1001.0
Chelsea,e,1.29,1.18,1.209473684210526,1.2,1.2,1.22
Schalke 04,e,5.0,3.42,4.3873684210526314,4.5,4.25,4.5
Basel,e,34.0,1.0,21.599999999999998,21.0,18.5,26.0
Steaua Bucharest,e,501.0,1.0,331.11111111111109,326.0,250.0,501.0
Bor Dortmund,f,1.75,1.53,1.6642105263157896,1.6699999999999999,1.6200000000000001,1.6850000000000001
Arsenal,f,4.0,3.13,3.7189473684210523,3.75,3.5499999999999998,3.8999999999999999
Napoli,f,4.5,1.0,4.0047368421052632,4.3300000000000001,4.0,4.3300000000000001
Marseille,f,501.0,1.0,381.11111111111109,500.5,251.0,501.0
Atletico Madrid,g,1.05,1.0,1.0205555555555554,1.02,1.02,1.02
Zenit St Petersburg,g,21.0,1.0,14.04736842105263,15.0,12.949999999999999,16.0
Porto,g,34.0,1.0,21.994736842105262,21.0,19.0,26.0
Austria Vienna,g,1001.0,1.0,520.49374999999998,501.0,501.0,751.0
Barcelona,h,1.05,1.0,1.0257894736842104,1.03,1.02,1.03
AC Milan,h,13.0,1.0,9.5310526315789481,10.0,10.0,10.5
Ajax,h,501.0,1.0,207.68894736842105,201.0,176.0,251.0
Celtic,h,501.0,19.4,155.96842105263158,151.0,91.0,176.0
