name,group,max,min,mean,median,twentyfive,seventyfive
atletico madrid,a,1.62,1.43,1.5262500000000001,1.53,1.5,1.5550000000000002
juventus,a,4.5,2.75,3.6316666666666664,3.6000000000000001,3.4750000000000001,3.7524999999999999
olympiakos,a,6.32,5.5,5.8275000000000006,6.0,5.5,6.0
malmo ff,a,301.0,48.0,206.125,251.0,151.0,251.0
real madrid,b,1.01,1.0,1.0027272727272727,1.0,1.0,1.0049999999999999
liverpool,b,105.0,34.0,53.89473684210526,51.0,51.0,51.0
ludogorets razgrad,b,301.0,101.0,213.11111111111111,201.0,192.75,251.0
basel,b,501.0,41.0,101.27777777777777,67.0,67.0,81.0
bayer leverkusen,c,2.35,1.83,2.1029166666666668,2.1000000000000001,2.0875000000000004,2.1550000000000002
zenit,c,3.75,3.1,3.3920833333333333,3.3999999999999999,3.25,3.4249999999999998
monaco,c,4.33,3.2,3.7075,3.75,3.5,3.8149999999999995
benfica,c,27.0,15.0,20.25,19.0,18.0,21.0
dortmund,d,1.3,1.17,1.2423809523809524,1.25,1.22,1.29
arsenal,d,5.0,3.4,3.9195238095238096,4.0,3.5499999999999998,4.0
galatasaray,d,501.0,41.0,142.76190476190476,67.0,51.0,176.0
anderlecht,d,1001.0,51.0,221.47619047619048,101.0,67.0,251.0
bayern munich,e,1.08,1.01,1.0413043478260868,1.04,1.0350000000000001,1.05
roma,e,26.0,9.0,13.086956521739131,12.0,9.0,13.0
man city,e,36.0,23.0,27.260869565217391,26.0,25.5,28.0
cska moscow,e,2001.0,89.0,406.5,251.0,251.0,501.0
barcelona,f,1.67,1.53,1.5800000000000001,1.5700000000000001,1.5600000000000001,1.6000000000000001
psg,f,2.41,2.1,2.2691304347826087,2.2999999999999998,2.2250000000000001,2.2999999999999998
ajax,f,126.0,81.0,102.26086956521739,101.0,101.0,101.0
apoel nicosia,f,1001.0,95.0,525.72727272727275,501.0,501.0,501.0
chelsea,g,1.11,1.07,1.0929166666666668,1.1000000000000001,1.0800000000000001,1.1000000000000001
schalke 04,g,7.65,5.85,6.625,6.5,6.5,7.0
sporting lisbon,g,126.0,15.0,73.375,67.0,65.0,81.0
maribor,g,476.0,101.0,182.21739130434781,151.0,151.0,195.5
porto,h,1.57,1.33,1.468181818181818,1.5,1.4399999999999999,1.5
shakhtar donetsk,h,3.25,2.3,2.709090909090909,2.6600000000000001,2.6200000000000001,2.75
athletic bilbao,h,67.0,29.0,49.954545454545453,51.0,51.0,51.0
bate borisov,h,101.0,51.0,67.318181818181813,67.0,63.25,67.0
