name,group,max,min,mean,median,twentyfive,seventyfive
Brazil,a,1.28,1.15,1.2284999999999999,1.24,1.2150000000000001,1.25
Croatia,a,10.0,6.5,8.3475000000000001,8.25,7.3774999999999995,9.0
Mexico,a,10.0,6.6,8.4224999999999994,8.75,7.96,9.0
Cameroon,a,34.0,15.0,22.994999999999997,24.0,18.975000000000001,26.0
Spain,b,1.83,1.62,1.7395,1.74,1.6949999999999998,1.8
Netherlands,b,4.0,2.92,3.2719999999999998,3.25,3.1299999999999999,3.3625000000000003
Chile,b,6.0,4.35,5.2640000000000002,5.2349999999999994,5.0,5.5
Australia,b,101.0,21.0,41.5,34.0,26.0,50.0
Colombia,c,1.73,1.45,1.6559999999999999,1.6699999999999999,1.6200000000000001,1.7075
Ivory Coast,c,5.56,4.33,4.9904999999999999,5.0,4.6875,5.2524999999999995
Japan,c,6.0,3.9,5.5039999999999996,6.0,5.0,6.0
Greece,c,11.0,7.0,8.5609999999999999,8.25,7.5,9.0899999999999999
Italy,d,2.75,2.25,2.5620000000000003,2.585,2.5,2.6225000000000001
Uruguay,d,3.1,2.55,2.7890000000000001,2.8199999999999998,2.7250000000000001,2.8650000000000002
England,d,3.5,3.0,3.173,3.1500000000000004,3.0750000000000002,3.25
Costa Rica,d,81.0,14.5,39.894999999999996,34.5,26.0,51.0
France,e,1.83,1.65,1.7315,1.73,1.6699999999999999,1.8
Switzerland,e,4.14,3.25,3.7075000000000005,3.75,3.7124999999999999,3.75
Ecuador,e,5.5,3.7,4.8355000000000006,5.0,4.5,5.125
Honduras,e,34.0,15.0,23.375,22.0,17.875,25.25
Argentina,f,1.29,1.11,1.214,1.22,1.1850000000000001,1.25
Bosnia-Herzegovina,f,9.0,5.3,7.0825000000000005,7.0,6.375,8.0
Nigeria,f,12.0,6.5,9.2170000000000005,9.0850000000000009,8.0,10.0
Iran,f,81.0,16.5,33.424999999999997,29.5,26.0,34.0
Germany,g,1.62,1.48,1.544,1.55,1.5,1.5700000000000001
Portugal,g,4.0,2.86,3.6280000000000001,3.75,3.5150000000000001,3.75
USA,g,13.0,6.8,11.2035,11.449999999999999,10.75,12.25
Ghana,g,17.0,8.0,11.122,11.0,10.0,12.0
Belgium,h,1.67,1.53,1.6063157894736841,1.6000000000000001,1.5700000000000001,1.6699999999999999
Russia,h,3.71,2.75,3.1272222222222221,3.0,3.0,3.25
South Korea,h,10.0,6.2,9.0021052631578939,9.0,9.0,9.7750000000000004
Algeria,h,41.0,15.0,25.44736842105263,25.0,22.0,27.5
