name,group,max,min,mean,median,twentyfive,seventyfive
Brazil,a,1.28,1.15,1.219090909090909,1.22,1.2,1.25
Mexico,a,10.0,5.0,8.4736363636363627,9.0,8.125,9.0
Croatia,a,10.5,5.0,8.4736363636363627,8.8949999999999996,8.0,9.0
Cameroon,a,34.0,15.0,24.0,26.0,19.5,26.0
Spain,b,1.83,1.62,1.740952380952381,1.75,1.7,1.8
Netherlands,b,4.0,2.91,3.3209523809523809,3.25,3.2000000000000002,3.3999999999999999
Chile,b,6.0,3.95,5.2354545454545454,5.2000000000000002,5.0,5.5
Australia,b,101.0,23.0,41.636363636363633,34.0,26.0,50.0
Colombia,c,1.83,1.47,1.6527272727272726,1.6699999999999999,1.6200000000000001,1.6924999999999999
Ivory Coast,c,5.56,4.33,5.0072727272727269,5.0,4.8499999999999996,5.3925000000000001
Japan,c,6.5,3.8,5.5427272727272729,6.0,5.0225,6.0
Greece,c,10.5,5.5,8.1886363636363644,8.0,7.5,9.0
Italy,d,2.75,2.25,2.5690909090909093,2.6000000000000001,2.5,2.6274999999999999
Uruguay,d,3.2,2.55,2.7681818181818181,2.75,2.6349999999999998,2.8500000000000001
England,d,3.5,3.0,3.2050000000000001,3.25,3.1000000000000001,3.3224999999999998
Costa Rica,d,67.0,15.0,40.590909090909093,35.0,34.0,51.0
France,e,1.91,1.54,1.7259090909090908,1.73,1.6699999999999999,1.8
Switzerland,e,4.14,3.25,3.6681818181818184,3.75,3.6000000000000001,3.75
Ecuador,e,5.5,4.2,4.9709523809523812,5.0,4.5,5.5
Honduras,e,34.0,17.0,23.59090909090909,21.0,20.25,25.75
Argentina,f,1.29,1.15,1.2223809523809523,1.22,1.2,1.25
Bosnia-Herzegovina,f,9.0,5.46,7.296666666666666,7.2699999999999996,6.5,8.0
Nigeria,f,12.0,5.8,9.3422727272727268,9.7750000000000004,8.2599999999999998,10.0
Iran,f,81.0,15.0,32.495454545454542,29.0,26.0,34.0
Germany,g,1.62,1.42,1.5357142857142858,1.53,1.5,1.5700000000000001
Portugal,g,4.0,2.92,3.6914285714285713,3.75,3.75,3.75
USA,g,13.0,6.0,11.057727272727274,11.0,10.25,12.0
Ghana,g,17.0,6.8,11.138181818181819,11.0,10.0,11.975
Belgium,h,1.73,1.43,1.6104545454545454,1.6100000000000001,1.5700000000000001,1.6699999999999999
Russia,h,3.61,2.75,3.0804545454545451,3.0,3.0,3.2450000000000001
South Korea,h,10.0,5.0,8.8372727272727261,9.0,8.8424999999999994,9.875
Algeria,h,41.0,15.0,25.363636363636363,25.5,23.0,28.25
