name,group,max,min,mean,median,twentyfive,seventyfive
Man Utd,a,1.84,1.5,1.6868181818181822,1.6699999999999999,1.6549999999999998,1.73
Shakhtar Donetsk,a,6.0,4.42,5.3540909090909095,5.5,5.0925000000000002,5.5
Bayer Leverkusen,a,7.0,4.42,5.7359090909090904,6.0,5.3274999999999997,6.0
Real Sociedad,a,8.0,4.89,6.671818181818181,6.9450000000000003,6.0,7.0
Real Madrid,b,1.57,1.4,1.4786363636363633,1.49,1.45,1.5
Juventus,b,3.5,2.5,2.9136363636363636,2.8799999999999999,2.75,3.0
Galatasaray,b,17.0,9.0,13.702272727272726,14.0,12.25,15.0
FC Copenhagen,b,101.0,26.0,63.523809523809526,51.0,51.0,67.0
PSG,c,1.65,1.44,1.543809523809524,1.53,1.5,1.5700000000000001
Benfica,c,3.25,2.75,2.9876190476190478,3.0,2.8999999999999999,3.0
Olympiakos,c,20.0,7.27,13.989047619047618,13.0,13.0,15.0
Anderlecht,c,26.0,7.84,19.587619047619047,21.0,19.0,21.0
Bayern Munich,d,1.6,1.38,1.5086363636363638,1.5,1.4575,1.5700000000000001
Man City,d,3.2,2.62,2.8690909090909091,2.8799999999999999,2.7625000000000002,2.9375000000000004
CSKA Moscow,d,21.0,11.0,14.736363636363636,13.0,13.0,15.0
Plzen,d,101.0,15.0,52.136363636363633,46.0,40.25,51.0
Chelsea,e,1.33,1.17,1.25,1.25,1.22,1.28
Schalke 04,e,6.0,4.5,5.0113636363636367,5.0,4.6325000000000003,5.0
Basel,e,17.0,9.36,13.216363636363637,13.0,12.0,15.0
Steaua Bucharest,e,51.0,17.0,31.772727272727273,34.0,26.0,34.0
Bor Dortmund,f,2.5,1.36,2.2013636363636366,2.25,2.1000000000000001,2.2874999999999996
Arsenal,f,3.4,1.73,3.061363636363637,3.2400000000000002,3.0,3.25
Napoli,f,4.33,1.8,3.6859090909090906,3.75,3.645,3.8250000000000002
Marseille,f,17.0,4.0,11.702727272727271,11.449999999999999,10.0,14.5
Atletico Madrid,g,2.38,1.38,2.0886363636363643,2.1000000000000001,2.0499999999999998,2.2000000000000002
Porto,g,3.0,1.38,2.726818181818182,2.75,2.75,2.8500000000000001
Zenit St Petersburg,g,4.5,1.59,3.9540909090909087,4.0,4.0,4.3300000000000001
Austria Vienna,g,51.0,4.8,29.990909090909089,29.5,26.0,34.0
Barcelona,h,1.29,1.08,1.2254545454545451,1.22,1.2,1.25
AC Milan,h,5.5,4.0,4.8395454545454548,5.0,4.4399999999999995,5.0749999999999993
Ajax,h,26.0,10.0,17.08636363636364,17.0,15.0,19.75
Celtic,h,67.0,26.0,44.18181818181818,41.0,38.75,51.0
