name,group,max,min,mean,median
real madrid,a,1.01,1.0,1.0054545454545456,1.01
psg,a,1.06,1.01,1.0165000000000002,1.01
shakhtar donetsk,a,19.0,1.92,14.171000000000001,15.0
malmo ff,a,101.0,1.92,69.046000000000006,67.0
man utd,b,1.3,1.22,1.256875,1.25
wolfsburg,b,1.67,1.44,1.52,1.5150000000000001
cska moscow,b,2.88,2.5,2.6643750000000002,2.6200000000000001
psv,b,4.0,2.75,3.5249999999999999,3.5
benfica,c,1.12,1.01,1.0615000000000001,1.0600000000000001
atletico madrid,c,1.17,1.02,1.0780000000000001,1.0800000000000001
galatasaray,c,7.0,3.2,5.0939999999999994,5.0
fc astana,c,34.0,17.0,28.369999999999997,30.0
juventus,d,1.1,1.02,1.0736363636363637,1.0800000000000001
man city,d,1.36,1.25,1.3031818181818182,1.3
sevilla,d,3.1,2.5,2.7200000000000002,2.75
monchengladbach,d,21.0,13.6,17.245454545454546,17.0
barcelona,e,1.04,1.0,1.0163157894736841,1.02
bayer leverkusen,e,1.55,1.34,1.4984999999999999,1.53
roma,e,2.88,2.25,2.5034999999999998,2.4500000000000002
bate borisov,e,26.0,9.0,17.105,16.0
bayern munich,f,1.01,1.0,1.0038461538461538,1.0
olympiakos,f,1.85,1.63,1.7545454545454546,1.75
arsenal,f,3.75,3.25,3.5086363636363633,3.5
din zagreb,f,4.33,3.2,3.8345454545454545,3.875
porto,g,1.17,1.07,1.1459090909090908,1.1399999999999999
chelsea,g,1.22,1.07,1.1286363636363637,1.1200000000000001
dynamo kiev,g,3.25,2.26,2.8999999999999999,3.0
maccabi tel aviv,g,67.0,21.0,37.68181818181818,34.0
zenit,h,1.08,1.02,1.0731818181818182,1.0800000000000001
valencia,h,1.25,1.13,1.2031818181818181,1.2
lyon,h,4.5,3.0,3.9909090909090907,4.0
gent,h,11.0,7.4,9.1104545454545462,9.0
