name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
juventus,a,1.1,1.11,,1.1,1.11,,1.1,1.12,,1.12,1.17,1.17,1.1,1.1,,1.1,1.13,,1.1,1.12,1.1,1.12,1.11,1.06,
atletico madrid,a,1.22,1.2,,1.2,1.2,,1.25,1.36,,1.16,1.33,1.22,1.2,1.16,,1.25,1.25,,1.16,1.16,1.16,1.16,1.1,1.04,
olympiakos,a,3.0,2.88,,3.0,2.63,,2.5,2.2,,2.5,2.25,2.38,3.0,2.75,,2.88,2.63,,2.75,2.5,2.75,2.5,2.52,2.46,
malmo ff,a,34.0,23.0,,26.0,34.0,,34.0,34.0,,15.0,21.0,34.0,34.0,26.0,,29.0,26.0,,26.0,15.0,34.0,15.0,15.3,13.1,
real madrid,b,1.0,1.0,1.0,1.01,1.0,,1.0,1.0,,1.01,1.0,1.0,1.0,1.01,,1.01,1.01,,1.01,1.01,,1.01,1.01,,
liverpool,b,1.17,1.17,1.11,1.14,1.11,,1.06,1.11,,1.2,1.12,1.14,1.1,1.11,,1.16,1.12,,1.11,1.2,1.12,1.2,1.22,,
basel,b,6.0,5.5,5.5,5.5,5.5,,8.0,7.0,,4.5,7.0,5.5,5.0,5.0,,5.5,5.5,,5.0,4.5,7.0,4.5,5.75,,
ludogorets razgrad,b,21.0,17.0,21.0,17.0,21.0,,34.0,31.0,,10.0,17.0,26.0,34.0,17.0,,19.0,26.0,,17.0,10.0,21.0,10.0,11.4,9.73,
zenit,c,1.44,1.5,1.44,1.5,1.44,,1.4,1.4,,1.55,1.4,1.44,1.44,1.53,,1.5,1.5,,1.53,1.55,1.5,1.55,1.38,1.3,
monaco,c,1.83,1.83,1.73,1.8,1.73,,1.67,1.8,,1.8,1.67,1.83,1.8,1.73,,1.72,1.8,,1.73,1.8,1.75,1.8,1.62,1.6,
bayer leverkusen,c,1.83,1.83,1.83,1.83,1.83,,1.83,1.91,,1.65,1.9,1.73,1.8,1.8,,1.83,1.85,,1.8,1.65,1.8,1.65,1.85,,
benfica,c,3.25,3.0,3.25,2.88,3.25,,3.75,3.2,,2.75,3.75,3.75,3.0,2.75,,3.5,3.0,,2.75,2.75,2.75,2.75,3.28,,
dortmund,d,1.06,1.06,,1.06,1.05,,1.03,1.04,,1.05,1.06,1.05,1.06,1.05,,1.05,1.06,,1.05,1.05,1.03,1.05,1.05,1.01,
arsenal,d,1.29,1.29,,1.29,1.29,,1.25,1.29,,1.28,1.2,1.29,1.2,1.25,,1.28,1.28,,1.25,1.28,1.2,1.28,1.33,,
galatasaray,d,4.33,4.0,,4.0,4.5,,5.0,4.5,,3.5,5.0,5.0,4.0,3.75,,4.5,4.5,,3.75,3.5,4.6,3.5,3.38,3.18,
anderlecht,d,7.0,7.0,,7.0,7.0,,7.0,7.5,,5.5,8.0,6.5,9.0,6.5,,7.5,6.5,,6.5,5.5,7.0,5.5,6.89,6.43,
bayern munich,e,,1.06,,,,,1.03,1.04,,1.04,1.05,1.05,,1.04,,,,,1.04,1.04,1.05,1.04,1.05,,
man city,e,,1.4,,,,,1.57,1.57,,1.5,1.5,1.57,,1.45,,,,,1.45,1.5,1.42,1.5,1.64,,
roma,e,,2.38,,,,,2.25,2.2,,2.25,2.3,2.2,,2.25,,,,,2.25,2.25,2.2,2.25,1.76,,
cska moscow,e,,17.0,,,,,34.0,26.0,,17.0,19.0,15.0,,21.0,,,,,21.0,17.0,19.0,17.0,19.0,,
barcelona,f,,1.01,,,,,1.0,1.02,,1.02,1.02,1.02,,1.01,,,,,1.01,1.02,1.01,1.02,1.01,,
psg,f,,1.12,,,,,1.17,1.14,,1.12,1.12,1.22,,1.16,,,,,1.16,1.12,1.12,1.12,1.1,1.03,
ajax,f,,5.0,,,,,4.5,5.5,,4.25,5.5,4.0,,4.33,,,,,4.33,4.25,4.25,4.25,4.99,,
apoel nicosia,f,,23.0,,,,,21.0,21.0,,21.0,19.0,17.0,,21.0,,,,,21.0,21.0,23.0,21.0,10.5,,
chelsea,g,,1.01,,,,,1.01,1.03,,1.02,1.04,1.03,,1.02,,,,,1.02,1.02,1.01,1.02,1.01,,
schalke 04,g,,1.33,,,,,1.29,1.3,,1.33,1.3,1.25,,1.25,,,,,1.25,1.33,1.25,1.33,1.33,,
sporting lisbon,g,,3.25,,,,,3.5,3.2,,3.0,3.1,3.5,,3.25,,,,,3.25,3.0,3.4,3.0,2.42,,
maribor,g,,17.0,,,,,21.0,21.0,,21.0,17.0,13.0,,21.0,,,,,21.0,21.0,13.0,21.0,,,
porto,h,,1.14,,,,,1.17,1.17,,1.1,1.2,1.17,,1.14,,,,,1.14,1.1,1.13,1.1,1.24,1.07,
athletic bilbao,h,,1.53,,,,,1.62,1.62,,1.55,1.67,1.8,,1.57,,,,,1.57,1.55,1.6,1.55,1.01,,
shakhtar donetsk,h,,1.83,,,,,1.73,1.8,,1.8,1.7,1.73,,1.75,,,,,1.75,1.8,1.7,1.8,1.01,,
bate borisov,h,,17.0,,,,,17.0,12.0,,17.0,12.0,9.0,,17.0,,,,,17.0,17.0,15.0,17.0,13.4,,
