name,group,max,min,mean,median
Bayer Leverkusen,a,1.67,1.53,1.6000000000000001,1.6000000000000001
Shakhtar Donetsk,a,2.1,1.85,1.9750000000000001,1.9750000000000001
Juventus,b,1.29,1.24,1.2650000000000001,1.2650000000000001
Galatasaray,b,3.85,3.5,3.6749999999999998,3.6749999999999998
Olympiakos,c,1.12,1.12,1.1200000000000001,1.1200000000000001
Benfica,c,5.75,5.5,5.625,5.625
Schalke 04,e,1.73,1.66,1.6899999999999999,1.6699999999999999
Basel,e,2.2,2.0,2.0789999999999997,2.1000000000000001
Arsenal,f,1.06,1.02,1.03,1.02
Bor Dortmund,f,1.18,1.14,1.1546153846153844,1.1499999999999999
Napoli,f,4.0,3.5,3.8153846153846156,3.8500000000000001
Zenit St Petersburg,g,1.13,1.08,1.0975000000000001,1.1000000000000001
Porto,g,7.0,6.0,6.4491666666666667,6.5
AC Milan,h,1.17,1.12,1.1383333333333334,1.1399999999999999
Ajax,h,5.5,4.42,5.1600000000000001,5.0
