name,group,max,min,mean,median
Man Utd,a,1.08,1.02,1.0575000000000001,1.0550000000000002
Bayer Leverkusen,a,1.25,1.15,1.2037499999999999,1.2
Shakhtar Donetsk,a,3.5,2.5,3.13625,3.25
Real Sociedad,a,100.0,41.0,54.4375,51.0
Juventus,b,1.45,1.36,1.391875,1.3999999999999999
Galatasaray,b,3.52,2.5,3.0625,3.1000000000000001
FC Copenhagen,b,29.0,8.0,17.1875,17.0
PSG,c,1.01,1.01,1.01,1.01
Olympiakos,c,1.13,1.07,1.10375,1.1000000000000001
Benfica,c,7.84,5.5,6.4743750000000002,6.5
Anderlecht,c,126.0,18.1,87.539999999999992,101.0
Chelsea,e,1.0,1.0,1.0,1.0
Schalke 04,e,1.2,1.12,1.1499999999999999,1.1499999999999999
Basel,e,5.5,4.0,4.8099999999999996,5.0
Steaua Bucharest,e,151.0,19.0,92.125,100.5
Arsenal,f,1.12,1.06,1.096875,1.1000000000000001
Napoli,f,1.65,1.44,1.5362499999999999,1.5150000000000001
Bor Dortmund,f,2.0,1.7,1.8487499999999999,1.8500000000000001
Zenit St Petersburg,g,1.45,1.35,1.4073333333333333,1.3999999999999999
Porto,g,3.18,2.5,2.722,2.7000000000000002
Austria Vienna,g,126.0,38.0,89.200000000000003,101.0
AC Milan,h,1.19,1.1,1.1287500000000001,1.1200000000000001
Ajax,h,8.5,6.0,7.3324999999999996,7.0
Celtic,h,17.0,11.0,14.4375,15.0
